box_id,task_id,arrival_time,completion_time,hard_deadline,late_flag,lateness,source_function
S001-MED-01,Q2-001,1133.6168782418845,1565.6168782418845,3600.0,False,0.0,eval_A.deadline_A
S001-MED-02,Q2-001,1133.6168782418845,1565.6168782418845,3600.0,False,0.0,eval_A.deadline_A
S001-WAT-01,Q2-001,1133.6168782418845,1565.6168782418845,3600.0,False,0.0,eval_A.deadline_A
S001-WAT-02,Q2-001,1133.6168782418845,1565.6168782418845,,False,0.0,eval_A.deadline_A
S001-WAT-03,Q2-001,1133.6168782418845,1565.6168782418845,,False,0.0,eval_A.deadline_A
S001-WAT-04,Q2-001,1133.6168782418845,1565.6168782418845,,False,0.0,eval_A.deadline_A
S001-WAT-05,Q2-001,1133.6168782418845,1565.6168782418845,,False,0.0,eval_A.deadline_A
S001-WAT-06,Q2-002,97889.06546659429,98357.06546659429,,False,0.0,eval_A.deadline_A
S001-WAT-07,Q2-002,97889.06546659429,98357.06546659429,,False,0.0,eval_A.deadline_A
S001-WAT-08,Q2-002,97889.06546659429,98357.06546659429,,False,0.0,eval_A.deadline_A
S001-FOD-01,Q2-002,97889.06546659429,98357.06546659429,,False,0.0,eval_A.deadline_A
S001-FOD-02,Q2-002,97889.06546659429,98357.06546659429,,False,0.0,eval_A.deadline_A
S001-FOD-03,Q2-002,97889.06546659429,98357.06546659429,,False,0.0,eval_A.deadline_A
S001-HYG-01,Q2-002,97889.06546659429,98357.06546659429,,False,0.0,eval_A.deadline_A
S001-HYG-02,Q2-002,97889.06546659429,98357.06546659429,,False,0.0,eval_A.deadline_A
S002-FOD-02,Q2-003,95754.1423024988,95964.1423024988,,False,0.0,eval_A.deadline_A
S002-HYG-01,Q2-003,95754.1423024988,95964.1423024988,,False,0.0,eval_A.deadline_A
S002-MED-01,Q2-004,14379.655284202308,14775.655284202308,3600.0,True,11175.655284202308,eval_A.deadline_A
S002-WAT-01,Q2-004,14379.655284202308,14775.655284202308,3600.0,True,11175.655284202308,eval_A.deadline_A
S002-WAT-02,Q2-004,14379.655284202308,14775.655284202308,,False,0.0,eval_A.deadline_A
S002-WAT-03,Q2-004,14379.655284202308,14775.655284202308,,False,0.0,eval_A.deadline_A
S002-WAT-04,Q2-004,14379.655284202308,14775.655284202308,,False,0.0,eval_A.deadline_A
S002-FOD-01,Q2-004,14379.655284202308,14775.655284202308,,False,0.0,eval_A.deadline_A
S003-FOD-02,Q2-005,89739.2355139754,89949.2355139754,,False,0.0,eval_A.deadline_A
S003-HYG-01,Q2-005,89739.2355139754,89949.2355139754,,False,0.0,eval_A.deadline_A
S003-MED-01,Q2-006,86994.60829205756,87390.60829205756,7200.0,True,80190.60829205756,eval_A.deadline_A
S003-WAT-01,Q2-006,86994.60829205756,87390.60829205756,7200.0,True,80190.60829205756,eval_A.deadline_A
S003-WAT-02,Q2-006,86994.60829205756,87390.60829205756,,False,0.0,eval_A.deadline_A
S003-WAT-03,Q2-006,86994.60829205756,87390.60829205756,,False,0.0,eval_A.deadline_A
S003-WAT-04,Q2-006,86994.60829205756,87390.60829205756,,False,0.0,eval_A.deadline_A
S003-FOD-01,Q2-006,86994.60829205756,87390.60829205756,,False,0.0,eval_A.deadline_A
S004-MED-01,Q2-007,6442.749068066248,6838.749068066248,7200.0,False,0.0,eval_A.deadline_A
S004-WAT-01,Q2-007,6442.749068066248,6838.749068066248,7200.0,False,0.0,eval_A.deadline_A
S004-WAT-02,Q2-007,6442.749068066248,6838.749068066248,,False,0.0,eval_A.deadline_A
S004-WAT-03,Q2-007,6442.749068066248,6838.749068066248,,False,0.0,eval_A.deadline_A
S004-FOD-01,Q2-007,6442.749068066248,6838.749068066248,,False,0.0,eval_A.deadline_A
S004-HYG-01,Q2-007,6442.749068066248,6838.749068066248,,False,0.0,eval_A.deadline_A
S005-MED-01,Q2-008,10404.0,10800.0,10800.0,False,0.0,eval_A.deadline_A
