resource,task_id,start_s,end_s,source_function
transport:U08,Q2-001,316.7152584953037,1878.148497988465,eval_A.transport_interval
service:S001,Q2-001,1133.6168782418845,1565.6168782418845,eval_A.service_interval
battery:C-B03,Q2-001,316.7152584953037,3504.02622086279,eval_A.battery_interval
relay:R02,Q2-001,136.71525849530371,2178.148497988465,eval_A.relay_interval
transport:U07,Q2-002,97042.16384684767,98669.59708634084,eval_A.transport_interval
service:S001,Q2-002,97889.06546659429,98357.06546659429,eval_A.service_interval
battery:C-B03,Q2-002,97042.16384684767,100316.7152584953,eval_A.battery_interval
relay:R01,Q2-002,96862.16384684767,98969.59708634084,eval_A.relay_interval
transport:U05,Q2-003,94802.2407581499,96562.16384684767,eval_A.transport_interval
service:S002,Q2-003,95754.1423024988,95964.1423024988,eval_A.service_interval
battery:B-B02,Q2-003,94802.2407581499,98255.27959363749,eval_A.battery_interval
relay:R01,Q2-003,94622.2407581499,96862.16384684767,eval_A.relay_interval
transport:U07,Q2-004,13286.724697495025,15397.76587090959,eval_A.transport_interval
service:S002,Q2-004,14379.655284202308,14775.655284202308,eval_A.service_interval
battery:C-B03,Q2-004,13286.724697495025,17937.609913561806,eval_A.battery_interval
relay:R02,Q2-004,13106.724697495025,15697.76587090959,eval_A.relay_interval
transport:U05,Q2-005,88661.09724786512,90681.42711341903,eval_A.transport_interval
service:S003,Q2-005,89739.2355139754,89949.2355139754,eval_A.service_interval
battery:B-B03,Q2-005,88661.09724786512,92398.3514191428,eval_A.battery_interval
relay:R02,Q2-005,88481.09724786512,90981.42711341903,eval_A.relay_interval
transport:U08,Q2-006,85745.19933625,88181.09724786512,eval_A.transport_interval
service:S003,Q2-006,86994.60829205756,87390.60829205756,eval_A.service_interval
battery:C-B03,Q2-006,85745.19933625,90726.86946494655,eval_A.battery_interval
relay:R02,Q2-006,85565.19933625,88481.09724786512,eval_A.relay_interval
transport:U07,Q2-007,5253.185080025265,7558.373056107231,eval_A.transport_interval
service:S004,Q2-007,6442.749068066248,6838.749068066248,eval_A.service_interval
battery:C-B02,Q2-007,5253.185080025265,10064.625869466383,eval_A.battery_interval
relay:R02,Q2-007,5073.185080025265,7858.373056107231,eval_A.relay_interval
transport:U08,Q2-008,9425.34204003191,11305.387959968091,eval_A.transport_interval
service:S005,Q2-008,10404.0,10800.0,eval_A.service_interval
battery:C-B03,Q2-008,9425.34204003191,13286.724697495021,eval_A.battery_interval
relay:R01,Q2-008,9245.34204003191,11605.387959968091,eval_A.relay_interval
transport:U08,Q2-009,17937.609913561813,19498.472550281786,eval_A.transport_interval
service:S006,Q2-009,18750.6862319218,19146.6862319218,eval_A.service_interval
battery:C-B03,Q2-009,17937.609913561813,21034.339975317504,eval_A.battery_interval
relay:R01,Q2-009,17757.609913561813,19798.472550281786,eval_A.relay_interval
transport:U08,Q2-010,83837.68269686303,85745.19933625,eval_A.transport_interval
service:S007,Q2-010,84825.40101655651,85185.40101655651,eval_A.service_interval
battery:C-B04,Q2-010,83837.68269686303,87502.24513972568,eval_A.battery_interval
relay:R01,Q2-010,83657.68269686303,86045.19933625,eval_A.relay_interval
transport:U08,Q2-011,4431.941036870872,6635.715794407903,eval_A.transport_interval
service:S008,Q2-011,5571.668415639388,5931.668415639388,eval_A.service_interval
battery:C-B04,Q2-011,4431.941036870872,9055.475910992762,eval_A.battery_interval
relay:R01,Q2-011,4251.941036870872,6935.715794407903,eval_A.relay_interval
transport:U05,Q2-012,9708.008619399545,11268.811380600457,eval_A.transport_interval
service:S009,Q2-012,10560.0,10800.0,eval_A.service_interval
battery:B-B01,Q2-012,9708.008619399545,12846.568648672166,eval_A.battery_interval
relay:R02,Q2-012,9528.008619399545,11568.811380600457,eval_A.relay_interval
transport:U05,Q2-013,180.0,1734.5963098536845,eval_A.transport_interval
service:S010,Q2-013,1024.8348215935089,1264.8348215935089,eval_A.service_interval
battery:B-B01,Q2-013,180.0,3190.411224025971,eval_A.battery_interval
relay:R01,Q2-013,0.0,2034.5963098536845,eval_A.relay_interval
transport:U05,Q2-014,8038.373056107237,9228.00861939953,eval_A.transport_interval
service:S011,Q2-014,8705.37750442005,8945.37750442005,eval_A.service_interval
battery:B-B02,Q2-014,8038.373056107237,10361.455582243569,eval_A.battery_interval
relay:R02,Q2-014,7858.373056107237,9528.00861939953,eval_A.relay_interval
transport:U06,Q2-015,92398.3514191428,94322.2407581499,eval_A.transport_interval
service:S012,Q2-015,93430.22608864636,93670.22608864636,eval_A.service_interval
battery:B-B03,Q2-015,92398.3514191428,96182.94525816847,eval_A.battery_interval
relay:R01,Q2-015,92218.3514191428,94622.2407581499,eval_A.relay_interval
transport:U06,Q2-016,2214.5963098536595,3725.036860578532,eval_A.transport_interval
service:S013,Q2-016,3037.3499185494293,3277.3499185494293,eval_A.service_interval
battery:B-B03,Q2-016,2214.5963098536595,5182.395904223737,eval_A.battery_interval
relay:R01,Q2-016,2034.5963098536595,4025.036860578532,eval_A.relay_interval
transport:U05,Q2-017,2358.148497988473,4226.738168678192,eval_A.transport_interval
service:S014,Q2-017,3360.0,3600.0,eval_A.service_interval
battery:B-B04,Q2-017,2358.148497988473,5819.561063180204,eval_A.battery_interval
relay:R02,Q2-017,2178.148497988473,4526.738168678192,eval_A.relay_interval
transport:U06,Q2-018,7115.715794407932,8945.342040031923,eval_A.transport_interval
service:S015,Q2-018,8093.968917219929,8333.968917219929,eval_A.service_interval
battery:B-B04,Q2-018,7115.715794407932,10613.461248540512,eval_A.battery_interval
relay:R01,Q2-018,6935.715794407932,9245.342040031923,eval_A.relay_interval
