sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok,relay
Q2-001,U08,C,C-B03,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",316.7152584953037,S001,1565.6168782418845,432,1878.148497988465,2.9263177459975083,0.6342102817503115,True,R02
Q2-002,U07,C,C-B03,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",97042.16384684767,S001,98357.06546659429,468,98669.59708634084,3.004744020262608,0.624406997467174,True,R01
Q2-003,U05,B,B-B02,"['S002-FOD-02', 'S002-HYG-01']",94802.2407581499,S002,95964.1423024988,210,96562.16384684767,2.368728646438021,0.4078178383904948,True,R01
Q2-004,U07,C,C-B03,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",13286.724697495025,S002,14775.655284202308,396,15397.76587090959,6.300962619023563,0.2123796726220546,True,R02
Q2-005,U05,B,B-B03,"['S003-FOD-02', 'S003-HYG-01']",88661.09724786512,S003,89949.2355139754,210,90681.42711341903,2.423671474747147,0.3940821313132132,True,R02
Q2-006,U08,C,C-B03,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",85745.19933625,S003,87390.60829205756,396,88181.09724786512,6.322851263069863,0.2096435921162671,True,R02
Q2-007,U07,C,C-B02,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",5253.185080025265,S004,6838.749068066248,396,7558.373056107231,6.176933464710716,0.2278833169111604,True,R02
Q2-008,U08,C,C-B03,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",9425.34204003191,S005,10800.0,396,11305.387959968091,4.238781800099432,0.4701522749875709,True,R01
Q2-009,U08,C,C-B03,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",17937.609913561813,S006,19146.6862319218,396,19498.472550281786,2.59397203090111,0.6757534961373612,False,R01
Q2-010,U08,C,C-B04,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",83837.68269686303,S007,85185.40101655651,360,85745.19933625,3.410630658987098,0.5736711676266127,False,R01
Q2-011,U08,C,C-B04,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",4431.941036870872,S008,5931.668415639388,360,6635.715794407903,5.857575815082559,0.2678030231146802,False,R01
Q2-012,U05,B,B-B01,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",9708.008619399545,S009,10800.0,240,11268.811380600457,2.1025167724731757,0.4743708068817062,True,R02
Q2-013,U05,B,B-B01,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",180.0,S010,1264.8348215935089,240,1734.5963098536845,1.8211113403975845,0.5447221649006039,True,R01
Q2-014,U05,B,B-B02,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",8038.373056107237,S011,8945.37750442005,240,9228.00861939953,1.0771852988708592,0.7307036752822852,True,R02
Q2-015,U06,B,B-B03,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",92398.3514191428,S012,93670.22608864636,240,94322.2407581499,2.7554719231198046,0.3111320192200488,False,R01
Q2-016,U06,B,B-B03,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",2214.5963098536595,S013,3277.3499185494293,240,3725.036860578532,1.8246747161043195,0.5438313209739201,False,R01
Q2-017,U05,B,B-B04,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",2358.148497988473,S014,3600.0,240,4226.738168678192,2.13728360269695,0.4656790993257624,False,R02
Q2-018,U06,B,B-B04,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",7115.715794407932,S015,8333.968917219929,240,8945.342040031923,2.3110443273275134,0.4222389181681216,False,R01
