scenario,resource,event_count,peak,overlap,pass
FEASIBILITY_RESTORED_0P1DB,battery:B-B01,3,3,False,True
FEASIBILITY_RESTORED_0P1DB,battery:B-B02,2,2,False,True
FEASIBILITY_RESTORED_0P1DB,battery:B-B03,2,2,False,True
FEASIBILITY_RESTORED_0P1DB,battery:B-B04,2,2,False,True
FEASIBILITY_RESTORED_0P1DB,battery:C-B01,3,3,False,True
FEASIBILITY_RESTORED_0P1DB,battery:C-B02,3,3,False,True
FEASIBILITY_RESTORED_0P1DB,battery:C-B03,2,2,False,True
FEASIBILITY_RESTORED_0P1DB,battery:C-B04,2,2,False,True
FEASIBILITY_RESTORED_0P1DB,service:S001,3,3,False,True
FEASIBILITY_RESTORED_0P1DB,service:S002,2,2,False,True
FEASIBILITY_RESTORED_0P1DB,service:S003,2,2,False,True
FEASIBILITY_RESTORED_0P1DB,service:S004,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S005,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S006,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S007,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S008,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S009,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S010,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S011,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S012,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S013,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S014,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,service:S015,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,transport:U05,5,5,False,True
FEASIBILITY_RESTORED_0P1DB,transport:U06,4,4,False,True
FEASIBILITY_RESTORED_0P1DB,transport:U07,5,5,False,True
FEASIBILITY_RESTORED_0P1DB,transport:U08,5,5,False,True
FEASIBILITY_RESTORED_0P1DB,relay:R01,1,1,False,True
FEASIBILITY_RESTORED_0P1DB,relay_component:C01,2,2,False,True
