resource,task_id,start_s,end_s,source_function,scenario
transport:U07,SENS19-001,0.0,1561.4332394931612,eval_A.transport_interval,FEASIBILITY_RESTORED_0P1DB
service:S001,SENS19-001,816.9016197465805,1248.9016197465803,eval_A.service_interval,FEASIBILITY_RESTORED_0P1DB
battery:C-B01,SENS19-001,0.0,3187.3109623674864,eval_A.battery_interval,FEASIBILITY_RESTORED_0P1DB
transport:U08,SENS19-002,0.0,2111.041173414566,eval_A.transport_interval,FEASIBILITY_RESTORED_0P1DB
service:S002,SENS19-002,1092.930586707283,1488.930586707283,eval_A.service_interval,FEASIBILITY_RESTORED_0P1DB
battery:C-B02,SENS19-002,0.0,4650.885216066781,eval_A.battery_interval,FEASIBILITY_RESTORED_0P1DB
transport:U07,SENS19-003,1561.4332394931612,3122.2958762131275,eval_A.transport_interval,FEASIBILITY_RESTORED_0P1DB
service:S006,SENS19-003,2374.5095578531445,2770.5095578531445,eval_A.service_interval,FEASIBILITY_RESTORED_0P1DB
battery:C-B03,SENS19-003,1561.4332394931612,4658.163301248845,eval_A.battery_interval,FEASIBILITY_RESTORED_0P1DB
transport:U08,SENS19-004,2111.041173414566,4018.557812801536,eval_A.transport_interval,FEASIBILITY_RESTORED_0P1DB
service:S007,SENS19-004,3098.7594931080507,3458.7594931080507,eval_A.service_interval,FEASIBILITY_RESTORED_0P1DB
battery:C-B04,SENS19-004,2111.041173414566,5775.603616277208,eval_A.battery_interval,FEASIBILITY_RESTORED_0P1DB
transport:U05,SENS19-005,0.0,1554.5963098536845,eval_A.transport_interval,FEASIBILITY_RESTORED_0P1DB
service:S010,SENS19-005,844.8348215935089,1084.8348215935089,eval_A.service_interval,FEASIBILITY_RESTORED_0P1DB
battery:B-B01,SENS19-005,0.0,3010.411224025971,eval_A.battery_interval,FEASIBILITY_RESTORED_0P1DB
transport:U06,SENS19-006,0.0,1923.889339007083,eval_A.transport_interval,FEASIBILITY_RESTORED_0P1DB
service:S012,SENS19-006,1031.8746695035416,1271.8746695035416,eval_A.service_interval,FEASIBILITY_RESTORED_0P1DB
battery:B-B02,SENS19-006,0.0,3784.593839025665,eval_A.battery_interval,FEASIBILITY_RESTORED_0P1DB
transport:U05,SENS19-007,1554.5963098536845,3065.036860578557,eval_A.transport_interval,FEASIBILITY_RESTORED_0P1DB
