box_id,sortie,service,completion_s,hard_deadline_s,hard_violation,soft_deadline_s,soft_late,soft_lateness_s,scenario
S001-MED-01,SENS19-001,S001,1248.9016197465803,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S001-MED-02,SENS19-001,S001,1248.9016197465803,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S001-WAT-01,SENS19-001,S001,1248.9016197465803,3600.0,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S001-WAT-02,SENS19-001,S001,1248.9016197465803,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S001-WAT-03,SENS19-001,S001,1248.9016197465803,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S001-WAT-04,SENS19-001,S001,1248.9016197465803,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S001-WAT-05,SENS19-001,S001,1248.9016197465803,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S002-MED-01,SENS19-002,S002,1488.930586707283,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S002-WAT-01,SENS19-002,S002,1488.930586707283,3600.0,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S002-WAT-02,SENS19-002,S002,1488.930586707283,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S002-WAT-03,SENS19-002,S002,1488.930586707283,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S002-WAT-04,SENS19-002,S002,1488.930586707283,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S002-FOD-01,SENS19-002,S002,1488.930586707283,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S006-MED-01,SENS19-003,S006,2770.5095578531445,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S006-WAT-01,SENS19-003,S006,2770.5095578531445,3600.0,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S006-WAT-02,SENS19-003,S006,2770.5095578531445,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S006-WAT-03,SENS19-003,S006,2770.5095578531445,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S006-FOD-01,SENS19-003,S006,2770.5095578531445,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S006-HYG-01,SENS19-003,S006,2770.5095578531445,,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S007-MED-01,SENS19-004,S007,3458.7594931080507,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S007-WAT-01,SENS19-004,S007,3458.7594931080507,3600.0,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S007-WAT-02,SENS19-004,S007,3458.7594931080507,,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S007-FOD-01,SENS19-004,S007,3458.7594931080507,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S007-HYG-01,SENS19-004,S007,3458.7594931080507,,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S010-MED-01,SENS19-005,S010,1084.8348215935089,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S010-WAT-01,SENS19-005,S010,1084.8348215935089,3600.0,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S010-FOD-01,SENS19-005,S010,1084.8348215935089,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S012-MED-01,SENS19-006,S012,1271.8746695035416,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S012-WAT-01,SENS19-006,S012,1271.8746695035416,3600.0,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S012-FOD-01,SENS19-006,S012,1271.8746695035416,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S013-MED-01,SENS19-007,S013,2617.349918549454,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S013-WAT-01,SENS19-007,S013,2617.349918549454,3600.0,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S013-FOD-01,SENS19-007,S013,2617.349918549454,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S014-MED-01,SENS19-008,S014,3165.740841018609,3600.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S014-WAT-01,SENS19-008,S014,3165.740841018609,3600.0,False,3600.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S014-FOD-01,SENS19-008,S014,3165.740841018609,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S003-MED-01,SENS19-009,S003,4832.719918175042,7200.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S003-WAT-01,SENS19-009,S003,4832.719918175042,7200.0,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S003-WAT-02,SENS19-009,S003,4832.719918175042,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S003-WAT-03,SENS19-009,S003,4832.719918175042,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S003-WAT-04,SENS19-009,S003,4832.719918175042,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S003-FOD-01,SENS19-009,S003,4832.719918175042,,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S004-MED-01,SENS19-010,S004,6236.449204107764,7200.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S004-WAT-01,SENS19-010,S004,6236.449204107764,7200.0,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S004-WAT-02,SENS19-010,S004,6236.449204107764,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S004-WAT-03,SENS19-010,S004,6236.449204107764,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S004-FOD-01,SENS19-010,S004,6236.449204107764,,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S004-HYG-01,SENS19-010,S004,6236.449204107764,,False,14400.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S008-MED-01,SENS19-011,S008,7122.936252751113,7200.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S008-WAT-01,SENS19-011,S008,7122.936252751113,7200.0,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S008-WAT-02,SENS19-011,S008,7122.936252751113,,False,7200.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S008-FOD-01,SENS19-011,S008,7122.936252751113,,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S008-HYG-01,SENS19-011,S008,7122.936252751113,,False,14400.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S015-MED-01,SENS19-012,S015,4283.289983390553,7200.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S015-WAT-01,SENS19-012,S015,4283.289983390553,10800.0,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S015-FOD-01,SENS19-012,S015,4283.289983390553,,False,14400.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S005-MED-01,SENS19-013,S005,8330.731152116838,10800.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S005-WAT-01,SENS19-013,S005,8330.731152116838,10800.0,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S005-WAT-02,SENS19-013,S005,8330.731152116838,,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S005-WAT-03,SENS19-013,S005,8330.731152116838,,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S005-FOD-01,SENS19-013,S005,8330.731152116838,,False,14400.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S005-HYG-01,SENS19-013,S005,8330.731152116838,,False,18000.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S009-MED-01,SENS19-014,S009,4884.470390297258,10800.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S009-WAT-01,SENS19-014,S009,4884.470390297258,10800.0,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S009-FOD-01,SENS19-014,S009,4884.470390297258,,False,14400.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S011-MED-01,SENS19-015,S011,5801.667554515361,10800.0,False,,False,0.0,FEASIBILITY_RESTORED_0P1DB
S011-WAT-01,SENS19-015,S011,5801.667554515361,10800.0,False,10800.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S011-FOD-01,SENS19-015,S011,5801.667554515361,,False,14400.0,False,0.0,FEASIBILITY_RESTORED_0P1DB
S001-WAT-06,SENS19-016,S001,9219.8827108106,,False,3600.0,True,5619.8827108106,FEASIBILITY_RESTORED_0P1DB
S001-WAT-07,SENS19-016,S001,9219.8827108106,,False,3600.0,True,5619.8827108106,FEASIBILITY_RESTORED_0P1DB
S001-WAT-08,SENS19-016,S001,9219.8827108106,,False,3600.0,True,5619.8827108106,FEASIBILITY_RESTORED_0P1DB
