metric,independent,frozen,delta,unit
binding_time_s,922.7364440917968,922.7364440917968,0.0,s
access_threshold_db,116.0,116.0,0.0,dB
access_path_loss_db,103.56062937391802,103.56062937391802,0.0,dB
access_margin_db,12.439370626081981,12.439370626081981,0.0,dB
backhaul_threshold_db,126.0,126.0,0.0,dB
backhaul_path_loss_db,126.0771202430442,126.07712024304357,6.3e-13,dB
backhaul_margin_db,-0.0771202430441917,-0.0771202430435664,-6.25e-13,dB
joint_margin_db,-0.07712024304419174,-0.07712024304419174,0.0,dB
access_horizontal_distance_m,1497.1290061712386,1497.1290061712386,0.0,m
access_3d_distance_m,1497.3393121168376,1497.3393121168376,0.0,m
backhaul_horizontal_distance_m,6323.061133777164,6323.061133777164,0.0,m
backhaul_3d_distance_m,6326.226986412901,6326.226986412901,0.0,m
access_min_clearance_m,50.0,,,m
backhaul_min_clearance_m,-18.78114067069569,,,m
