box_id,task_id,field,A_value,B_value,delta,A_source_function,B_source_function
S001-MED-01,Q2-001,arrival_time,996.9016197465803,996.9016197465803,0.0,eval_A,eval_B
S001-MED-01,Q2-001,completion_time,1428.9016197465803,1428.9016197465803,0.0,eval_A,eval_B
S001-MED-01,Q2-001,hard_deadline,3600.0,3600.0,0.0,eval_A,eval_B
S001-MED-01,Q2-001,late_flag,False,False,0.0,eval_A,eval_B
S001-MED-01,Q2-001,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-MED-02,Q2-001,arrival_time,996.9016197465803,996.9016197465803,0.0,eval_A,eval_B
S001-MED-02,Q2-001,completion_time,1428.9016197465803,1428.9016197465803,0.0,eval_A,eval_B
S001-MED-02,Q2-001,hard_deadline,3600.0,3600.0,0.0,eval_A,eval_B
S001-MED-02,Q2-001,late_flag,False,False,0.0,eval_A,eval_B
S001-MED-02,Q2-001,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-WAT-01,Q2-001,arrival_time,996.9016197465803,996.9016197465803,0.0,eval_A,eval_B
S001-WAT-01,Q2-001,completion_time,1428.9016197465803,1428.9016197465803,0.0,eval_A,eval_B
S001-WAT-01,Q2-001,hard_deadline,3600.0,3600.0,0.0,eval_A,eval_B
S001-WAT-01,Q2-001,late_flag,False,False,0.0,eval_A,eval_B
S001-WAT-01,Q2-001,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-WAT-02,Q2-001,arrival_time,996.9016197465803,996.9016197465803,0.0,eval_A,eval_B
S001-WAT-02,Q2-001,completion_time,1428.9016197465803,1428.9016197465803,0.0,eval_A,eval_B
S001-WAT-02,Q2-001,hard_deadline,,,,eval_A,eval_B
S001-WAT-02,Q2-001,late_flag,False,False,0.0,eval_A,eval_B
S001-WAT-02,Q2-001,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-WAT-03,Q2-001,arrival_time,996.9016197465803,996.9016197465803,0.0,eval_A,eval_B
S001-WAT-03,Q2-001,completion_time,1428.9016197465803,1428.9016197465803,0.0,eval_A,eval_B
S001-WAT-03,Q2-001,hard_deadline,,,,eval_A,eval_B
S001-WAT-03,Q2-001,late_flag,False,False,0.0,eval_A,eval_B
S001-WAT-03,Q2-001,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-WAT-04,Q2-001,arrival_time,996.9016197465803,996.9016197465803,0.0,eval_A,eval_B
S001-WAT-04,Q2-001,completion_time,1428.9016197465803,1428.9016197465803,0.0,eval_A,eval_B
S001-WAT-04,Q2-001,hard_deadline,,,,eval_A,eval_B
S001-WAT-04,Q2-001,late_flag,False,False,0.0,eval_A,eval_B
S001-WAT-04,Q2-001,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-WAT-05,Q2-001,arrival_time,996.9016197465803,996.9016197465803,0.0,eval_A,eval_B
S001-WAT-05,Q2-001,completion_time,1428.9016197465803,1428.9016197465803,0.0,eval_A,eval_B
S001-WAT-05,Q2-001,hard_deadline,,,,eval_A,eval_B
S001-WAT-05,Q2-001,late_flag,False,False,0.0,eval_A,eval_B
S001-WAT-05,Q2-001,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-WAT-06,Q2-002,arrival_time,1086.9016197465803,1086.9016197465803,0.0,eval_A,eval_B
S001-WAT-06,Q2-002,completion_time,1554.9016197465803,1554.9016197465803,0.0,eval_A,eval_B
S001-WAT-06,Q2-002,hard_deadline,,,,eval_A,eval_B
S001-WAT-06,Q2-002,late_flag,False,False,0.0,eval_A,eval_B
S001-WAT-06,Q2-002,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-WAT-07,Q2-002,arrival_time,1086.9016197465803,1086.9016197465803,0.0,eval_A,eval_B
S001-WAT-07,Q2-002,completion_time,1554.9016197465803,1554.9016197465803,0.0,eval_A,eval_B
S001-WAT-07,Q2-002,hard_deadline,,,,eval_A,eval_B
S001-WAT-07,Q2-002,late_flag,False,False,0.0,eval_A,eval_B
S001-WAT-07,Q2-002,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-WAT-08,Q2-002,arrival_time,1086.9016197465803,1086.9016197465803,0.0,eval_A,eval_B
S001-WAT-08,Q2-002,completion_time,1554.9016197465803,1554.9016197465803,0.0,eval_A,eval_B
S001-WAT-08,Q2-002,hard_deadline,,,,eval_A,eval_B
S001-WAT-08,Q2-002,late_flag,False,False,0.0,eval_A,eval_B
S001-WAT-08,Q2-002,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-FOD-01,Q2-002,arrival_time,1086.9016197465803,1086.9016197465803,0.0,eval_A,eval_B
S001-FOD-01,Q2-002,completion_time,1554.9016197465803,1554.9016197465803,0.0,eval_A,eval_B
S001-FOD-01,Q2-002,hard_deadline,,,,eval_A,eval_B
S001-FOD-01,Q2-002,late_flag,False,False,0.0,eval_A,eval_B
S001-FOD-01,Q2-002,lateness,0.0,0.0,0.0,eval_A,eval_B
S001-FOD-02,Q2-002,arrival_time,1086.9016197465803,1086.9016197465803,0.0,eval_A,eval_B
S001-FOD-02,Q2-002,completion_time,1554.9016197465803,1554.9016197465803,0.0,eval_A,eval_B
