resource,task_id,A_start,A_end,B_start,B_end,delta_start,delta_end,A_source_function,B_source_function
battery:B-B01,Q2-003,19320.0,22773.038835487576,19320.0,22773.038835487576,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:B-B01,Q2-014,7620.0,9943.082526136332,7620.0,9943.082526136332,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:B-B01,Q2-018,10500.0,13997.745454132582,10500.0,13997.745454132582,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:B-B02,Q2-005,12960.0,16697.25417127768,12960.0,16697.25417127768,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:B-B02,Q2-015,16500.0,20284.593839025667,16500.0,20284.593839025667,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:B-B03,Q2-012,8340.0,11478.560029272621,8340.0,11478.560029272621,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:B-B03,Q2-016,22320.0,25287.79959437008,22320.0,25287.79959437008,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:B-B04,Q2-013,2460.0,5470.411224025971,2460.0,5470.411224025971,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:B-B04,Q2-017,21420.0,24881.41256519173,21420.0,24881.41256519173,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B01,Q2-001,180.0,3367.3109623674864,180.0,3367.3109623674864,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B01,Q2-007,5460.0,10271.440789441118,5460.0,10271.440789441118,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B02,Q2-002,240.0,3514.551411647617,240.0,3514.551411647617,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B02,Q2-008,9420.0,13281.38265746311,9420.0,13281.38265746311,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B02,Q2-011,12300.0,16923.53487412189,12300.0,16923.53487412189,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B03,Q2-004,18000.0,22650.88521606678,18000.0,22650.88521606678,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B03,Q2-009,2340.0,5436.730061755685,2340.0,5436.730061755685,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B04,Q2-006,4500.0,9481.670128696533,4500.0,9481.670128696533,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
battery:C-B04,Q2-010,15540.0,19204.562442862643,15540.0,19204.562442862643,0.0,0.0,eval_A.battery_interval,eval_B.charge_event
relay_pool,Q2-001,0.0,2041.4332394931612,0.0,2041.4332394931612,0.0,0.0,eval_A.relay_interval,eval_B.relay_event
relay_pool,Q2-002,60.0,2167.4332394931607,60.0,2167.4332394931607,0.0,0.0,eval_A.relay_interval,eval_B.relay_event
relay_pool,Q2-003,19140.0,21379.923088697768,19140.0,21379.923088697768,0.0,0.0,eval_A.relay_interval,eval_B.relay_event
relay_pool,Q2-004,17820.0,20411.041173414567,17820.0,20411.041173414567,0.0,0.0,eval_A.relay_interval,eval_B.relay_event
relay_pool,Q2-005,12780.0,15280.329865553917,12780.0,15280.329865553917,0.0,0.0,eval_A.relay_interval,eval_B.relay_event
relay_pool,Q2-006,4320.0,7235.897911615111,4320.0,7235.897911615111,0.0,0.0,eval_A.relay_interval,eval_B.relay_event
