task_id,field,A_value,B_value,delta,A_source_function,B_source_function
Q2-001,start_time,180.0,180.0,0.0,eval_A,eval_B
Q2-001,arrival_time,996.9016197465803,996.9016197465803,0.0,eval_A,eval_B
Q2-001,completion_time,1428.9016197465803,1428.9016197465803,0.0,eval_A,eval_B
Q2-001,hard_deadline,3600.0,3600.0,0.0,eval_A,eval_B
Q2-001,deadline_slack,2171.0983802534197,2171.0983802534197,0.0,eval_A,eval_B
Q2-001,late_box_count,0,0,0.0,eval_A,eval_B
Q2-001,late_flag,False,False,0.0,eval_A,eval_B
Q2-001,transport_resource_interval,"[180.0,1741.4332394931612)","[180.0,1741.4332394931612)",0.0,eval_A,eval_B
Q2-001,relay_resource_interval,"[0.0,2041.4332394931612)","[0.0,2041.4332394931612)",0.0,eval_A,eval_B
Q2-001,service_resource_interval,"[996.9016197465803,1428.9016197465803)","[996.9016197465803,1428.9016197465803)",0.0,eval_A,eval_B
Q2-001,battery_resource_interval,"[180.0,3367.3109623674864)","[180.0,3367.3109623674864)",0.0,eval_A,eval_B
Q2-001,relay_energy,0.06557231014409345,0.06557231014409345,0.0,eval_A,eval_B
Q2-001,transport_energy,2.9263177459975083,2.9263177459975083,0.0,eval_A,eval_B
Q2-001,total_energy,2.9918900561416018,2.9918900561416018,0.0,eval_A,eval_B
Q2-002,start_time,240.0,240.0,0.0,eval_A,eval_B
Q2-002,arrival_time,1086.9016197465803,1086.9016197465803,0.0,eval_A,eval_B
Q2-002,completion_time,1554.9016197465803,1554.9016197465803,0.0,eval_A,eval_B
Q2-002,hard_deadline,,,,eval_A,eval_B
Q2-002,deadline_slack,,,,eval_A,eval_B
Q2-002,late_box_count,0,0,0.0,eval_A,eval_B
Q2-002,late_flag,False,False,0.0,eval_A,eval_B
Q2-002,transport_resource_interval,"[240.0,1867.4332394931607)","[240.0,1867.4332394931607)",0.0,eval_A,eval_B
Q2-002,relay_resource_interval,"[60.0,2167.4332394931607)","[60.0,2167.4332394931607)",0.0,eval_A,eval_B
Q2-002,service_resource_interval,"[1086.9016197465803,1554.9016197465803)","[1086.9016197465803,1554.9016197465803)",0.0,eval_A,eval_B
Q2-002,battery_resource_interval,"[240.0,3514.551411647617)","[240.0,3514.551411647617)",0.0,eval_A,eval_B
Q2-002,relay_energy,0.06557231014409345,0.06557231014409345,0.0,eval_A,eval_B
Q2-002,transport_energy,3.004744020262608,3.004744020262608,0.0,eval_A,eval_B
Q2-002,total_energy,3.0703163304067016,3.0703163304067016,0.0,eval_A,eval_B
Q2-003,start_time,19320.0,19320.0,0.0,eval_A,eval_B
Q2-003,arrival_time,20271.90154434889,20271.90154434889,0.0,eval_A,eval_B
Q2-003,completion_time,20481.90154434889,20481.90154434889,0.0,eval_A,eval_B
Q2-003,hard_deadline,,,,eval_A,eval_B
Q2-003,deadline_slack,,,,eval_A,eval_B
Q2-003,late_box_count,0,0,0.0,eval_A,eval_B
Q2-003,late_flag,False,False,0.0,eval_A,eval_B
Q2-003,transport_resource_interval,"[19320.0,21079.923088697768)","[19320.0,21079.923088697768)",0.0,eval_A,eval_B
Q2-003,relay_resource_interval,"[19140.0,21379.923088697768)","[19140.0,21379.923088697768)",0.0,eval_A,eval_B
Q2-003,service_resource_interval,"[20271.90154434889,20481.90154434889)","[20271.90154434889,20481.90154434889)",0.0,eval_A,eval_B
Q2-003,battery_resource_interval,"[19320.0,22773.038835487576)","[19320.0,22773.038835487576)",0.0,eval_A,eval_B
Q2-003,relay_energy,0.158610621870195,0.158610621870195,0.0,eval_A,eval_B
