service,type,safe_mass_kg,all_boxes_safe,all_mass_kg,all_volume_m3,all_energy_kwh
S001,A,25.0,False,154.0,0.394,1.3875252452919824
S001,B,30.0,False,154.0,0.394,1.3458901428049588
S001,C,80.0,False,154.0,0.394,3.131645004007706
S002,A,25.0,False,81.0,0.211,3.138672892465204
S002,B,30.0,False,81.0,0.211,3.043261575441907
S002,C,68.55050513542791,False,81.0,0.211,7.372054104417084
S003,A,25.0,False,81.0,0.211,3.24824762075879
S003,B,30.0,False,81.0,0.211,3.147628950754312
S003,C,68.22544642499653,False,81.0,0.211,7.382529084670889
S004,A,25.0,False,59.0,0.156,3.3141080252452486
S004,B,30.0,False,59.0,0.156,3.2117178857964683
S004,C,63.25794894126584,True,59.0,0.156,6.176933464710716
S005,A,25.0,False,59.0,0.156,2.2791502843184213
S005,B,30.0,False,59.0,0.156,2.208521487583468
S005,C,80.0,True,59.0,0.156,4.238781800099432
S006,A,25.0,False,59.0,0.156,1.4182978408837703
S006,B,30.0,False,59.0,0.156,1.3741890331980497
S006,C,80.0,True,59.0,0.156,2.59397203090111
S007,A,25.0,False,45.0,0.129,2.046866477518856
S007,B,30.0,False,45.0,0.129,1.9814443687105543
S007,C,80.0,True,45.0,0.129,3.410630658987098
S008,A,25.0,False,45.0,0.129,3.4181328499048806
S008,B,28.631270474972457,False,45.0,0.129,3.3130886904772816
S008,C,58.433111258195794,True,45.0,0.129,5.8575758150825585
S009,A,25.0,False,25.0,0.067,2.3940222940252855
S009,B,30.0,True,25.0,0.067,2.1025167724731753
S009,C,80.0,True,25.0,0.067,3.7807720203332282
S010,A,25.0,False,25.0,0.067,2.0683232746608082
S010,B,30.0,True,25.0,0.067,1.8211113403975845
S010,C,80.0,True,25.0,0.067,3.226192555888436
S011,A,25.0,False,25.0,0.067,1.2233020377092423
S011,B,30.0,True,25.0,0.067,1.0771852988708592
S011,C,80.0,True,25.0,0.067,1.9059046701785665
S012,A,25.0,False,25.0,0.067,3.1346951188520817
S012,B,30.0,True,25.0,0.067,2.7554719231198046
S012,C,68.00510948120798,True,25.0,0.067,4.927585126249488
S013,A,25.0,False,25.0,0.067,2.0740369467114674
S013,B,30.0,True,25.0,0.067,1.8246747161043195
S013,C,80.0,True,25.0,0.067,3.2489901410752613
S014,A,25.0,False,25.0,0.067,2.422148591276994
S014,B,30.0,True,25.0,0.067,2.13728360269695
S014,C,80.0,True,25.0,0.067,3.733109748808894
S015,A,25.0,False,25.0,0.067,2.6233523546494126
S015,B,30.0,True,25.0,0.067,2.3110443273275134
S015,C,80.0,True,25.0,0.067,4.0818724243462565
