battery_type,battery_id,inventory,observed_type_peak,task_id,discharge_start_s,return_s,recharge_start_s,recharge_end_s,available_again_s,feasible
B,B-B01,4,3,Q2-012,9708.008619399545,11268.811380600457,11268.811380600457,12846.568648672166,12846.568648672166,True
B,B-B01,4,3,Q2-013,180.0,1734.5963098536845,1734.5963098536845,3190.411224025971,3190.411224025971,True
B,B-B02,4,3,Q2-003,94802.2407581499,96562.16384684767,96562.16384684767,98255.27959363748,98255.27959363748,True
B,B-B02,4,3,Q2-014,8038.373056107237,9228.00861939953,9228.00861939953,10361.455582243569,10361.455582243569,True
B,B-B03,4,3,Q2-005,88661.09724786512,90681.42711341903,90681.42711341903,92398.3514191428,92398.3514191428,True
B,B-B03,4,3,Q2-015,92398.3514191428,94322.2407581499,94322.2407581499,96182.94525816847,96182.94525816847,True
B,B-B03,4,3,Q2-016,2214.5963098536595,3725.036860578532,3725.036860578532,5182.395904223737,5182.395904223737,True
B,B-B04,4,3,Q2-017,2358.148497988473,4226.738168678192,4226.738168678192,5819.561063180204,5819.561063180204,True
B,B-B04,4,3,Q2-018,7115.715794407932,8945.342040031923,8945.342040031923,10613.461248540512,10613.461248540512,True
C,C-B02,4,2,Q2-007,5253.185080025265,7558.373056107231,7558.373056107231,10064.625869466385,10064.625869466385,True
C,C-B03,4,2,Q2-001,316.7152584953037,1878.148497988465,1878.148497988465,3504.02622086279,3504.02622086279,True
C,C-B03,4,2,Q2-002,97042.16384684767,98669.59708634084,98669.59708634084,100316.7152584953,100316.7152584953,True
C,C-B03,4,2,Q2-004,13286.724697495025,15397.76587090959,15397.76587090959,17937.609913561806,17937.609913561806,True
C,C-B03,4,2,Q2-006,85745.19933625,88181.09724786512,88181.09724786512,90726.86946494656,90726.86946494656,True
C,C-B03,4,2,Q2-008,9425.34204003191,11305.387959968091,11305.387959968091,13286.72469749502,13286.72469749502,True
C,C-B03,4,2,Q2-009,17937.609913561813,19498.472550281786,19498.472550281786,21034.339975317504,21034.339975317504,True
C,C-B04,4,2,Q2-010,83837.68269686303,85745.19933625,85745.19933625,87502.24513972568,87502.24513972568,True
C,C-B04,4,2,Q2-011,4431.941036870872,6635.715794407903,6635.715794407903,9055.475910992762,9055.475910992762,True
