box_id,sortie,arrival_s,completion_s
S001-MED-01,Q2-001,887.1682718383943,1319.1682718383943
S001-MED-02,Q2-001,887.1682718383943,1319.1682718383943
S001-WAT-01,Q2-001,887.1682718383943,1319.1682718383943
S001-WAT-02,Q2-001,887.1682718383943,1319.1682718383943
S001-WAT-03,Q2-001,887.1682718383943,1319.1682718383943
S001-WAT-04,Q2-001,887.1682718383943,1319.1682718383943
S001-WAT-05,Q2-001,887.1682718383943,1319.1682718383943
S001-WAT-06,Q2-002,94666.47476686182,95134.47476686182
S001-WAT-07,Q2-002,94666.47476686182,95134.47476686182
S001-WAT-08,Q2-002,94666.47476686182,95134.47476686182
S001-FOD-01,Q2-002,94666.47476686182,95134.47476686182
S001-FOD-02,Q2-002,94666.47476686182,95134.47476686182
S001-FOD-03,Q2-002,94666.47476686182,95134.47476686182
S001-HYG-01,Q2-002,94666.47476686182,95134.47476686182
S001-HYG-02,Q2-002,94666.47476686182,95134.47476686182
S002-FOD-02,Q2-003,98782.24510774293,98992.24510774293
S002-HYG-01,Q2-003,98782.24510774293,98992.24510774293
S002-MED-01,Q2-004,3203.9999999999995,3599.9999999999995
S002-WAT-01,Q2-004,3203.9999999999995,3599.9999999999995
S002-WAT-02,Q2-004,3203.9999999999995,3599.9999999999995
S002-WAT-03,Q2-004,3203.9999999999995,3599.9999999999995
S002-WAT-04,Q2-004,3203.9999999999995,3599.9999999999995
S002-FOD-01,Q2-004,3203.9999999999995,3599.9999999999995
S003-FOD-02,Q2-005,94417.71141322552,94627.71141322552
S003-HYG-01,Q2-005,94417.71141322552,94627.71141322552
S003-MED-01,Q2-006,11096.753438532984,11492.753438532984
S003-WAT-01,Q2-006,11096.753438532984,11492.753438532984
S003-WAT-02,Q2-006,11096.753438532984,11492.753438532984
S003-WAT-03,Q2-006,11096.753438532984,11492.753438532984
S003-WAT-04,Q2-006,11096.753438532984,11492.753438532984
S003-FOD-01,Q2-006,11096.753438532984,11492.753438532984
S004-MED-01,Q2-007,5891.674574748259,6287.674574748259
S004-WAT-01,Q2-007,5891.674574748259,6287.674574748259
S004-WAT-02,Q2-007,5891.674574748259,6287.674574748259
S004-WAT-03,Q2-007,5891.674574748259,6287.674574748259
S004-FOD-01,Q2-007,5891.674574748259,6287.674574748259
S004-HYG-01,Q2-007,5891.674574748259,6287.674574748259
S005-MED-01,Q2-008,8465.956522757338,8861.956522757338
S005-WAT-01,Q2-008,8465.956522757338,8861.956522757338
S005-WAT-02,Q2-008,8465.956522757338,8861.956522757338
S005-WAT-03,Q2-008,8465.956522757338,8861.956522757338
S005-FOD-01,Q2-008,8465.956522757338,8861.956522757338
S005-HYG-01,Q2-008,8465.956522757338,8861.956522757338
S006-MED-01,Q2-009,90557.19051890147,90953.19051890147
S006-WAT-01,Q2-009,90557.19051890147,90953.19051890147
S006-WAT-02,Q2-009,90557.19051890147,90953.19051890147
S006-WAT-03,Q2-009,90557.19051890147,90953.19051890147
S006-FOD-01,Q2-009,90557.19051890147,90953.19051890147
S006-HYG-01,Q2-009,90557.19051890147,90953.19051890147
S007-MED-01,Q2-010,3099.4182112784683,3459.4182112784683
S007-WAT-01,Q2-010,3099.4182112784683,3459.4182112784683
S007-WAT-02,Q2-010,3099.4182112784683,3459.4182112784683
S007-FOD-01,Q2-010,3099.4182112784683,3459.4182112784683
S007-HYG-01,Q2-010,3099.4182112784683,3459.4182112784683
S008-MED-01,Q2-011,91795.5257683467,92155.5257683467
S008-WAT-01,Q2-011,91795.5257683467,92155.5257683467
S008-WAT-02,Q2-011,91795.5257683467,92155.5257683467
S008-FOD-01,Q2-011,91795.5257683467,92155.5257683467
S008-HYG-01,Q2-011,91795.5257683467,92155.5257683467
S009-MED-01,Q2-012,922.2580326922694,1162.2580326922694
S009-WAT-01,Q2-012,922.2580326922694,1162.2580326922694
S009-FOD-01,Q2-012,922.2580326922694,1162.2580326922694
S010-MED-01,Q2-013,92629.81165885506,92869.81165885506
S010-WAT-01,Q2-013,92629.81165885506,92869.81165885506
S010-FOD-01,Q2-013,92629.81165885506,92869.81165885506
S011-MED-01,Q2-014,7475.847224908719,7715.847224908719
S011-WAT-01,Q2-014,7475.847224908719,7715.847224908719
S011-FOD-01,Q2-014,7475.847224908719,7715.847224908719
S012-MED-01,Q2-015,86023.50986034822,86263.50986034822
S012-WAT-01,Q2-015,86023.50986034822,86263.50986034822
S012-FOD-01,Q2-015,86023.50986034822,86263.50986034822
S013-MED-01,Q2-016,96662.65662136501,96902.65662136501
S013-WAT-01,Q2-016,96662.65662136501,96902.65662136501
S013-FOD-01,Q2-016,96662.65662136501,96902.65662136501
S014-MED-01,Q2-017,88397.3760318633,88637.3760318633
S014-WAT-01,Q2-017,88397.3760318633,88637.3760318633
S014-FOD-01,Q2-017,88397.3760318633,88637.3760318633
S015-MED-01,Q2-018,5477.469653783924,5717.469653783924
S015-WAT-01,Q2-018,5477.469653783924,5717.469653783924
S015-FOD-01,Q2-018,5477.469653783924,5717.469653783924
