sortie,resource,start_s,end_s
Q2-001,transport:U07,70.26665209181374,1631.699891584975
Q2-001,service:S001,887.1682718383943,1319.1682718383943
Q2-002,transport:U08,93819.57314711524,95447.0063866084
Q2-002,service:S001,94666.47476686182,95134.47476686182
Q2-003,transport:U05,97830.34356339404,99590.26665209181
Q2-003,service:S002,98782.24510774293,98992.24510774293
Q2-004,transport:U07,2111.0694132927165,4222.110586707282
Q2-004,service:S002,3203.9999999999995,3599.9999999999995
Q2-005,transport:U06,93339.57314711524,95359.90301266915
Q2-005,service:S003,94417.71141322552,94627.71141322552
Q2-006,transport:U08,9847.344482725428,12283.24239434054
Q2-006,service:S003,11096.753438532984,11492.753438532984
Q2-007,transport:U07,4702.1105867072765,7007.298562789242
Q2-007,service:S004,5891.674574748259,6287.674574748259
Q2-008,transport:U08,7487.2985627892485,9367.344482725428
Q2-008,service:S005,8465.956522757338,8861.956522757338
Q2-009,transport:U08,89744.11420054149,91304.97683726145
Q2-009,service:S006,90557.19051890147,90953.19051890147
Q2-010,transport:U07,2111.6998915849836,4019.216530971953
Q2-010,service:S007,3099.4182112784683,3459.4182112784683
Q2-011,transport:U08,90655.7983895782,92859.57314711522
Q2-011,service:S008,91795.5257683467,92155.5257683467
Q2-012,transport:U05,70.26665209181385,1631.0694132927251
Q2-012,service:S009,922.2580326922694,1162.2580326922694
Q2-013,transport:U06,91784.97683726155,93339.57314711524
Q2-013,service:S010,92629.81165885506,92869.81165885506
Q2-014,transport:U05,6808.842776595906,7998.4783398882
Q2-014,service:S011,7475.847224908719,7715.847224908719
Q2-015,transport:U06,84991.63519084468,86915.52452985177
Q2-015,service:S012,86023.50986034822,86263.50986034822
Q2-016,transport:U05,95839.90301266924,97350.34356339411
Q2-016,service:S013,96662.65662136501,96902.65662136501
Q2-017,transport:U06,87395.52452985177,89264.11420054149
Q2-017,service:S014,88397.3760318633,88637.3760318633
Q2-018,transport:U05,4499.216530971928,6328.8427765959195
Q2-018,service:S015,5477.469653783924,5717.469653783924
