sortie,relay_id,cert_record_found,relay_feasible_record,segment1_pixels,segment2_pixels,record_binding_ok
Q2-001,R02,True,True,137,139,True
Q2-002,R01,True,True,137,139,True
Q2-003,R01,True,True,163,487,True
Q2-004,R02,True,True,163,487,True
Q2-005,R02,True,True,341,339,True
Q2-006,R02,True,True,341,339,True
Q2-007,R02,True,True,277,279,True
Q2-008,R01,True,True,91,275,True
Q2-009,R01,True,True,61,175,True
Q2-010,R01,True,True,321,109,True
Q2-011,R01,True,True,163,483,True
Q2-012,R02,True,True,129,381,True
Q2-013,R01,True,True,103,307,True
Q2-014,R02,True,True,125,125,True
Q2-015,R01,True,True,179,533,True
Q2-016,R01,True,True,117,343,True
Q2-017,R02,True,True,205,205,True
Q2-018,R01,True,True,287,289,True
