service,type,box_ids,mass_kg,volume_m3,distance_m,ground_max_m,energy_kwh,out_flight_s,return_flight_s,flight_s,safe
S001,C,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",76.0,0.159,6126.9201194970265,223.05661010742188,2.9263177459975083,306.90161974658054,312.53161974658053,619.4332394931611,True
S001,C,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",78.0,0.23500000000000001,6126.9201194970265,223.05661010742188,3.004744020262608,306.90161974658054,312.53161974658053,619.4332394931611,True
S002,C,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",67.0,0.148,14871.052739157942,258.9542541503906,6.300962619023563,612.9305867072829,622.1105867072829,1235.041173414566,True
S002,B,"['S002-FOD-02', 'S002-HYG-01']",14.0,0.063,14871.052739157942,258.9542541503906,2.368728646438021,591.9015443488845,598.0215443488845,1189.923088697769,True
S003,C,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",67.0,0.148,14523.456943269643,511.80413818359375,6.322851263069863,769.4089558075558,790.4889558075557,1559.8979116151115,True
S003,B,"['S003-FOD-02', 'S003-HYG-01']",14.0,0.063,14523.456943269643,511.80413818359375,2.423671474747147,718.1382661102901,732.1915994436235,1450.3298655539138,True
S004,C,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",59.0,0.156,15491.362152215808,348.2391662597656,6.176933464710716,709.5639880409827,719.6239880409827,1429.1879760819654,True
S005,C,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",59.0,0.156,10604.044804902072,276.410888671875,4.238781800099432,498.6579599680899,505.38795996808994,1004.0459199361799,True
S006,C,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",59.0,0.156,6362.047888201837,316.09783935546875,2.59397203090111,333.07631835998313,351.7863183599831,684.8626367199663,True
S007,C,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",45.0,0.129,9068.173864486185,461.9731750488281,3.410630658987098,537.7183196934849,559.7983196934848,1097.5166393869697,True
S008,C,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",45.0,0.129,16219.16939161991,322.9093322753906,5.8575758150825585,689.7273787685153,704.0473787685152,1393.7747575370304,True
S009,B,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",25.0,0.067,11445.705346236326,243.22891235351562,2.1025167724731753,461.9913806004556,468.81138060045566,930.8027612009113,True
S010,B,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",25.0,0.067,9557.24086362558,385.63653564453125,1.8211113403975845,454.83482159350893,469.7614882601756,924.5963098536845,True
S011,B,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",25.0,0.067,5634.374831220345,245.36175537109375,1.0771852988708592,277.00444831281357,282.63111497948023,559.6355632922938,True
S012,B,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",25.0,0.067,14798.218197899212,363.3009948730469,2.7554719231198046,641.8746695035414,652.0146695035414,1293.889339007083,True
S013,B,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",25.0,0.067,9698.008138802774,349.18182373046875,1.8246747161043195,432.7536086957695,447.68694202910285,880.4405507248723,True
S014,B,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",25.0,0.067,10821.702531048908,541.9473876953125,2.13728360269695,611.8515020115261,626.7381686781928,1238.5896706897188,True
S015,B,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",25.0,0.067,12039.01006619581,521.7992553710938,2.3110443273275134,588.2531228119958,611.3731228119957,1199.6262456239915,True
