resource,task_id,start_s,end_s,source_function
transport:U07,Q2-001,1560.8626367199759,3122.295876213137,eval_A.transport_interval
service:S001,Q2-001,2377.7642564665566,2809.7642564665566,eval_A.service_interval
battery:C-B04,Q2-001,1560.8626367199759,4748.173599087462,eval_A.battery_interval
transport:U08,Q2-002,11251.754393145558,12879.18763263872,eval_A.transport_interval
service:S001,Q2-002,12098.65601289214,12566.65601289214,eval_A.service_interval
battery:C-B02,Q2-002,11251.754393145558,14526.305804793175,eval_A.battery_interval
transport:U05,Q2-003,7393.232453143457,9153.155541841226,eval_A.transport_interval
service:S002,Q2-003,8345.133997492341,8555.133997492341,eval_A.service_interval
battery:B-B01,Q2-003,7393.232453143457,10846.271288631035,eval_A.battery_interval
transport:U08,Q2-004,141.24050689195394,2252.28168030652,eval_A.transport_interval
service:S002,Q2-004,1234.1710935992369,1630.1710935992369,eval_A.service_interval
battery:C-B03,Q2-004,141.24050689195394,4792.125722958735,eval_A.battery_interval
transport:U06,Q2-005,5815.475185071729,7835.805050625643,eval_A.transport_interval
service:S003,Q2-005,6893.61345118202,7103.61345118202,eval_A.service_interval
battery:B-B04,Q2-005,5815.475185071729,9552.729356349406,eval_A.battery_interval
transport:U07,Q2-006,3122.2958762131457,5558.193787828257,eval_A.transport_interval
service:S003,Q2-006,4371.704832020701,4767.704832020701,eval_A.service_interval
battery:C-B01,Q2-006,3122.2958762131457,8103.966004909678,eval_A.battery_interval
transport:U07,Q2-007,5558.193787828233,7863.381763910199,eval_A.transport_interval
service:S004,Q2-007,6747.757775869216,7143.757775869216,eval_A.service_interval
battery:C-B03,Q2-007,5558.193787828233,10369.634577269351,eval_A.battery_interval
transport:U08,Q2-008,9371.708473209379,11251.754393145558,eval_A.transport_interval
service:S005,Q2-008,10350.366433177469,10746.366433177469,eval_A.service_interval
battery:C-B04,Q2-008,9371.708473209379,13233.091130672488,eval_A.battery_interval
transport:U07,Q2-009,0.0,1560.8626367199668,eval_A.transport_interval
service:S006,Q2-009,813.0763183599829,1209.076318359983,eval_A.service_interval
battery:C-B01,Q2-009,0.0,3096.730061755684,eval_A.battery_interval
transport:U08,Q2-010,2252.281680306515,4159.798319693485,eval_A.transport_interval
service:S007,Q2-010,3240.0,3600.0,eval_A.service_interval
battery:C-B02,Q2-010,2252.281680306515,5916.844123169157,eval_A.battery_interval
transport:U08,Q2-011,4748.173599087488,6951.948356624518,eval_A.transport_interval
service:S008,Q2-011,5887.900977856003,6247.900977856003,eval_A.service_interval
battery:C-B04,Q2-011,4748.173599087488,9371.708473209377,eval_A.battery_interval
transport:U06,Q2-012,4254.672423870827,5815.475185071738,eval_A.transport_interval
service:S009,Q2-012,5106.663804471282,5346.663804471282,eval_A.service_interval
battery:B-B01,Q2-012,4254.672423870827,7393.232453143448,eval_A.battery_interval
transport:U06,Q2-013,0.0,1554.5963098536845,eval_A.transport_interval
service:S010,Q2-013,844.8348215935089,1084.8348215935089,eval_A.service_interval
battery:B-B03,Q2-013,0.0,3010.411224025971,eval_A.battery_interval
transport:U06,Q2-014,3065.036860578519,4254.672423870813,eval_A.transport_interval
service:S011,Q2-014,3732.041308891332,3972.041308891332,eval_A.service_interval
battery:B-B03,Q2-014,3065.036860578519,5388.119386714852,eval_A.battery_interval
transport:U05,Q2-015,3.637978807091713e-12,1923.889339007087,eval_A.transport_interval
service:S012,Q2-015,1031.8746695035452,1271.8746695035452,eval_A.service_interval
battery:B-B01,Q2-015,3.637978807091713e-12,3784.593839025669,eval_A.battery_interval
transport:U06,Q2-016,1554.5963098536595,3065.0368605785316,eval_A.transport_interval
service:S013,Q2-016,2377.3499185494293,2617.3499185494293,eval_A.service_interval
battery:B-B04,Q2-016,1554.5963098536595,4522.395904223737,eval_A.battery_interval
transport:U05,Q2-017,2358.1484979884735,4226.738168678192,eval_A.transport_interval
service:S014,Q2-017,3360.0,3600.0,eval_A.service_interval
battery:B-B02,Q2-017,2358.1484979884735,5819.561063180204,eval_A.battery_interval
transport:U05,Q2-018,5563.606207519479,7393.232453143471,eval_A.transport_interval
service:S015,Q2-018,6541.859330331475,6781.859330331475,eval_A.service_interval
battery:B-B03,Q2-018,5563.606207519479,9061.35166165206,eval_A.battery_interval
