sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok
Q2-001,U07,C,C-B04,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",1560.8626367199759,S001,2809.7642564665566,432,3122.295876213137,2.9263177459975083,0.6342102817503115,True
Q2-002,U08,C,C-B02,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",11251.754393145558,S001,12566.65601289214,468,12879.18763263872,3.004744020262608,0.624406997467174,True
Q2-003,U05,B,B-B01,"['S002-FOD-02', 'S002-HYG-01']",7393.232453143457,S002,8555.133997492341,210,9153.155541841226,2.368728646438021,0.4078178383904948,True
Q2-004,U08,C,C-B03,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",141.24050689195394,S002,1630.1710935992369,396,2252.28168030652,6.300962619023563,0.2123796726220546,True
Q2-005,U06,B,B-B04,"['S003-FOD-02', 'S003-HYG-01']",5815.475185071729,S003,7103.61345118202,210,7835.805050625643,2.423671474747147,0.39408213131321324,True
Q2-006,U07,C,C-B01,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",3122.2958762131457,S003,4767.704832020701,396,5558.193787828257,6.322851263069863,0.20964359211626715,True
Q2-007,U07,C,C-B03,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",5558.193787828233,S004,7143.757775869216,396,7863.381763910199,6.176933464710716,0.22788331691116048,True
Q2-008,U08,C,C-B04,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",9371.708473209379,S005,10746.366433177469,396,11251.754393145558,4.238781800099432,0.47015227498757095,True
Q2-009,U07,C,C-B01,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",0.0,S006,1209.076318359983,396,1560.8626367199668,2.59397203090111,0.6757534961373612,False
Q2-010,U08,C,C-B02,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",2252.281680306515,S007,3600.0,360,4159.798319693485,3.410630658987098,0.5736711676266127,False
Q2-011,U08,C,C-B04,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",4748.173599087488,S008,6247.900977856003,360,6951.948356624518,5.8575758150825585,0.2678030231146802,False
Q2-012,U06,B,B-B01,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",4254.672423870827,S009,5346.663804471282,240,5815.475185071738,2.1025167724731753,0.4743708068817062,True
Q2-013,U06,B,B-B03,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",0.0,S010,1084.8348215935089,240,1554.5963098536845,1.8211113403975845,0.5447221649006039,True
Q2-014,U06,B,B-B03,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",3065.036860578519,S011,3972.041308891332,240,4254.672423870813,1.0771852988708592,0.7307036752822852,True
Q2-015,U05,B,B-B01,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",3.637978807091713e-12,S012,1271.8746695035452,240,1923.889339007087,2.7554719231198046,0.31113201922004885,False
Q2-016,U06,B,B-B04,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",1554.5963098536595,S013,2617.3499185494293,240,3065.0368605785316,1.8246747161043195,0.5438313209739201,False
Q2-017,U05,B,B-B02,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",2358.1484979884735,S014,3600.0,240,4226.738168678192,2.13728360269695,0.46567909932576246,False
Q2-018,U05,B,B-B03,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",5563.606207519479,S015,6781.859330331475,240,7393.232453143471,2.3110443273275134,0.42223891816812165,False
