record_type,battery_id,battery_type,sortie,discharge_start_s,discharge_end_s,recharge_start_s,recharge_end_s,available_again_s,inventory,observed_peak_with_recharge,feasible
interval,C-B01,C,SENS19-001,0.0,1561.4332394931612,1561.4332394931612,3187.3109623674864,3187.3109623674864,,,
interval,C-B02,C,SENS19-002,0.0,2111.041173414566,2111.041173414566,4650.885216066781,4650.885216066781,,,
interval,C-B03,C,SENS19-003,1561.4332394931612,3122.2958762131275,3122.2958762131275,4658.163301248845,4658.163301248845,,,
interval,C-B04,C,SENS19-004,2111.041173414566,4018.557812801536,4018.557812801536,5775.603616277208,5775.603616277208,,,
interval,B-B01,B,SENS19-005,0.0,1554.5963098536845,1554.5963098536845,3010.411224025971,3010.411224025971,,,
interval,B-B02,B,SENS19-006,0.0,1923.889339007083,1923.889339007083,3784.593839025665,3784.593839025665,,,
interval,B-B03,B,SENS19-007,1554.5963098536845,3065.036860578557,3065.036860578557,4522.395904223762,4522.395904223762,,,
interval,B-B04,B,SENS19-008,1923.889339007083,3792.4790096968018,3792.4790096968018,5385.301904198814,5385.301904198814,,,
interval,C-B01,C,SENS19-009,3187.3109623674864,5623.208873982598,5623.208873982598,8168.981091064019,8168.981091064019,,,
interval,C-B02,C,SENS19-010,4650.885216066781,6956.073192148747,6956.073192148747,9462.326005507899,9462.326005507899,,,
interval,C-B03,C,SENS19-011,5623.208873982598,7826.983631519628,7826.983631519628,10246.743748104487,10246.743748104487,,,
interval,B-B01,B,SENS19-012,3065.036860578557,4894.663106202548,4894.663106202548,6562.782314711138,6562.782314711138,,,
interval,C-B04,C,SENS19-013,6956.073192148747,8836.119112084927,8836.119112084927,10817.455849611857,10817.455849611857,,,
interval,B-B02,B,SENS19-014,3792.4790096968018,5353.281770897713,5353.281770897713,6931.039038969422,6931.039038969422,,,
interval,B-B03,B,SENS19-015,4894.663106202548,6084.298669494842,6084.298669494842,7217.7456323388815,7217.7456323388815,,,
interval,C-B01,C,SENS19-016,8168.981091064019,9532.41433055718,9532.41433055718,10993.112628086732,10993.112628086732,,,
interval,C-B02,C,SENS19-017,9462.3260055079,10825.75924500106,10825.75924500106,12222.67194596375,12222.67194596375,,,
interval,B-B04,B,SENS19-018,5385.301904198814,7145.224992896583,7145.224992896583,8838.340739686391,8838.340739686391,,,
interval,B-B01,B,SENS19-019,6562.782314711138,8583.112180265052,8583.112180265052,10300.036485988816,10300.036485988816,,,
type_summary,,B,,,,,,,4.0,4.0,True
type_summary,,C,,,,,,,4.0,4.0,True
