resource,scope,inventory,observed_peak,feasible
transport,global,8,4,True
B_battery,global,4,4,True
C_battery,global,4,4,True
service,global_diagnostic,15,3,True
service,service:S001,1,1,True
service,service:S002,1,1,True
service,service:S003,1,1,True
service,service:S004,1,1,True
service,service:S005,1,1,True
service,service:S006,1,1,True
service,service:S007,1,1,True
service,service:S008,1,1,True
service,service:S009,1,1,True
service,service:S010,1,1,True
service,service:S011,1,1,True
service,service:S012,1,1,True
service,service:S013,1,1,True
service,service:S014,1,1,True
service,service:S015,1,1,True
