sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok,relay
K20-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01']",0.0,S001,984.9016197465805,288.0,1297.4332394931612,2.026246288016649,0.7467192139979189,True,
K20-002,U08,C,C-B02,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",0.0,S002,1488.930586707283,396.0,2111.041173414566,6.300962619023563,0.2123796726220546,True,
K20-003,U07,C,C-B03,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",1297.4332394931612,S006,2506.5095578531445,396.0,2858.2958762131275,2.59397203090111,0.6757534961373612,True,
K20-004,U08,C,C-B04,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",2111.041173414566,S007,3458.7594931080507,360.0,4018.557812801536,3.410630658987098,0.5736711676266127,True,
K20-005,U05,B,B-B01,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",0.0,S010,1084.8348215935089,240.0,1554.5963098536845,1.8211113403975845,0.5447221649006039,True,
K20-006,U06,B,B-B02,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",0.0,S012,1271.8746695035416,240.0,1923.889339007083,2.7554719231198046,0.31113201922004885,True,
K20-007,U05,B,B-B03,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",1554.5963098536845,S013,2617.349918549454,240.0,3065.036860578557,1.8246747161043195,0.5438313209739201,True,
K20-008,U06,B,B-B04,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",1923.889339007083,S014,3165.740841018609,240.0,3792.4790096968018,2.13728360269695,0.46567909932576246,True,
K20-009,U07,C,C-B01,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",2858.2958762131275,S003,4503.704832020683,396.0,5294.193787828239,6.322851263069863,0.20964359211626715,True,
K20-010,U08,C,C-B03,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",4394.163301248845,S004,5979.727289289827,396.0,6699.35127733081,6.176933464710716,0.22788331691116048,True,
K20-011,U07,C,C-B02,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",5294.193787828239,S008,6793.921166596754,360.0,7497.968545365269,5.8575758150825585,0.2678030231146802,True,
K20-012,U05,B,B-B01,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",3065.036860578557,S015,4283.289983390553,240.0,4894.663106202548,2.3110443273275134,0.42223891816812165,True,
K20-013,U08,C,C-B04,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",6699.35127733081,S005,8074.0092372989,396.0,8579.39719726699,4.238781800099432,0.47015227498757095,True,
K20-014,U06,B,B-B02,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",3792.4790096968018,S009,4884.470390297258,240.0,5353.281770897713,2.1025167724731753,0.4743708068817062,True,
K20-015,U05,B,B-B03,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",4894.663106202548,S011,5801.667554515361,240.0,6084.298669494842,1.0771852988708592,0.7307036752822852,True,
K20-016,U07,C,C-B01,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01']",7839.96600490966,S001,8890.86762465624,324.0,9203.39924440282,2.316424483186039,0.7104469396017451,True,
K20-017,U08,C,C-B03,"['S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",9205.604090689962,S001,10256.505710436542,324.0,10569.037330183122,2.0809084343237814,0.7398864457095273,True,
K20-018,U07,C,C-B02,"['S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",9917.728661950128,S001,10968.630281696709,324.0,11281.161901443289,2.4122045109553385,0.6984744361305827,True,
K20-019,U06,B,B-B04,"['S002-FOD-02', 'S002-HYG-01']",5385.301904198814,S002,6547.203448547698,210.0,7145.224992896583,2.368728646438021,0.4078178383904948,True,
K20-020,U05,B,B-B01,"['S003-FOD-02', 'S003-HYG-01']",6562.782314711138,S003,7850.920580821427,210.0,8583.112180265052,2.423671474747147,0.39408213131321324,True,
