resource,task_id,start_s,end_s,source_function
transport:U07,K26-001,0.0,1297.4332394931612,eval_A.transport_interval
service:S001,K26-001,696.9016197465805,984.9016197465805,eval_A.service_interval
battery:C-B01,K26-001,0.0,2679.541609164337,eval_A.battery_interval
transport:U08,K26-002,0.0,1913.041173414566,eval_A.transport_interval
service:S002,K26-002,1002.930586707283,1290.930586707283,eval_A.service_interval
battery:C-B02,K26-002,0.0,4103.279189971616,eval_A.battery_interval
transport:U07,K26-003,1297.4332394931612,2660.2958762131275,eval_A.transport_interval
service:S006,K26-003,2020.5095578531445,2308.5095578531445,eval_A.service_interval
battery:C-B03,K26-003,1297.4332394931612,4091.7022502559416,eval_A.battery_interval
transport:U08,K26-004,1913.041173414566,3820.557812801536,eval_A.transport_interval
service:S007,K26-004,2900.7594931080507,3260.7594931080507,eval_A.service_interval
battery:C-B04,K26-004,1913.041173414566,5577.603616277208,eval_A.battery_interval
transport:U05,K26-005,0.0,1554.5963098536845,eval_A.transport_interval
service:S010,K26-005,844.8348215935089,1084.8348215935089,eval_A.service_interval
battery:B-B01,K26-005,0.0,3010.411224025971,eval_A.battery_interval
transport:U06,K26-006,0.0,1923.889339007083,eval_A.transport_interval
service:S012,K26-006,1031.8746695035416,1271.8746695035416,eval_A.service_interval
battery:B-B02,K26-006,0.0,3784.593839025665,eval_A.battery_interval
transport:U05,K26-007,1554.5963098536845,3065.036860578557,eval_A.transport_interval
service:S013,K26-007,2377.349918549454,2617.349918549454,eval_A.service_interval
battery:B-B03,K26-007,1554.5963098536845,4522.395904223762,eval_A.battery_interval
transport:U06,K26-008,1923.889339007083,3792.4790096968018,eval_A.transport_interval
service:S014,K26-008,2925.740841018609,3165.740841018609,eval_A.service_interval
battery:B-B04,K26-008,1923.889339007083,5385.301904198814,eval_A.battery_interval
transport:U07,K26-009,2679.541609164337,4917.439520779449,eval_A.transport_interval
service:S003,K26-009,3838.950564971892,4126.950564971892,eval_A.service_interval
battery:C-B01,K26-009,2679.541609164337,7112.2906381968305,eval_A.battery_interval
transport:U08,K26-010,4091.7022502559416,6198.890226337907,eval_A.transport_interval
service:S004,K26-010,5191.266238296924,5479.266238296924,eval_A.service_interval
battery:C-B03,K26-010,4091.7022502559416,8459.679915417899,eval_A.battery_interval
transport:U07,K26-011,4917.439520779449,6923.214278316479,eval_A.transport_interval
service:S008,K26-011,5967.166899547964,6219.166899547964,eval_A.service_interval
battery:C-B02,K26-011,4917.439520779449,9174.92687125719,eval_A.battery_interval
transport:U05,K26-012,3065.036860578557,4894.663106202548,eval_A.transport_interval
service:S015,K26-012,4043.289983390553,4283.289983390553,eval_A.service_interval
battery:B-B01,K26-012,3065.036860578557,6562.782314711138,eval_A.battery_interval
transport:U08,K26-013,6198.890226337907,7880.936146274087,eval_A.transport_interval
service:S005,K26-013,7087.548186305997,7375.548186305997,eval_A.service_interval
battery:C-B04,K26-013,6198.890226337907,9693.861961758366,eval_A.battery_interval
transport:U06,K26-014,3792.4790096968018,5353.281770897713,eval_A.transport_interval
service:S009,K26-014,4644.470390297258,4884.470390297258,eval_A.service_interval
battery:B-B02,K26-014,3792.4790096968018,6931.039038969422,eval_A.battery_interval
transport:U05,K26-015,4894.663106202548,6084.298669494842,eval_A.transport_interval
service:S011,K26-015,5561.667554515361,5801.667554515361,eval_A.service_interval
battery:B-B03,K26-015,4894.663106202548,7217.7456323388815,eval_A.battery_interval
transport:U07,K26-016,7112.2906381968305,8475.72387768999,eval_A.transport_interval
service:S001,K26-016,7839.192257943411,8163.192257943411,eval_A.service_interval
battery:C-B01,K26-016,7112.2906381968305,9936.422175219543,eval_A.battery_interval
transport:U08,K26-017,8459.679915417899,9823.11315491106,eval_A.transport_interval
service:S001,K26-017,9186.58153516448,9510.58153516448,eval_A.service_interval
battery:C-B03,K26-017,8459.679915417899,11220.02585587375,eval_A.battery_interval
transport:U07,K26-018,9174.92687125719,10538.360110750351,eval_A.transport_interval
service:S001,K26-018,9901.828491003771,10225.828491003771,eval_A.service_interval
battery:C-B02,K26-018,9174.92687125719,12024.998832467421,eval_A.battery_interval
transport:U06,K26-019,5385.301904198814,7145.224992896583,eval_A.transport_interval
service:S002,K26-019,6337.203448547698,6547.203448547698,eval_A.service_interval
battery:B-B04,K26-019,5385.301904198814,8838.340739686391,eval_A.battery_interval
transport:U08,K26-020,9823.11315491106,11736.154328325625,eval_A.transport_interval
service:S002,K26-020,10826.043741618343,11114.043741618343,eval_A.service_interval
battery:C-B04,K26-020,9823.11315491106,13955.092539105963,eval_A.battery_interval
transport:U05,K26-021,6562.782314711138,8583.112180265052,eval_A.transport_interval
service:S003,K26-021,7640.920580821427,7850.920580821427,eval_A.service_interval
battery:B-B01,K26-021,6562.782314711138,10300.036485988816,eval_A.battery_interval
transport:U07,K26-022,10538.360110750351,12776.258022365462,eval_A.transport_interval
service:S003,K26-022,11697.769066557907,11985.769066557907,eval_A.service_interval
battery:C-B01,K26-022,10538.360110750351,15000.456101636937,eval_A.battery_interval
transport:U08,K26-023,11736.154328325625,13843.34230440759,eval_A.transport_interval
service:S004,K26-023,12835.718316366609,13123.718316366609,eval_A.service_interval
battery:C-B03,K26-023,11736.154328325625,16087.945447907412,eval_A.battery_interval
transport:U07,K26-024,12776.258022365462,14458.303942301642,eval_A.transport_interval
service:S005,K26-024,13664.915982333552,13952.915982333552,eval_A.service_interval
battery:C-B02,K26-024,12776.258022365462,16260.108265580975,eval_A.battery_interval
transport:U08,K26-025,13955.092539105963,15317.95517582593,eval_A.transport_interval
service:S006,K26-025,14678.168857465946,14966.168857465946,eval_A.service_interval
battery:C-B04,K26-025,13955.092539105963,16742.322568083837,eval_A.battery_interval
transport:U07,K26-026,15000.456101636937,17072.230859173967,eval_A.transport_interval
service:S008,K26-026,16080.183480405452,16368.183480405452,eval_A.service_interval
battery:C-B01,K26-026,15000.456101636937,19373.88102485406,eval_A.battery_interval
