sortie_id,service_area,relay_id,certification_pass,binding_pass
Q2-001,S001,R02,True,True
Q2-002,S001,R01,True,True
Q2-003,S002,R01,True,True
Q2-004,S002,R02,True,True
Q2-005,S003,R02,True,True
Q2-006,S003,R02,True,True
Q2-007,S004,R02,True,True
Q2-008,S005,R01,True,True
Q2-009,S006,R01,True,True
Q2-010,S007,R01,True,True
Q2-011,S008,R01,True,True
Q2-012,S009,R02,True,True
Q2-013,S010,R01,True,True
Q2-014,S011,R02,True,True
Q2-015,S012,R01,True,True
Q2-016,S013,R01,True,True
Q2-017,S014,R02,True,True
Q2-018,S015,R01,True,True
