sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok,relay
SENS19-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",0.0,S001,1248.9016197465805,432.0,1561.4332394931612,2.9263177459975083,0.6342102817503115,True,
SENS19-002,U08,C,C-B02,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",0.0,S002,1488.930586707283,396.0,2111.041173414566,6.300962619023563,0.2123796726220546,True,
SENS19-003,U07,C,C-B03,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",1561.4332394931612,S006,2770.5095578531445,396.0,3122.2958762131275,2.59397203090111,0.6757534961373612,True,
SENS19-004,U08,C,C-B04,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",2111.041173414566,S007,3458.7594931080507,360.0,4018.557812801536,3.410630658987098,0.5736711676266127,True,
SENS19-005,U05,B,B-B01,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",0.0,S010,1084.8348215935089,240.0,1554.5963098536845,1.8211113403975845,0.5447221649006039,True,
SENS19-006,U06,B,B-B02,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",0.0,S012,1271.8746695035416,240.0,1923.889339007083,2.7554719231198046,0.31113201922004885,True,
SENS19-007,U05,B,B-B03,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",1554.5963098536845,S013,2617.349918549454,240.0,3065.036860578557,1.8246747161043195,0.5438313209739201,True,
SENS19-008,U06,B,B-B04,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",1923.889339007083,S014,3165.740841018609,240.0,3792.4790096968018,2.13728360269695,0.46567909932576246,True,
SENS19-009,U07,C,C-B01,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",3187.3109623674864,S003,4832.719918175042,396.0,5623.208873982598,6.322851263069863,0.20964359211626715,True,
SENS19-010,U08,C,C-B02,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",4650.885216066781,S004,6236.449204107764,396.0,6956.073192148747,6.176933464710716,0.22788331691116048,True,
SENS19-011,U07,C,C-B03,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",5623.208873982598,S008,7122.936252751113,360.0,7826.983631519628,5.8575758150825585,0.2678030231146802,True,
SENS19-012,U05,B,B-B01,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",3065.036860578557,S015,4283.289983390553,240.0,4894.663106202548,2.3110443273275134,0.42223891816812165,True,
SENS19-013,U08,C,C-B04,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",6956.073192148747,S005,8330.731152116838,396.0,8836.119112084927,4.238781800099432,0.47015227498757095,True,
SENS19-014,U06,B,B-B02,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",3792.4790096968018,S009,4884.470390297258,240.0,5353.281770897713,2.1025167724731753,0.4743708068817062,True,
SENS19-015,U05,B,B-B03,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",4894.663106202548,S011,5801.667554515361,240.0,6084.298669494842,1.0771852988708592,0.7307036752822852,True,
SENS19-016,U07,C,C-B01,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01']",8168.981091064019,S001,9219.8827108106,324.0,9532.41433055718,2.316424483186039,0.7104469396017451,True,
SENS19-017,U08,C,C-B02,"['S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",9462.326005507899,S001,10513.22762525448,324.0,10825.75924500106,2.0809084343237814,0.7398864457095273,True,
SENS19-018,U06,B,B-B04,"['S002-FOD-02', 'S002-HYG-01']",5385.301904198814,S002,6547.203448547698,210.0,7145.224992896583,2.368728646438021,0.4078178383904948,True,
SENS19-019,U05,B,B-B01,"['S003-FOD-02', 'S003-HYG-01']",6562.782314711138,S003,7850.920580821427,210.0,8583.112180265052,2.423671474747147,0.39408213131321324,True,
