resource,task_id,start_s,end_s,source_function
transport:U07,SENS22-001,0.0,1297.4332394931612,eval_A.transport_interval
service:S001,SENS22-001,696.9016197465805,984.9016197465805,eval_A.service_interval
battery:C-B01,SENS22-001,0.0,2679.541609164337,eval_A.battery_interval
transport:U08,SENS22-002,0.0,2111.041173414566,eval_A.transport_interval
service:S002,SENS22-002,1092.930586707283,1488.930586707283,eval_A.service_interval
battery:C-B02,SENS22-002,0.0,4650.885216066781,eval_A.battery_interval
transport:U07,SENS22-003,1297.4332394931612,2660.2958762131275,eval_A.transport_interval
service:S006,SENS22-003,2020.5095578531445,2308.5095578531445,eval_A.service_interval
battery:C-B03,SENS22-003,1297.4332394931612,4091.7022502559416,eval_A.battery_interval
transport:U08,SENS22-004,2111.041173414566,4018.557812801536,eval_A.transport_interval
service:S007,SENS22-004,3098.7594931080507,3458.7594931080507,eval_A.service_interval
battery:C-B04,SENS22-004,2111.041173414566,5775.603616277208,eval_A.battery_interval
transport:U05,SENS22-005,0.0,1554.5963098536845,eval_A.transport_interval
service:S010,SENS22-005,844.8348215935089,1084.8348215935089,eval_A.service_interval
battery:B-B01,SENS22-005,0.0,3010.411224025971,eval_A.battery_interval
transport:U06,SENS22-006,0.0,1923.889339007083,eval_A.transport_interval
service:S012,SENS22-006,1031.8746695035416,1271.8746695035416,eval_A.service_interval
battery:B-B02,SENS22-006,0.0,3784.593839025665,eval_A.battery_interval
transport:U05,SENS22-007,1554.5963098536845,3065.036860578557,eval_A.transport_interval
service:S013,SENS22-007,2377.349918549454,2617.349918549454,eval_A.service_interval
battery:B-B03,SENS22-007,1554.5963098536845,4522.395904223762,eval_A.battery_interval
transport:U06,SENS22-008,1923.889339007083,3792.4790096968018,eval_A.transport_interval
service:S014,SENS22-008,2925.740841018609,3165.740841018609,eval_A.service_interval
battery:B-B04,SENS22-008,1923.889339007083,5385.301904198814,eval_A.battery_interval
transport:U07,SENS22-009,2679.541609164337,5115.439520779449,eval_A.transport_interval
service:S003,SENS22-009,3928.950564971892,4324.950564971892,eval_A.service_interval
battery:C-B01,SENS22-009,2679.541609164337,7661.211737860869,eval_A.battery_interval
transport:U08,SENS22-010,4091.7022502559416,6396.890226337907,eval_A.transport_interval
service:S004,SENS22-010,5281.266238296924,5677.266238296924,eval_A.service_interval
battery:C-B03,SENS22-010,4091.7022502559416,8903.143039697059,eval_A.battery_interval
transport:U07,SENS22-011,5115.439520779449,7319.214278316479,eval_A.transport_interval
service:S008,SENS22-011,6255.166899547964,6615.166899547964,eval_A.service_interval
battery:C-B02,SENS22-011,5115.439520779449,9738.97439490134,eval_A.battery_interval
transport:U05,SENS22-012,3065.036860578557,4894.663106202548,eval_A.transport_interval
service:S015,SENS22-012,4043.289983390553,4283.289983390553,eval_A.service_interval
battery:B-B01,SENS22-012,3065.036860578557,6562.782314711138,eval_A.battery_interval
transport:U08,SENS22-013,6396.890226337907,8078.936146274087,eval_A.transport_interval
service:S005,SENS22-013,7285.548186305997,7573.548186305997,eval_A.service_interval
battery:C-B04,SENS22-013,6396.890226337907,9891.861961758366,eval_A.battery_interval
transport:U06,SENS22-014,3792.4790096968018,5353.281770897713,eval_A.transport_interval
service:S009,SENS22-014,4644.470390297258,4884.470390297258,eval_A.service_interval
battery:B-B02,SENS22-014,3792.4790096968018,6931.039038969422,eval_A.battery_interval
transport:U05,SENS22-015,4894.663106202548,6084.298669494842,eval_A.transport_interval
service:S011,SENS22-015,5561.667554515361,5801.667554515361,eval_A.service_interval
battery:B-B03,SENS22-015,4894.663106202548,7217.7456323388815,eval_A.battery_interval
transport:U07,SENS22-016,7661.211737860869,9024.64497735403,eval_A.transport_interval
service:S001,SENS22-016,8388.11335760745,8712.11335760745,eval_A.service_interval
battery:C-B01,SENS22-016,7661.211737860869,10485.343274883582,eval_A.battery_interval
transport:U08,SENS22-017,8903.143039697059,10266.57627919022,eval_A.transport_interval
service:S001,SENS22-017,9630.04465944364,9954.04465944364,eval_A.service_interval
battery:C-B03,SENS22-017,8903.143039697059,11663.48898015291,eval_A.battery_interval
transport:U07,SENS22-018,9738.97439490134,11102.4076343945,eval_A.transport_interval
service:S001,SENS22-018,10465.87601464792,10789.87601464792,eval_A.service_interval
battery:C-B02,SENS22-018,9738.97439490134,12589.04635611157,eval_A.battery_interval
transport:U06,SENS22-019,5385.301904198814,7145.224992896583,eval_A.transport_interval
service:S002,SENS22-019,6337.203448547698,6547.203448547698,eval_A.service_interval
battery:B-B04,SENS22-019,5385.301904198814,8838.340739686391,eval_A.battery_interval
transport:U05,SENS22-020,6562.782314711138,8583.112180265052,eval_A.transport_interval
service:S003,SENS22-020,7640.920580821427,7850.920580821427,eval_A.service_interval
battery:B-B01,SENS22-020,6562.782314711138,10300.036485988816,eval_A.battery_interval
transport:U08,SENS22-021,10266.57627919022,11948.6221991264,eval_A.transport_interval
service:S005,SENS22-021,11155.23423915831,11443.23423915831,eval_A.service_interval
battery:C-B04,SENS22-021,10266.57627919022,13750.426522405733,eval_A.battery_interval
transport:U07,SENS22-022,11102.4076343945,12465.270271114467,eval_A.transport_interval
service:S006,SENS22-022,11825.483952754483,12113.483952754483,eval_A.service_interval
battery:C-B01,SENS22-022,11102.4076343945,13889.637663372376,eval_A.battery_interval
