sortie_id,service,box_count,mass_kg,mass_capacity_kg,mass_utilization,volume_m3,volume_capacity_m3,volume_utilization,aircraft_type,split_service_total_mass_kg,split_service_total_volume_m3,service_split_due_to_weight,service_split_due_to_volume,selected_type_exceeds_weight,selected_type_exceeds_volume,split_due_to_deadline
Q2-001,S001,7,76.0,80,0.95,0.159,0.25,0.636,C,154.0,0.394,True,True,True,True,False
Q2-002,S001,8,78.0,80,0.975,0.23500000000000001,0.25,0.9400000000000001,C,154.0,0.394,True,True,True,True,False
Q2-003,S002,2,14.0,30,0.4666666666666667,0.063,0.073,0.863013698630137,B,81.0,0.211,True,False,True,True,False
Q2-004,S002,6,67.0,80,0.8375,0.148,0.25,0.592,C,81.0,0.211,True,False,True,False,False
Q2-005,S003,2,14.0,30,0.4666666666666667,0.063,0.073,0.863013698630137,B,81.0,0.211,True,False,True,True,False
Q2-006,S003,6,67.0,80,0.8375,0.148,0.25,0.592,C,81.0,0.211,True,False,True,False,False
Q2-007,S004,6,59.0,80,0.7375,0.156,0.25,0.624,C,59.0,0.156,False,False,False,False,False
Q2-008,S005,6,59.0,80,0.7375,0.156,0.25,0.624,C,59.0,0.156,False,False,False,False,False
Q2-009,S006,6,59.0,80,0.7375,0.156,0.25,0.624,C,59.0,0.156,False,False,False,False,False
Q2-010,S007,5,45.0,80,0.5625,0.129,0.25,0.516,C,45.0,0.129,False,False,False,False,False
Q2-011,S008,5,45.0,80,0.5625,0.129,0.25,0.516,C,45.0,0.129,False,False,False,False,False
Q2-012,S009,3,25.0,30,0.8333333333333334,0.067,0.073,0.9178082191780823,B,25.0,0.067,False,False,False,False,False
Q2-013,S010,3,25.0,30,0.8333333333333334,0.067,0.073,0.9178082191780823,B,25.0,0.067,False,False,False,False,False
Q2-014,S011,3,25.0,30,0.8333333333333334,0.067,0.073,0.9178082191780823,B,25.0,0.067,False,False,False,False,False
Q2-015,S012,3,25.0,30,0.8333333333333334,0.067,0.073,0.9178082191780823,B,25.0,0.067,False,False,False,False,False
Q2-016,S013,3,25.0,30,0.8333333333333334,0.067,0.073,0.9178082191780823,B,25.0,0.067,False,False,False,False,False
Q2-017,S014,3,25.0,30,0.8333333333333334,0.067,0.073,0.9178082191780823,B,25.0,0.067,False,False,False,False,False
Q2-018,S015,3,25.0,30,0.8333333333333334,0.067,0.073,0.9178082191780823,B,25.0,0.067,False,False,False,False,False
