sortie_id,route,service_sequence,service_area_count,box_count,box_ids,aircraft_id,aircraft_type,start_s,return_s
Q2-001,O01 -> S001 -> O01,S001,1,7,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,U08,C,316.7152584953037,1878.148497988465
Q2-002,O01 -> S001 -> O01,S001,1,8,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,U07,C,97042.16384684767,98669.59708634084
Q2-003,O01 -> S002 -> O01,S002,1,2,S002-FOD-02;S002-HYG-01,U05,B,94802.2407581499,96562.16384684767
Q2-004,O01 -> S002 -> O01,S002,1,6,S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01,U07,C,13286.724697495025,15397.76587090959
Q2-005,O01 -> S003 -> O01,S003,1,2,S003-FOD-02;S003-HYG-01,U05,B,88661.09724786512,90681.42711341903
Q2-006,O01 -> S003 -> O01,S003,1,6,S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01,U08,C,85745.19933625,88181.09724786512
Q2-007,O01 -> S004 -> O01,S004,1,6,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,U07,C,5253.185080025265,7558.373056107231
Q2-008,O01 -> S005 -> O01,S005,1,6,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,U08,C,9425.34204003191,11305.387959968091
Q2-009,O01 -> S006 -> O01,S006,1,6,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,U08,C,17937.609913561813,19498.472550281786
Q2-010,O01 -> S007 -> O01,S007,1,5,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,U08,C,83837.68269686303,85745.19933625
Q2-011,O01 -> S008 -> O01,S008,1,5,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,U08,C,4431.941036870872,6635.715794407903
Q2-012,O01 -> S009 -> O01,S009,1,3,S009-MED-01;S009-WAT-01;S009-FOD-01,U05,B,9708.008619399545,11268.811380600457
Q2-013,O01 -> S010 -> O01,S010,1,3,S010-MED-01;S010-WAT-01;S010-FOD-01,U05,B,180.0,1734.5963098536845
Q2-014,O01 -> S011 -> O01,S011,1,3,S011-MED-01;S011-WAT-01;S011-FOD-01,U05,B,8038.373056107237,9228.00861939953
Q2-015,O01 -> S012 -> O01,S012,1,3,S012-MED-01;S012-WAT-01;S012-FOD-01,U06,B,92398.3514191428,94322.2407581499
Q2-016,O01 -> S013 -> O01,S013,1,3,S013-MED-01;S013-WAT-01;S013-FOD-01,U06,B,2214.5963098536595,3725.036860578532
Q2-017,O01 -> S014 -> O01,S014,1,3,S014-MED-01;S014-WAT-01;S014-FOD-01,U05,B,2358.148497988473,4226.738168678192
Q2-018,O01 -> S015 -> O01,S015,1,3,S015-MED-01;S015-WAT-01;S015-FOD-01,U06,B,7115.715794407932,8945.342040031923
