K,solver_status,scan_makespan_s,best_known_makespan_s,best_bound_s,gap_pct_best_known,boxes,unique_boxes,hard_violations,soft_late_boxes,soft_total_lateness_s,energy_kwh,A_sorties,B_sorties,C_sorties,multi_point_sorties,source
18,FEASIBLE,9373.5,9373.5,8132.2,13.243,80,80,0,7,22527.411263,59.652873,0,9,9,0,fixed_K_scan
19,FEASIBLE,8482.2,8482.2,7603.1,10.364,80,80,0,6,16617.609718,62.361225,2,9,8,2,fixed_K_scan
20,FEASIBLE,8449.5,8449.5,7182.8,14.991,80,80,0,6,16421.409718,64.244489,3,9,8,2,fixed_K_scan
21,FEASIBLE,7767.9,7767.9,6804.8,12.398,80,80,0,6,12331.809718,68.268554,6,8,7,3,fixed_K_scan
22,FEASIBLE,6521.2,6521.2,6360.9,2.458,80,80,0,4,9130.331843,71.492845,9,7,6,5,fixed_K_scan
23,FEASIBLE,7254.7,7254.7,6052.4,16.573,80,80,0,4,11101.031843,77.599950,9,7,7,9,fixed_K_scan
24,FEASIBLE,6559.1,6559.1,5778.0,11.909,80,80,0,5,5422.852749,72.184157,10,7,7,2,fixed_K_scan
25,FEASIBLE,6720.2,6043.8,5730.8,5.179,80,80,0,3,3959.850739,69.601583,12,7,6,2,checkpoint_6043_overrides_scan_incumbent
26,FEASIBLE,6428.6,6428.6,5739.8,10.715,80,80,0,6,14131.872665,75.459418,13,7,6,5,fixed_K_scan
27,FEASIBLE,8120.4,8120.4,5800.3,28.571,80,80,0,5,4485.494095,77.467088,12,8,7,6,fixed_K_scan
28,FEASIBLE,6874.7,6874.7,5848.5,14.927,80,80,0,6,11945.866587,76.514090,13,8,7,1,fixed_K_scan
