battery_id,task_id,use_start,use_end,energy_used_kwh,charge_start,charge_end,next_available,battery_ledger_from_replay
C-B01,SENS19-001,0.0,1381.426741156066,2.926287753672454,1381.426741156066,,,False
C-B02,SENS19-002,0.0,1931.0081198540017,6.300810064128651,1931.0081198540017,,,False
B-B02,SENS19-006,0.0,1773.8013868098371,2.7552834541257063,1773.8013868098371,,,False
B-B01,SENS19-005,0.0,1404.5722402424637,1.8210597626592548,1404.5722402424637,,,False
B-B03,SENS19-007,1554.5963098536845,2914.9972488011326,1.8245898337241249,2914.9972488011326,,,False
C-B03,SENS19-003,1561.4332394931612,2942.2971255554075,2.5939777970962483,2942.2971255554075,,,False
B-B04,SENS19-008,1923.889339007083,3642.4877906049032,2.137302418928596,3642.4877906049032,,,False
C-B04,SENS19-004,2111.041173414566,3838.5232728977717,3.4104712440466476,3838.5232728977717,,,False
B-B01,SENS19-012,3065.036860578557,4744.610954195407,2.3109325730264962,4744.610954195407,,,False
C-B01,SENS19-009,3187.3109623674864,5443.121813408791,6.322449445036911,5443.121813408791,,,False
B-B02,SENS19-014,3792.4790096968018,5203.258796670445,2.102467541986173,5203.258796670445,,,False
C-B02,SENS19-010,4650.885216066781,6776.070706993873,6.176921994765144,6776.070706993873,,,False
B-B03,SENS19-015,4894.663106202548,5934.293910398906,1.0771751008081385,5934.293910398906,,,False
B-B04,SENS19-018,5385.301904198814,6995.191939336019,2.3686578173796686,6995.191939336019,,,False
C-B03,SENS19-011,5623.208873982598,7646.968760034859,5.8575071774605485,7646.968760034859,,,False
B-B01,SENS19-019,6562.782314711138,8433.025119691245,2.4234849163747043,8433.025119691245,,,False
C-B04,SENS19-013,6956.073192148747,8656.118809199566,4.238780402167004,8656.118809199566,,,False
C-B01,SENS19-016,8168.981091064019,9352.407832220086,2.316394490860985,9352.407832220086,,,False
C-B02,SENS19-017,9462.3260055079,10645.752746663968,2.080878441998727,10645.752746663968,,,False
