scenario,invocation_id,sortie_id,box_id,delivery_time_s,deadline_s,hard,hard_violation,soft_lateness_s,deadline_sources
FEASIBILITY_RESTORED_0P1DB,REPLAY-001,SENS19-001,S001-MED-01,852.9016197465805,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-001,SENS19-001,S001-MED-02,888.9016197465805,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-001,SENS19-001,S001-WAT-01,924.9016197465804,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-001,SENS19-001,S001-WAT-02,960.9016197465804,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-001,SENS19-001,S001-WAT-03,996.9016197465804,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-001,SENS19-001,S001-WAT-04,1032.9016197465803,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-001,SENS19-001,S001-WAT-05,1068.9016197465803,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-002,SENS19-002,S002-MED-01,1128.930586707283,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-002,SENS19-002,S002-WAT-01,1164.930586707283,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-002,SENS19-002,S002-WAT-02,1200.930586707283,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-002,SENS19-002,S002-WAT-03,1236.930586707283,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-002,SENS19-002,S002-WAT-04,1272.930586707283,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-002,SENS19-002,S002-FOD-01,1308.930586707283,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-003,SENS19-006,S012-MED-01,1061.8746695035416,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-003,SENS19-006,S012-WAT-01,1091.8746695035416,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-003,SENS19-006,S012-FOD-01,1121.8746695035416,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-004,SENS19-005,S010-MED-01,874.8348215935089,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-004,SENS19-005,S010-WAT-01,904.8348215935088,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-004,SENS19-005,S010-FOD-01,934.8348215935088,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-005,SENS19-007,S013-MED-01,2407.349918549454,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-005,SENS19-007,S013-WAT-01,2437.349918549454,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-005,SENS19-007,S013-FOD-01,2467.349918549454,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-006,SENS19-003,S006-MED-01,2410.5095578531445,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-006,SENS19-003,S006-WAT-01,2446.5095578531445,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-006,SENS19-003,S006-WAT-02,2482.5095578531445,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-006,SENS19-003,S006-WAT-03,2518.5095578531445,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-006,SENS19-003,S006-FOD-01,2554.5095578531445,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-006,SENS19-003,S006-HYG-01,2590.5095578531445,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-007,SENS19-008,S014-MED-01,2955.740841018609,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-007,SENS19-008,S014-WAT-01,2985.740841018609,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-007,SENS19-008,S014-FOD-01,3015.740841018609,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-008,SENS19-004,S007-MED-01,3134.7594931080507,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-008,SENS19-004,S007-WAT-01,3170.7594931080507,3600.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-008,SENS19-004,S007-WAT-02,3206.7594931080507,3600.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-008,SENS19-004,S007-FOD-01,3242.7594931080507,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-008,SENS19-004,S007-HYG-01,3278.7594931080507,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-009,SENS19-012,S015-MED-01,4073.2899833905526,7200.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-009,SENS19-012,S015-WAT-01,4103.289983390552,10800.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-009,SENS19-012,S015-FOD-01,4133.289983390552,14400.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-010,SENS19-009,S003-MED-01,4472.719918175042,7200.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-010,SENS19-009,S003-WAT-01,4508.719918175042,7200.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-010,SENS19-009,S003-WAT-02,4544.719918175042,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-010,SENS19-009,S003-WAT-03,4580.719918175042,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-010,SENS19-009,S003-WAT-04,4616.719918175042,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-010,SENS19-009,S003-FOD-01,4652.719918175042,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-011,SENS19-014,S009-MED-01,4674.470390297258,10800.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-011,SENS19-014,S009-WAT-01,4704.470390297258,10800.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-011,SENS19-014,S009-FOD-01,4734.470390297258,14400.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-012,SENS19-010,S004-MED-01,5876.449204107764,7200.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-012,SENS19-010,S004-WAT-01,5912.449204107764,7200.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-012,SENS19-010,S004-WAT-02,5948.449204107764,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-012,SENS19-010,S004-WAT-03,5984.449204107764,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-012,SENS19-010,S004-FOD-01,6020.449204107764,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-012,SENS19-010,S004-HYG-01,6056.449204107764,14400.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-013,SENS19-015,S011-MED-01,5591.667554515361,10800.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-013,SENS19-015,S011-WAT-01,5621.667554515361,10800.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-013,SENS19-015,S011-FOD-01,5651.667554515361,14400.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-014,SENS19-018,S002-FOD-02,6367.203448547698,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-014,SENS19-018,S002-HYG-01,6397.203448547698,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-015,SENS19-011,S008-MED-01,6798.936252751113,7200.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-015,SENS19-011,S008-WAT-01,6834.936252751113,7200.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-015,SENS19-011,S008-WAT-02,6870.936252751113,7200.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-015,SENS19-011,S008-FOD-01,6906.936252751113,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-015,SENS19-011,S008-HYG-01,6942.936252751113,14400.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-016,SENS19-019,S003-FOD-02,7670.920580821428,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-016,SENS19-019,S003-HYG-01,7700.920580821428,14400.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-017,SENS19-013,S005-MED-01,7970.731152116837,10800.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-017,SENS19-013,S005-WAT-01,8006.731152116837,10800.0,True,False,0.0,HARD
FEASIBILITY_RESTORED_0P1DB,REPLAY-017,SENS19-013,S005-WAT-02,8042.731152116837,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-017,SENS19-013,S005-WAT-03,8078.731152116837,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-017,SENS19-013,S005-FOD-01,8114.731152116837,14400.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-017,SENS19-013,S005-HYG-01,8150.731152116837,18000.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-018,SENS19-016,S001-WAT-06,8931.8827108106,3600.0,False,False,5331.8827108106,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-018,SENS19-016,S001-WAT-07,8967.8827108106,3600.0,False,False,5367.8827108106,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-018,SENS19-016,S001-WAT-08,9003.8827108106,3600.0,False,False,5403.8827108106,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-018,SENS19-016,S001-FOD-01,9039.8827108106,7200.0,False,False,1839.8827108106,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-019,SENS19-017,S001-FOD-02,10225.227625254482,7200.0,False,False,3025.2276252544816,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-019,SENS19-017,S001-FOD-03,10261.227625254482,7200.0,False,False,3061.2276252544816,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-019,SENS19-017,S001-HYG-01,10297.227625254482,10800.0,False,False,0.0,SOFT
FEASIBILITY_RESTORED_0P1DB,REPLAY-019,SENS19-017,S001-HYG-02,10333.227625254482,10800.0,False,False,0.0,SOFT
