component_id,task_id,use_start,use_end,charge_start,charge_end,soc_after
C01,SENS19-005,46.84391702307363,1072.5265512379156,1072.5265512379156,1518.114114323672,0.9292718153832132
C02,SENS19-005,200.0013362125028,1266.477013232653,1266.477013232653,1732.1312169752564,0.9260866343265709
C03,SENS19-005,323.6159504703153,1384.48919178083,1384.48919178083,1846.773180291856,0.926621589125234
C04,SENS19-005,517.0454052832492,1542.7039698868707,1542.7039698868707,1988.2770535971272,0.9292741136967847
C01,SENS19-007,1596.715179028749,2608.9794621551514,2608.9794621551514,3053.4958238707404,0.9294418473467319
C02,SENS19-007,1732.294430839268,2825.474051177446,2825.474051177446,3306.6150473637363,0.9236284133037634
C03,SENS19-007,1841.2871603314554,2931.301325754269,2931.301325754269,3410.5381029680357,0.9239306702835292
C04,SENS19-007,2044.8021210578518,3057.0267924068303,3057.0267924068303,3501.5193251625624,0.9294456297213123
C01,SENS19-008,1958.8985214729366,3168.894578678081,3168.894578678081,3696.367201824135,0.9162741868022136
C02,SENS19-008,2111.153117774691,3461.3093666713817,3461.3093666713817,4060.335683335481,0.9049164576723652
C03,SENS19-008,2297.532072852816,3631.625162569819,3631.625162569819,4220.988485039887,0.9064502662745924
C04,SENS19-008,2586.3166901511295,3796.321528264375,3796.321528264375,4323.799433675458,0.916273348347447
C01,SENS19-004,2251.4855548274745,3304.330680034172,3304.330680034172,3747.7994476742897,0.9296081321206162
C02,SENS19-004,2399.432778112534,3547.8756073141794,3547.8756073141794,4040.2771834586765,0.9218410196596036
C03,SENS19-004,2661.169365636948,3793.264877333711,3793.264877333711,4275.832520291677,0.9234019614352436
C04,SENS19-004,2880.8838745209596,3933.6944598238924,3933.6944598238924,4377.142449553152,0.9296114302017048
C01,SENS19-012,3081.605031838505,4352.773443803781,4352.773443803781,4924.176739676509,0.9093010641471861
C02,SENS19-012,3256.87511087602,4606.465854440243,4606.465854440243,5210.871137197855,0.9040626535305377
C03,SENS19-012,3385.7948130244567,4728.89893956394,4728.89893956394,5329.402116767607,0.9046820353644972
C04,SENS19-012,3644.2581546505007,4915.374414608636,4915.374414608636,5486.746337789567,0.9093060439395346
C01,SENS19-014,3792.2383998104183,4869.480792104621,4869.480792104621,5370.210476802106,0.9205190976670657
C02,SENS19-014,3988.1401764001826,5075.000581814775,5075.000581814775,5584.108542331805,0.9191892126163443
C03,SENS19-014,4103.431741341589,5186.076885932614,5186.076885932614,5692.649103610466,0.9195917114797059
C04,SENS19-014,4310.1297804108735,5387.349198477808,5387.349198477808,5888.0650627417035,0.9205212913866834
C01,SENS19-010,4703.060474243534,6104.137042346213,6104.137042346213,6745.055279647065,0.8916013559224216
C02,SENS19-010,4932.926423856701,6490.3701950114955,6490.3701950114955,7147.010887754367,0.8795071594285603
C03,SENS19-010,5233.896006986584,6774.345861515402,6774.345861515402,7428.877066343764,0.8811298424397211
C04,SENS19-010,5588.384462284516,6989.458545232321,6989.458545232321,7630.3764740460665,0.891601593220196
C01,SENS19-011,5626.8936614660015,7067.690350562305,7067.690350562305,7714.2233112580225,0.8872823379263715
C02,SENS19-011,5867.695528589122,7434.190769841163,7434.190769841163,8092.363628773346,0.8783285700521674
C03,SENS19-011,6098.700194726817,7654.99450275132,7654.99450275132,8311.90110000682,0.8793026174957692
C04,SENS19-011,6439.341040234517,7880.122857846051,7880.122857846051,8526.653972515447,0.8872837579466185
C01,SENS19-013,7082.702706427388,8107.254136007141,8107.254136007141,8574.489110702516,0.9258357183023214
C02,SENS19-013,7230.952117465954,8392.75123723362,8392.75123723362,8920.63674224105,0.916208649998821
C03,SENS19-013,7512.6575618018915,8661.31559270237,8661.31559270237,9181.29591143813,0.9174634414705143
C04,SENS19-013,7770.440666395478,8794.991793089872,8794.991793089872,9262.226585580773,0.9258357472236665
