resource_id,task_id,busy_start,busy_end,service_start,service_end
R01,SENS19-005,46.84391702307363,1072.5265512379156,492.6455118815104,811.2202073356964
R02,SENS19-005,200.0013362125028,1266.477013232653,811.2202073356964,844.8348215935089
R01,SENS19-005,323.6159504703153,1384.48919178083,934.8348215935089,962.847000141686
R02,SENS19-005,517.0454052832492,1542.7039698868707,962.847000141686,1281.3976259846513
R01,SENS19-007,1596.715179028749,2608.9794621551514,2035.0902510971741,2358.3571890572666
R02,SENS19-007,1732.294430839268,2825.474051177446,2358.3571890572666,2377.349918549454
R01,SENS19-007,1841.2871603314554,2931.301325754269,2467.349918549454,2483.177193126277
R02,SENS19-007,2044.8021210578518,3057.0267924068303,2483.177193126277,2806.404519308945
R01,SENS19-008,1958.8985214729366,3168.894578678081,2468.638468238854,2829.361885940484
R02,SENS19-008,2111.153117774691,3461.3093666713817,2829.361885940484,2925.740841018609
R01,SENS19-008,2297.532072852816,3631.625162569819,3015.740841018609,3096.0566369170465
R02,SENS19-008,2586.3166901511295,3796.321528264375,3096.0566369170465,3456.7888355267783
R01,SENS19-004,2251.4855548274745,3304.330680034172,2714.750443434097,3017.0229055836367
R02,SENS19-004,2399.432778112534,3547.8756073141794,3017.0229055836367,3098.7594931080507
R01,SENS19-004,2661.169365636948,3793.264877333711,3278.7594931080507,3344.1487631275822
R02,SENS19-004,2880.8838745209596,3933.6944598238924,3344.1487631275822,3646.386685373357
R01,SENS19-012,3081.605031838505,4352.773443803781,3603.0699457022547,4004.370281242115
R02,SENS19-012,3256.87511087602,4606.465854440243,4004.370281242115,4043.2899833905526
R01,SENS19-012,3385.7948130244567,4728.89893956394,4133.289983390552,4165.72306851425
R02,SENS19-012,3644.2581546505007,4915.374414608636,4165.72306851425,4566.971252046969
R01,SENS19-014,3792.2383998104183,4869.480792104621,4237.65531381464,4619.178825355852
R02,SENS19-014,3988.1401764001826,5075.000581814775,4619.178825355852,4644.470390297258
R01,SENS19-014,4103.431741341589,5186.076885932614,4734.470390297258,4755.546694415096
R02,SENS19-014,4310.1297804108735,5387.349198477808,4755.546694415096,5137.047231729039
R01,SENS19-010,4703.060474243534,6104.137042346213,5239.100882570688,5755.4796209778815
R02,SENS19-010,4932.926423856701,6490.3701950114955,5755.4796209778815,5840.449204107764
R01,SENS19-010,5233.896006986584,6774.345861515402,6056.449204107764,6124.4248706116705
R02,SENS19-010,5588.384462284516,6989.458545232321,6124.4248706116705,6640.80112386399
R01,SENS19-011,5626.8936614660015,7067.690350562305,6171.292606892754,6711.9315866134175
R02,SENS19-011,5867.695528589122,7434.190769841163,6711.9315866134175,6762.936252751113
R01,SENS19-011,6098.700194726817,7654.99450275132,6942.936252751113,6983.739985661269
R02,SENS19-011,6439.341040234517,7880.122857846051,6983.739985661269,7524.364093897164
R01,SENS19-013,7082.702706427388,8107.254136007141,7515.557547617496,7869.025707780899
R02,SENS19-013,7230.952117465954,8392.75123723362,7869.025707780899,7934.731152116837
R01,SENS19-013,7512.6575618018915,8661.31559270237,8150.731152116837,8203.295507585586
R02,SENS19-013,7770.440666395478,8794.991793089872,8203.295507585586,8556.76336486363
