scenario,invocation_id,sortie_id,route,box_count,start_time,transport_pipeline_called,transport_feasible,transport_energy,transport_reserve_ok,deadline_recomputed,hard_deadline_ok,hard_violation_count,soft_lateness,communication_pipeline_called,relay_required_interval_count,worst_access_margin,worst_backhaul_margin,worst_joint_margin,communication_ok,relay_pipeline_called,relay_required,relay_status,relay_energy,relay_reserve_ok,relay_chain_ok,component_pipeline_called,component_status,component_ok,relay_resource_status,route_feasible,failure_stage
FEASIBILITY_RESTORED_0P1DB,REPLAY-001,SENS19-001,O01->S001->O01,7,0.0,True,True,2.926287753672454,True,True,True,0,0.0,True,0,,,,True,True,False,NOT_REQUIRED,0.0,True,True,True,NOT_REQUIRED,True,NOT_REQUIRED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-002,SENS19-002,O01->S002->O01,6,0.0,True,True,6.300810064128651,True,True,True,0,0.0,True,4,4.539953505767954,-1.0449936776191464,-1.0449936776191464,False,True,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,,NOT_EVALUATED,NOT_EVALUATED,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,NOT_EVALUATED,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY
FEASIBILITY_RESTORED_0P1DB,REPLAY-003,SENS19-006,O01->S012->O01,3,0.0,True,True,2.7552834541257063,True,True,True,0,0.0,True,4,4.582771050062036,-0.978463289951378,-0.978463289951378,False,True,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,,NOT_EVALUATED,NOT_EVALUATED,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,NOT_EVALUATED,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY
FEASIBILITY_RESTORED_0P1DB,REPLAY-004,SENS19-005,O01->S010->O01,3,0.0,True,True,1.8210597626592548,True,True,True,0,0.0,True,4,8.38032167826563,2.918482904678413,2.918482904678413,True,True,True,EVALUATED,,True,True,True,EVALUATED,True,EVALUATED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-005,SENS19-007,O01->S013->O01,3,1554.5963098536845,True,True,1.8245898337241249,True,True,True,0,0.0,True,4,8.253309043575541,8.308493817302917,8.253309043575541,True,True,True,EVALUATED,,True,True,True,EVALUATED,True,EVALUATED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-006,SENS19-003,O01->S006->O01,6,1561.4332394931612,True,True,2.5939777970962483,True,True,True,0,0.0,True,0,,,,True,True,False,NOT_REQUIRED,0.0,True,True,True,NOT_REQUIRED,True,NOT_REQUIRED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-007,SENS19-008,O01->S014->O01,3,1923.889339007083,True,True,2.137302418928596,True,True,True,0,0.0,True,4,7.300958742302129,1.7176137743184654,1.7176137743184654,True,True,True,EVALUATED,,True,True,True,EVALUATED,True,EVALUATED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-008,SENS19-004,O01->S007->O01,5,2111.041173414566,True,True,3.410471244046648,True,True,True,0,0.0,True,4,8.836081683362565,13.433061582619215,8.836081683362565,True,True,True,EVALUATED,,True,True,True,EVALUATED,True,EVALUATED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-009,SENS19-012,O01->S015->O01,3,3065.036860578557,True,True,2.310932573026496,True,True,True,0,0.0,True,4,6.375159102202758,0.8907832725306122,0.8907832725306122,True,True,True,EVALUATED,,True,True,True,EVALUATED,True,EVALUATED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-010,SENS19-009,O01->S003->O01,6,3187.3109623674864,True,True,6.322449445036911,True,True,True,0,0.0,True,4,4.745508235146588,-0.8285638267358166,-0.8285638267358166,False,True,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,,NOT_EVALUATED,NOT_EVALUATED,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,NOT_EVALUATED,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY
FEASIBILITY_RESTORED_0P1DB,REPLAY-011,SENS19-014,O01->S009->O01,3,3792.4790096968018,True,True,2.102467541986173,True,True,True,0,0.0,True,4,6.814032854896212,1.33855101331298,1.33855101331298,True,True,True,EVALUATED,,False,False,True,EVALUATED,False,EVALUATED,False,RELAY_CHAIN
FEASIBILITY_RESTORED_0P1DB,REPLAY-012,SENS19-010,O01->S004->O01,6,4650.885216066781,True,True,6.176921994765144,True,True,True,0,0.0,True,4,4.185182638468788,8.522617161903327,4.185182638468788,True,True,True,EVALUATED,,True,True,True,EVALUATED,True,EVALUATED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-013,SENS19-015,O01->S011->O01,3,4894.663106202548,True,True,1.0771751008081385,True,True,True,0,0.0,True,0,,,,True,True,False,NOT_REQUIRED,0.0,True,True,True,NOT_REQUIRED,True,NOT_REQUIRED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-014,SENS19-018,O01->S002->O01,2,5385.301904198814,True,True,2.3686578173796686,True,True,True,0,0.0,True,4,4.539953505767954,-1.0449936776191464,-1.0449936776191464,False,True,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,,NOT_EVALUATED,NOT_EVALUATED,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,NOT_EVALUATED,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY
FEASIBILITY_RESTORED_0P1DB,REPLAY-015,SENS19-011,O01->S008->O01,5,5623.208873982598,True,True,5.8575071774605485,True,True,True,0,0.0,True,4,3.7863702057398423,8.13824386974872,3.7863702057398423,True,True,True,EVALUATED,,True,True,True,EVALUATED,True,EVALUATED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-016,SENS19-019,O01->S003->O01,2,6562.782314711138,True,True,2.4234849163747043,True,True,True,0,0.0,True,4,4.745508235146588,-0.8285638267358166,-0.8285638267358166,False,True,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,,NOT_EVALUATED,NOT_EVALUATED,True,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,NOT_EVALUATED,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY
FEASIBILITY_RESTORED_0P1DB,REPLAY-017,SENS19-013,O01->S005->O01,6,6956.073192148747,True,True,4.238780402167004,True,True,True,0,0.0,True,4,7.477418817803681,11.920214911402752,7.477418817803681,True,True,True,EVALUATED,,True,True,True,EVALUATED,True,EVALUATED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-018,SENS19-016,O01->S001->O01,4,8168.981091064019,True,True,2.316394490860985,True,True,True,0,17943.5308432424,True,0,,,,True,True,False,NOT_REQUIRED,0.0,True,True,True,NOT_REQUIRED,True,NOT_REQUIRED,True,
FEASIBILITY_RESTORED_0P1DB,REPLAY-019,SENS19-017,O01->S001->O01,4,9462.3260055079,True,True,2.080878441998727,True,True,True,0,6086.455250508963,True,0,,,,True,True,False,NOT_REQUIRED,0.0,True,True,True,NOT_REQUIRED,True,NOT_REQUIRED,True,
