resource_id,task_id,busy_start,busy_end,phase
U07,SENS19-001,510.0,568.1426440429688,climb
U07,SENS19-001,568.1426440429688,772.3733146928696,cruise
U07,SENS19-001,772.3733146928696,816.9016197465805,descent
U07,SENS19-001,1068.9016197465805,1104.5242637895492,climb
U07,SENS19-001,1104.5242637895492,1308.748436102355,cruise
U07,SENS19-001,1308.748436102355,1381.426741156066,descent
U08,SENS19-002,480.0,552.5017016601563,climb
U08,SENS19-002,552.5017016601563,1048.2034596320877,cruise
U08,SENS19-002,1048.2034596320877,1092.930586707283,descent
U08,SENS19-002,1308.930586707283,1344.7122883674392,climb
U08,SENS19-002,1344.7122883674392,1840.3809927788063,cruise
U08,SENS19-002,1840.3809927788063,1931.0081198540017,descent
U06,SENS19-006,390.0,485.20033162434896,climb
U06,SENS19-006,485.20033162434896,978.4742715543227,cruise
U06,SENS19-006,978.4742715543227,1031.8746695035416,descent
U06,SENS19-006,1121.8746695035416,1166.3750011278905,climb
U06,SENS19-006,1166.3750011278905,1659.5609888606184,cruise
U06,SENS19-006,1659.5609888606184,1773.8013868098371,descent
U05,SENS19-005,390.0,492.6455118815104,climb
U05,SENS19-005,492.6455118815104,811.2202073356964,cruise
U05,SENS19-005,811.2202073356964,844.8348215935089,descent
U05,SENS19-005,934.8348215935089,962.847000141686,climb
U05,SENS19-005,962.847000141686,1281.3976259846513,cruise
U05,SENS19-005,1281.3976259846513,1404.5722402424637,descent
U05,SENS19-007,1944.5963098536845,2035.0902510971741,climb
U05,SENS19-007,2035.0902510971741,2358.3571890572666,cruise
U05,SENS19-007,2358.3571890572666,2377.349918549454,descent
U05,SENS19-007,2467.349918549454,2483.177193126277,climb
U05,SENS19-007,2483.177193126277,2806.404519308945,cruise
U05,SENS19-007,2806.404519308945,2914.9972488011326,descent
U07,SENS19-003,2041.4332394931612,2136.7923752353486,climb
U07,SENS19-003,2136.7923752353486,2348.86063817541,cruise
U07,SENS19-003,2348.86063817541,2374.5095578531445,descent
U07,SENS19-003,2590.5095578531445,2611.028693595332,climb
U07,SENS19-003,2611.028693595332,2823.098205877673,cruise
U07,SENS19-003,2823.098205877673,2942.2971255554075,descent
U06,SENS19-008,2313.889339007083,2468.638468238854,climb
U06,SENS19-008,2468.638468238854,2829.361885940484,cruise
U06,SENS19-008,2829.361885940484,2925.740841018609,descent
U06,SENS19-008,3015.740841018609,3096.0566369170465,climb
U06,SENS19-008,3096.0566369170465,3456.7888355267783,cruise
U06,SENS19-008,3456.7888355267783,3642.4877906049032,descent
U08,SENS19-004,2561.041173414566,2714.750443434097,climb
U08,SENS19-004,2714.750443434097,3017.0229055836367,cruise
U08,SENS19-004,3017.0229055836367,3098.7594931080507,descent
U08,SENS19-004,3278.7594931080507,3344.1487631275822,climb
U08,SENS19-004,3344.1487631275822,3646.386685373357,cruise
U08,SENS19-004,3646.386685373357,3838.5232728977717,descent
U05,SENS19-012,3455.036860578557,3603.0699457022547,climb
U05,SENS19-012,3603.0699457022547,4004.370281242115,cruise
U05,SENS19-012,4004.370281242115,4043.2899833905526,descent
U05,SENS19-012,4133.289983390552,4165.72306851425,climb
U05,SENS19-012,4165.72306851425,4566.971252046969,cruise
U05,SENS19-012,4566.971252046969,4744.610954195407,descent
U07,SENS19-009,3667.3109623674864,3840.9526176409236,climb
U07,SENS19-009,3840.9526176409236,4325.067849083245,cruise
U07,SENS19-009,4325.067849083245,4436.719918175042,descent
U07,SENS19-009,4652.719918175042,4742.0415734484795,climb
U07,SENS19-009,4742.0415734484795,5226.069744316995,cruise
U07,SENS19-009,5226.069744316995,5443.121813408791,descent
U06,SENS19-014,4182.479009696802,4237.65531381464,climb
U06,SENS19-014,4237.65531381464,4619.178825355852,cruise
U06,SENS19-014,4619.178825355852,4644.470390297258,descent
U06,SENS19-014,4734.470390297258,4755.546694415096,climb
