from_node,to_node,drone_type,projected_possible,recomputed_possible,projected_margin,recomputed_margin
O01,S006,C,True,True,inf,inf
O01,S011,C,True,True,inf,inf
O01,S013,C,True,True,9.29830404357554,8.253309043575541
O01,S005,C,True,True,8.522413817803681,7.477418817803681
S001,O01,C,True,True,inf,inf
O01,S014,C,True,True,2.762608774318465,2.7176137743184654
O01,S004,C,True,True,5.230177638468788,4.185182638468788
O01,S015,C,True,True,1.935778272530612,1.890783272530612
S006,O01,C,True,True,inf,inf
O01,S012,C,True,True,0.0665317100486219,0.0215367100486219
S005,O01,C,True,True,8.522413817803681,7.477418817803681
S002,O01,C,True,False,1.322380853485683e-06,-0.0449936776191464
S007,O01,C,True,True,9.881076683362563,8.836081683362565
S004,O01,C,True,True,5.230177638468788,4.185182638468788
S011,S001,C,True,True,inf,inf
S003,O01,C,True,True,0.2164311732641832,0.1714361732641833
S009,O01,C,True,True,2.38354601331298,2.33855101331298
S008,O01,C,True,True,4.831365205739842,3.7863702057398423
S007,S003,C,True,True,0.2164311732641832,0.1714361732641833
S010,S013,C,True,True,3.963477904678413,3.918482904678413
S011,S008,C,True,True,8.44690133906137,7.4019063390613695
S013,O01,C,True,True,9.29830404357554,8.253309043575541
S012,S002,C,True,False,1.322380853485683e-06,-0.0449936776191464
S014,S010,C,True,True,2.762608774318465,2.7176137743184654
S012,S009,C,True,True,0.0665317100486219,0.0215367100486219
S013,S012,C,True,True,0.0665317100486219,0.0215367100486219
S015,S011,C,True,True,1.935778272530612,1.890783272530612
S015,S007,C,True,True,1.935778272530612,1.890783272530612
