route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,volume_ok,transport_reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S008->S011->O01,S008->S011,"[""S008-MED-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.4594308882024096,0.0,2.4594308882024096,1790.0181399910343
O01->S011->S008->O01,S011->S008,"[""S008-MED-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.460924143621523,0.0,2.460924143621523,1790.0106838293182
O01->S008->S005->O01,S008->S005,"[""S008-MED-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.4862706644508115,0.0,2.4862706644508115,1803.7926758671667
O01->S005->S008->O01,S005->S008,"[""S008-MED-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.488154226345098,0.0,2.488154226345098,1803.7877300461523
O01->S008->S001->O01,S008->S001,"[""S008-MED-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.575356871032322,0.0,2.575356871032322,1819.1688430963745
O01->S001->S008->O01,S001->S008,"[""S008-MED-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.578199500707028,0.0,2.578199500707028,1819.197444941673
O01->S008->S011->O01,S008->S011,"[""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.715683450007871,0.0,2.715683450007871,1850.0181399910343
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]",B,True,False,False,True,4,0,-6.213629794260157,False,False,False,False,2.724734636748288,0.0,2.724734636748288,1970.0106838293182
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.725383568871471,0.0,2.725383568871471,1850.0106838293182
O01->S008->S005->O01,S008->S005,"[""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.7425232262562727,0.0,2.7425232262562727,1863.792675867167
O01->S005->S008->O01,S005->S008,"[""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.7582531805352595,0.0,2.7582531805352595,1863.7877300461523
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-MED-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.759705095307755,0.0,2.759705095307755,1910.0106838293182
O01->S008->S004->O01,S008->S004,"[""S008-MED-01""]",B,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,2.786868124910886,0.0,2.786868124910886,1980.3016455336208
O01->S008->S015->O01,S008->S015,"[""S008-MED-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.792056516884522,0.0,2.792056516884522,2137.9600442706824
O01->S004->S008->O01,S004->S008,"[""S008-MED-01""]",B,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,2.793337135204638,0.0,2.793337135204638,1980.2914069632657
O01->S015->S008->O01,S015->S008,"[""S008-MED-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.800737076150314,0.0,2.800737076150314,2138.0137430226714
O01->S008->S009->O01,S008->S009,"[""S008-MED-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.816400664091526,0.0,2.816400664091526,1929.1852238409092
O01->S005->S008->O01,S005->S008,"[""S005-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.8215206735663934,0.0,2.8215206735663934,1923.7877300461523
O01->S009->S008->O01,S009->S008,"[""S008-MED-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.822571709174676,0.0,2.822571709174676,1929.236204160101
O01->S008->S011->O01,S008->S011,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-MED-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.8238953451317967,0.0,2.8238953451317967,1910.0181399910343
O01->S008->S001->O01,S008->S001,"[""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.8316094328377828,0.0,2.8316094328377828,1879.168843096375
O01->S008->S005->O01,S008->S005,"[""S005-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.845696194549911,0.0,2.845696194549911,1923.792675867167
O01->S001->S008->O01,S001->S008,"[""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.8669631718704647,0.0,2.8669631718704647,1879.197444941673
O01->S008->S007->O01,S008->S007,"[""S008-MED-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.8676634915705246,0.0,2.8676634915705246,2180.951726627877
O01->S007->S008->O01,S007->S008,"[""S008-MED-01""]",B,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,2.8774460244721,0.0,2.8774460244721,2180.9887809811994
O01->S001->S008->O01,S001->S008,"[""S001-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.9038653442371087,0.0,2.9038653442371087,1939.197444941673
O01->S008->S006->O01,S008->S006,"[""S008-MED-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.9337680548822385,0.0,2.9337680548822385,2087.4309850741543
O01->S008->S001->O01,S008->S001,"[""S001-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.9405432726128264,0.0,2.9405432726128264,1939.168843096375
O01->S006->S008->O01,S006->S008,"[""S008-MED-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.942756638030299,0.0,2.942756638030299,2087.4225901821924
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-MED-01"", ""S011-WAT-01""]",B,True,False,False,True,4,0,-6.213629794260157,False,False,False,False,2.947977210991607,0.0,2.947977210991607,1970.0106838293182
O01->S001->S008->O01,S001->S008,"[""S001-MED-01"", ""S001-MED-02"", ""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,2.949117033502914,0.0,2.949117033502914,1999.197444941673
