route,visit_order,S008_delivery_time_s,hard_deadline_ok,route_payload_hard_ok,payload_ok,mass_kg,volume_m3,relay_required_interval_count,best_access_margin,best_backhaul_margin,best_joint_margin,communication_feasible,transport_reserve_ok,energy_kwh,route_time_s
O01->S001->S008->O01,S001->S008,2818.8571231234214,True,False,False,199.0,0.523,1,-3.5750438884806357,1.3777791570296927,-3.5750438884806357,False,False,7.195098648671468,3534.8896304071677
O01->S008->S001->O01,S008->S001,1949.7273787685153,True,False,False,199.0,0.523,2,-6.2248266614637515,1.3777791570295221,-6.2248266614637515,False,False,10.725289457647603,3534.8610285618697
O01->S002->S008->O01,S002->S008,2583.0664274800033,True,False,False,126.0,0.34,2,-5.463444769765346,-1.4418124388272133,-5.463444769765346,False,False,9.614574036665473,3299.0989347637496
O01->S008->S002->O01,S008->S002,1739.7273787685153,True,False,False,126.0,0.34,2,-6.2248266614637515,-1.4418124388270712,-6.2248266614637515,False,False,11.185060027251126,3299.059909724478
O01->S003->S008->O01,S003->S008,3162.467459972754,True,False,False,126.0,0.34,2,-5.299260703065542,-1.0120386337659113,-5.299260703065542,False,False,10.39809133570102,3878.4999672565004
O01->S008->S003->O01,S008->S003,1739.7273787685153,True,False,False,126.0,0.34,2,-6.2248266614637515,-1.0120386337645755,-6.2248266614637515,False,False,12.380004102931533,3878.3651841047986
O01->S004->S008->O01,S004->S008,2402.7725654510036,True,False,False,104.0,0.28500000000000003,2,-5.819082732780089,-1.833813970572038,-5.819082732780089,False,False,8.99204885276064,3118.80507273475
O01->S008->S004->O01,S008->S004,1679.7273787685153,True,False,False,104.0,0.28500000000000003,2,-6.2248266614637515,-1.833813970572038,-6.2248266614637515,False,False,9.292616508920563,3118.8153113051053
O01->S005->S008->O01,S005->S008,2216.5064546553094,True,False,False,104.0,0.28500000000000003,2,-2.533617986803023,0.010858250584632856,-2.533617986803023,False,False,7.496779615170766,2932.5389619390558
O01->S008->S005->O01,S008->S005,1679.7273787685153,True,False,False,104.0,0.28500000000000003,2,-6.2248266614637515,0.010858250584632856,-6.2248266614637515,False,False,8.726355039613093,2932.5439077600704
O01->S006->S008->O01,S006->S008,2520.2982951787194,True,False,False,104.0,0.28500000000000003,1,-6.207478706692484,2.585425590595193,-6.207478706692484,False,False,8.15288474621851,3236.3308024624657
O01->S008->S006->O01,S008->S006,1679.7273787685153,True,False,False,104.0,0.28500000000000003,2,-6.2248266614637515,2.585425590595193,-6.2248266614637515,False,False,10.506398340823356,3236.3391973544276
O01->S007->S008->O01,S007->S008,2581.37660857701,True,False,False,90.0,0.258,2,-3.540945879093357,0.5622040539457913,-3.540945879093357,False,False,8.294064342689955,3297.409115860756
O01->S008->S007->O01,S008->S007,1649.7273787685153,True,False,False,90.0,0.258,2,-6.2248266614637515,0.5622040539471413,-6.2248266614637515,False,False,9.543229382709528,3297.3720615074344
O01->S009->S008->O01,S009->S008,2136.2301312025265,True,True,True,70.0,0.196,2,-3.189153627650441,-0.3891886906631754,-3.189153627650441,False,False,7.846343711960051,2852.262638486273
O01->S008->S009->O01,S008->S009,1589.7273787685153,True,True,True,70.0,0.196,2,-6.2248266614637515,-0.3891886906638007,-6.2248266614637515,False,False,8.134208085403415,2852.2116581670816
O01->S010->S008->O01,S010->S008,2450.260498106234,True,True,True,70.0,0.196,2,-7.409636958770534,2.390104911514726,-7.409636958770534,False,False,9.091354280230737,3166.2930053899804
O01->S008->S010->O01,S008->S010,1589.7273787685153,True,True,True,70.0,0.196,2,-7.410346974515775,2.3901049115157065,-7.410346974515775,False,False,9.333802231142714,3166.14977586664
O01->S011->S008->O01,S011->S008,2004.3927751376941,True,True,True,70.0,0.196,1,-2.625191633457561,1.209320563368621,-2.625191633457561,False,True,6.3984865245208535,2720.4252824214404
O01->S008->S011->O01,S008->S011,1589.7273787685153,True,True,True,70.0,0.196,2,-6.2248266614637515,1.209320563368621,-6.2248266614637515,False,False,7.366439589517256,2720.4327385831566
O01->S012->S008->O01,S012->S008,2464.9019364997903,True,True,True,70.0,0.196,2,-5.792121493051795,-0.6223635981853874,-5.792121493051795,False,False,9.873799029876208,3180.9344437835366
O01->S008->S012->O01,S008->S012,1589.7273787685153,True,True,True,70.0,0.196,2,-6.2248266614637515,-0.6223635981853874,-6.2248266614637515,False,False,9.57551344232148,3180.778007355396
O01->S013->S008->O01,S013->S008,2264.6770835990956,True,True,True,70.0,0.196,2,-6.164423372432452,1.4092784056447556,-6.164423372432452,False,False,8.579496172488343,2980.709590882842
O01->S008->S013->O01,S008->S013,1589.7273787685153,True,True,True,70.0,0.196,2,-6.2248266614637515,1.4092784056447556,-6.2248266614637515,False,False,8.893643308353274,2980.5777829744115
O01->S014->S008->O01,S014->S008,2857.1532392000345,True,True,True,70.0,0.196,2,-8.855921307205762,3.557084713774728,-8.855921307205762,False,False,10.247498279704176,3573.185746483781
O01->S008->S014->O01,S008->S014,1589.7273787685153,True,True,True,70.0,0.196,2,-8.856271338426538,3.5570847137763906,-8.856271338426538,False,False,10.187059554198106,3573.0335707559816
O01->S015->S008->O01,S015->S008,2404.3244883024013,True,True,True,70.0,0.196,2,-3.6427098926830155,-0.7955615720193805,-3.6427098926830155,False,False,7.760732673565499,3120.3569955861476
O01->S008->S015->O01,S008->S015,1589.7273787685153,True,True,True,70.0,0.196,2,-6.2248266614637515,-0.7955615720183857,-6.2248266614637515,False,False,7.983313391383485,3120.3032968341586
