event,phase,start_s,end_s,from_node,to_node,payload_before_kg,payload_after_kg,box_id,delivery_time_s,a_lon,a_lat,b_lon,b_lat,ha_m,hb_m,leg_energy_kwh,duration_s
loading,loading,0.0,540.0,O01,O01,70.0,70.0,,,,,,,,,,540.0
flight,climb,540.0,607.0647021484375,O01,S011,70.0,70.0,,,109.2308517,23.0085095,109.2308517,23.0085095,127.7,295.36175537109375,0.3706401529897251,67.0647021484375
flight,cruise,607.0647021484375,794.877196522449,O01,S011,70.0,70.0,,,109.2308517,23.0085095,109.2203356,23.0319231,295.36175537109375,295.36175537109375,1.0379655678495745,187.81249437401152
flight,descent,794.877196522449,836.508074207996,O01,S011,70.0,70.0,,,109.2203356,23.0319231,109.2203356,23.0319231,295.36175537109375,212.1,0.23007743835670078,41.63087768554692
handoff,handoff,836.508074207996,872.508074207996,S011,S011,70.0,67.0,S011-MED-01,872.508074207996,109.2203356,23.0319231,109.2203356,23.0319231,212.1,212.1,0.0,36.0
handoff,handoff,872.508074207996,908.508074207996,S011,S011,67.0,53.0,S011-WAT-01,908.508074207996,109.2203356,23.0319231,109.2203356,23.0319231,212.1,212.1,0.0,36.0
handoff,handoff,908.508074207996,944.508074207996,S011,S011,53.0,45.0,S011-FOD-01,944.508074207996,109.2203356,23.0319231,109.2203356,23.0319231,212.1,212.1,0.0,36.0
flight,climb,944.508074207996,1024.834675770496,S011,S008,45.0,45.0,,,109.2203356,23.0319231,109.2203356,23.0319231,212.1,412.91650390625,0.3505827819846696,80.32660156250006
flight,cruise,1024.834675770496,1381.3845231845694,S011,S008,45.0,45.0,,,109.2203356,23.0319231,109.2127472,23.0795113,412.91650390625,412.91650390625,1.556149955197294,356.5498474140734
flight,descent,1381.3845231845694,1452.3927751376943,S011,S008,45.0,45.0,,,109.2127472,23.0795113,109.2127472,23.0795113,412.91650390625,270.9,0.30991315491201676,71.00825195312495
handoff,handoff,1452.3927751376943,1488.3927751376943,S008,S008,45.0,42.0,S008-MED-01,1488.3927751376943,109.2127472,23.0795113,109.2127472,23.0795113,270.9,270.9,0.0,36.0
handoff,handoff,1488.3927751376943,1524.3927751376943,S008,S008,42.0,28.0,S008-WAT-01,1524.3927751376943,109.2127472,23.0795113,109.2127472,23.0795113,270.9,270.9,0.0,36.0
handoff,handoff,1524.3927751376943,1560.3927751376943,S008,S008,28.0,14.0,S008-WAT-02,1560.3927751376943,109.2127472,23.0795113,109.2127472,23.0795113,270.9,270.9,0.0,36.0
handoff,handoff,1560.3927751376943,1596.3927751376943,S008,S008,14.0,6.0,S008-FOD-01,1596.3927751376943,109.2127472,23.0795113,109.2127472,23.0795113,270.9,270.9,0.0,36.0
handoff,handoff,1596.3927751376943,1632.3927751376943,S008,S008,6.0,0.0,S008-HYG-01,1632.3927751376943,109.2127472,23.0795113,109.2127472,23.0795113,270.9,270.9,0.0,36.0
flight,climb,1632.3927751376943,1673.1965080478506,S008,O01,0.0,0.0,,,109.2127472,23.0795113,109.2127472,23.0795113,270.9,372.9093322753906,0.14617812799220015,40.803732910156214
flight,cruise,1673.1965080478506,2213.8206162837455,S008,O01,0.0,0.0,,,109.2127472,23.0795113,109.2308517,23.0085095,372.9093322753906,372.9093322753906,1.9367693701794961,540.6241082358949
flight,descent,2213.8206162837455,2336.425282421441,S008,O01,0.0,0.0,,,109.2308517,23.0085095,109.2308517,23.0085095,372.9093322753906,127.7,0.4392274750591774,122.6046661376954
return_end,return_end,2336.425282421441,2336.425282421441,O01,O01,0.0,0.0,,,,,,,,,,0.0
