box_id,service,category,hard_deadline_s,expected_time_s,used_as_hard_constraint
S001-MED-01,S001,MEDICAL_HARD,3600.0,3600.0,True
S001-MED-02,S001,MEDICAL_HARD,3600.0,3600.0,True
S001-WAT-01,S001,FIRST_BATCH_HARD,3600.0,3600.0,True
S001-WAT-02,S001,EXPECTED_SOFT,,3600.0,False
S001-WAT-03,S001,EXPECTED_SOFT,,3600.0,False
S001-WAT-04,S001,EXPECTED_SOFT,,3600.0,False
S001-WAT-05,S001,EXPECTED_SOFT,,3600.0,False
S001-WAT-06,S001,EXPECTED_SOFT,,3600.0,False
S001-WAT-07,S001,EXPECTED_SOFT,,3600.0,False
S001-WAT-08,S001,EXPECTED_SOFT,,3600.0,False
S001-FOD-01,S001,EXPECTED_SOFT,,7200.0,False
S001-FOD-02,S001,EXPECTED_SOFT,,7200.0,False
S001-FOD-03,S001,EXPECTED_SOFT,,7200.0,False
S001-HYG-01,S001,EXPECTED_SOFT,,10800.0,False
S001-HYG-02,S001,EXPECTED_SOFT,,10800.0,False
S002-MED-01,S002,MEDICAL_HARD,3600.0,3600.0,True
S002-WAT-01,S002,FIRST_BATCH_HARD,3600.0,3600.0,True
S002-WAT-02,S002,EXPECTED_SOFT,,3600.0,False
S002-WAT-03,S002,EXPECTED_SOFT,,3600.0,False
S002-WAT-04,S002,EXPECTED_SOFT,,3600.0,False
S002-FOD-01,S002,EXPECTED_SOFT,,7200.0,False
S002-FOD-02,S002,EXPECTED_SOFT,,7200.0,False
S002-HYG-01,S002,EXPECTED_SOFT,,10800.0,False
S003-MED-01,S003,MEDICAL_HARD,7200.0,7200.0,True
S003-WAT-01,S003,FIRST_BATCH_HARD,7200.0,7200.0,True
S003-WAT-02,S003,EXPECTED_SOFT,,7200.0,False
S003-WAT-03,S003,EXPECTED_SOFT,,7200.0,False
S003-WAT-04,S003,EXPECTED_SOFT,,7200.0,False
S003-FOD-01,S003,EXPECTED_SOFT,,10800.0,False
S003-FOD-02,S003,EXPECTED_SOFT,,10800.0,False
S003-HYG-01,S003,EXPECTED_SOFT,,14400.0,False
S004-MED-01,S004,MEDICAL_HARD,7200.0,7200.0,True
S004-WAT-01,S004,FIRST_BATCH_HARD,7200.0,7200.0,True
S004-WAT-02,S004,EXPECTED_SOFT,,7200.0,False
S004-WAT-03,S004,EXPECTED_SOFT,,7200.0,False
S004-FOD-01,S004,EXPECTED_SOFT,,10800.0,False
S004-HYG-01,S004,EXPECTED_SOFT,,14400.0,False
S005-MED-01,S005,MEDICAL_HARD,10800.0,10800.0,True
S005-WAT-01,S005,FIRST_BATCH_HARD,10800.0,10800.0,True
S005-WAT-02,S005,EXPECTED_SOFT,,10800.0,False
S005-WAT-03,S005,EXPECTED_SOFT,,10800.0,False
S005-FOD-01,S005,EXPECTED_SOFT,,14400.0,False
S005-HYG-01,S005,EXPECTED_SOFT,,18000.0,False
S006-MED-01,S006,MEDICAL_HARD,3600.0,3600.0,True
S006-WAT-01,S006,FIRST_BATCH_HARD,3600.0,3600.0,True
S006-WAT-02,S006,EXPECTED_SOFT,,3600.0,False
S006-WAT-03,S006,EXPECTED_SOFT,,3600.0,False
S006-FOD-01,S006,EXPECTED_SOFT,,7200.0,False
S006-HYG-01,S006,EXPECTED_SOFT,,10800.0,False
S007-MED-01,S007,MEDICAL_HARD,3600.0,3600.0,True
S007-WAT-01,S007,FIRST_BATCH_HARD,3600.0,3600.0,True
S007-WAT-02,S007,EXPECTED_SOFT,,3600.0,False
S007-FOD-01,S007,EXPECTED_SOFT,,7200.0,False
S007-HYG-01,S007,EXPECTED_SOFT,,10800.0,False
S008-MED-01,S008,MEDICAL_HARD,7200.0,7200.0,True
S008-WAT-01,S008,FIRST_BATCH_HARD,7200.0,7200.0,True
S008-WAT-02,S008,EXPECTED_SOFT,,7200.0,False
S008-FOD-01,S008,EXPECTED_SOFT,,10800.0,False
S008-HYG-01,S008,EXPECTED_SOFT,,14400.0,False
S009-MED-01,S009,MEDICAL_HARD,10800.0,10800.0,True
S009-WAT-01,S009,FIRST_BATCH_HARD,10800.0,10800.0,True
S009-FOD-01,S009,EXPECTED_SOFT,,14400.0,False
S010-MED-01,S010,MEDICAL_HARD,3600.0,3600.0,True
S010-WAT-01,S010,FIRST_BATCH_HARD,3600.0,3600.0,True
S010-FOD-01,S010,EXPECTED_SOFT,,7200.0,False
S011-MED-01,S011,MEDICAL_HARD,10800.0,10800.0,True
S011-WAT-01,S011,FIRST_BATCH_HARD,10800.0,10800.0,True
S011-FOD-01,S011,EXPECTED_SOFT,,14400.0,False
S012-MED-01,S012,MEDICAL_HARD,3600.0,7200.0,True
S012-WAT-01,S012,FIRST_BATCH_HARD,3600.0,3600.0,True
S012-FOD-01,S012,EXPECTED_SOFT,,7200.0,False
S013-MED-01,S013,MEDICAL_HARD,3600.0,3600.0,True
S013-WAT-01,S013,FIRST_BATCH_HARD,3600.0,3600.0,True
S013-FOD-01,S013,EXPECTED_SOFT,,7200.0,False
S014-MED-01,S014,MEDICAL_HARD,3600.0,7200.0,True
S014-WAT-01,S014,FIRST_BATCH_HARD,3600.0,3600.0,True
S014-FOD-01,S014,EXPECTED_SOFT,,7200.0,False
S015-MED-01,S015,MEDICAL_HARD,7200.0,7200.0,True
S015-WAT-01,S015,FIRST_BATCH_HARD,10800.0,10800.0,True
S015-FOD-01,S015,EXPECTED_SOFT,,14400.0,False
