route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S005->S008->S009->O01,S005->S008->S009,"[""S008-MED-01"", ""S005-MED-01"", ""S009-MED-01""]",B,True,True,True,10,4,-3.1859671451037883,False,False,False,False,2.959439427102586,0.0,2.959439427102586,2157.0828452599303
O01->S005->S008->S009->O01,S005->S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S009-MED-01""]",B,True,True,False,10,4,-3.1859671451037883,False,False,False,False,3.3427362423973923,0.0,3.3427362423973923,2217.0828452599303
O01->S005->S008->S009->O01,S005->S008->S009,"[""S008-MED-01"", ""S005-MED-01"", ""S009-MED-01""]",C,True,True,True,10,4,-3.1859671451037883,False,False,False,False,6.082221110302691,0.0,6.082221110302691,2266.9907340538757
O01->S005->S008->S009->O01,S005->S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S009-MED-01""]",C,True,True,True,10,4,-3.1859671451037883,False,False,False,False,6.272880315174548,0.0,6.272880315174548,2332.9907340538757
O01->S005->S008->S007->O01,S005->S008->S007,"[""S008-MED-01"", ""S005-MED-01"", ""S007-MED-01""]",B,True,True,True,10,4,-3.4973560528611642,False,False,False,False,3.0155393203357335,0.0,3.0155393203357335,2408.849348046898
O01->S005->S008->S007->O01,S005->S008->S007,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S007-MED-01""]",B,True,True,False,10,4,-3.4973560528611642,False,False,False,False,3.39883613563054,0.0,3.39883613563054,2468.849348046898
O01->S005->S008->S007->O01,S005->S008->S007,"[""S008-MED-01"", ""S005-MED-01"", ""S007-MED-01""]",C,True,True,True,10,4,-3.4973560528611642,False,False,False,False,6.099050801933106,0.0,6.099050801933106,2580.151137394229
O01->S005->S008->S007->O01,S005->S008->S007,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S007-MED-01""]",C,True,True,True,10,4,-3.4973560528611642,False,False,False,False,6.289710006804963,0.0,6.289710006804963,2646.151137394229
O01->S007->S008->S009->O01,S007->S008->S009,"[""S008-MED-01"", ""S007-MED-01"", ""S009-MED-01""]",B,True,True,False,10,4,-3.4973560528611642,False,False,False,False,3.358452074294066,0.0,3.358452074294066,2534.283896194977
O01->S007->S008->S009->O01,S007->S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S009-MED-01""]",B,True,True,False,10,4,-3.4973560528611642,False,False,False,False,3.831739608267684,0.0,3.831739608267684,2594.283896194977
O01->S007->S008->S009->O01,S007->S008->S009,"[""S008-MED-01"", ""S007-MED-01"", ""S009-MED-01""]",C,True,True,False,10,4,-3.4973560528611642,False,False,False,False,6.832885190733541,0.0,6.832885190733541,2697.8608879755757
O01->S007->S008->S009->O01,S007->S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S009-MED-01""]",C,True,True,False,10,4,-3.4973560528611642,False,False,False,False,7.0782284806303,0.0,7.0782284806303,2763.8608879755757
O01->S005->S008->S015->O01,S005->S008->S015,"[""S008-MED-01"", ""S005-MED-01"", ""S015-MED-01""]",B,True,True,True,10,4,-3.6248408977972417,False,False,False,False,2.936630671479094,0.0,2.936630671479094,2365.8576656897035
O01->S005->S008->S015->O01,S005->S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S015-MED-01""]",B,True,True,False,10,4,-3.6248408977972417,False,False,False,False,3.3199274867739006,0.0,3.3199274867739006,2425.8576656897035
O01->S005->S008->S015->O01,S005->S008->S015,"[""S008-MED-01"", ""S005-MED-01"", ""S015-MED-01""]",C,True,True,True,10,4,-3.6248408977972417,False,False,False,False,5.937714058893138,0.0,5.937714058893138,2535.082372720953
O01->S005->S008->S015->O01,S005->S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S015-MED-01""]",C,True,True,True,10,4,-3.6248408977972417,False,False,False,False,6.1283732637649955,0.0,6.1283732637649955,2601.082372720953
O01->S007->S008->S015->O01,S007->S008->S015,"[""S008-MED-01"", ""S007-MED-01"", ""S015-MED-01""]",B,True,True,False,10,4,-3.6248408977972417,False,False,False,False,3.335643318670574,0.0,3.335643318670574,2743.0587166247496
O01->S007->S008->S015->O01,S007->S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S015-MED-01""]",B,True,True,False,10,4,-3.6248408977972417,False,False,False,False,3.8089308526441923,0.0,3.8089308526441923,2803.05871662475
O01->S007->S008->S015->O01,S007->S008->S015,"[""S008-MED-01"", ""S007-MED-01"", ""S015-MED-01""]",C,True,True,False,10,4,-3.6248408977972417,False,False,False,False,6.688378139323988,0.0,6.688378139323988,2965.952526642653
O01->S007->S008->S015->O01,S007->S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S015-MED-01""]",C,True,True,False,10,4,-3.6248408977972417,False,False,False,False,6.933721429220748,0.0,6.933721429220748,3031.952526642653
O01->S009->S008->S015->O01,S009->S008->S015,"[""S008-MED-01"", ""S009-MED-01"", ""S015-MED-01""]",B,True,True,False,10,4,-3.6248408977972417,False,False,False,False,3.281227696641805,0.0,3.281227696641805,2491.306139803652
O01->S009->S008->S015->O01,S009->S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S009-MED-01"", ""S015-MED-01""]",B,True,True,False,10,4,-3.6248408977972417,False,False,False,False,3.7562345644359003,0.0,3.7562345644359003,2551.306139803652
O01->S009->S008->S015->O01,S009->S008->S015,"[""S008-MED-01"", ""S009-MED-01"", ""S015-MED-01""]",C,True,True,False,10,4,-3.6248408977972417,False,False,False,False,6.6693558106761825,0.0,6.6693558106761825,2652.80604926817
O01->S009->S008->S015->O01,S009->S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S009-MED-01"", ""S015-MED-01""]",C,True,True,False,10,4,-3.6248408977972417,False,False,False,False,6.903572724449575,0.0,6.903572724449575,2718.8060492681698
O01->S005->S008->S013->O01,S005->S008->S013,"[""S008-MED-01"", ""S005-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.163353001557596,False,False,False,False,3.270732324503317,0.0,3.270732324503317,2288.448027074096
O01->S005->S008->S013->O01,S005->S008->S013,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.163353001557596,False,False,False,False,3.6540291397981233,0.0,3.6540291397981233,2348.448027074096
O01->S005->S008->S013->O01,S005->S008->S013,"[""S008-MED-01"", ""S005-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.163353001557596,False,False,False,False,6.748314877158124,0.0,6.748314877158124,2395.3568588612056
O01->S005->S008->S013->O01,S005->S008->S013,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.163353001557596,False,False,False,False,6.938974082029982,0.0,6.938974082029982,2461.3568588612056
O01->S007->S008->S013->O01,S007->S008->S013,"[""S008-MED-01"", ""S007-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.163353001557596,False,False,False,False,3.6697449716947967,0.0,3.6697449716947967,2665.649078009143
O01->S007->S008->S013->O01,S007->S008->S013,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.163353001557596,False,False,False,False,4.1430325056684145,0.0,4.1430325056684145,2725.649078009143
O01->S007->S008->S013->O01,S007->S008->S013,"[""S008-MED-01"", ""S007-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.163353001557596,False,False,False,False,7.498978957588974,0.0,7.498978957588974,2826.2270127829056
O01->S007->S008->S013->O01,S007->S008->S013,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.163353001557596,False,False,False,False,7.7443222474857345,0.0,7.7443222474857345,2892.2270127829056
O01->S009->S008->S013->O01,S009->S008->S013,"[""S008-MED-01"", ""S009-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.163353001557596,False,False,False,False,3.6153293496660273,0.0,3.6153293496660273,2413.8965011880446
O01->S009->S008->S013->O01,S009->S008->S013,"[""S008-MED-01"", ""S008-WAT-01"", ""S009-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.163353001557596,False,False,False,False,4.0903362174601225,0.0,4.0903362174601225,2473.8965011880446
O01->S009->S008->S013->O01,S009->S008->S013,"[""S008-MED-01"", ""S009-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.163353001557596,False,False,False,False,7.479956628941168,0.0,7.479956628941168,2513.0805354084223
O01->S009->S008->S013->O01,S009->S008->S013,"[""S008-MED-01"", ""S008-WAT-01"", ""S009-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.163353001557596,False,False,False,False,7.714173542714561,0.0,7.714173542714561,2579.0805354084223
O01->S013->S008->S015->O01,S013->S008->S015,"[""S008-MED-01"", ""S013-MED-01"", ""S015-MED-01""]",B,True,True,False,10,4,-6.163353001557596,False,False,False,False,3.595415774978252,0.0,3.595415774978252,2622.7521492070573
O01->S013->S008->S015->O01,S013->S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S013-MED-01"", ""S015-MED-01""]",B,True,True,False,10,4,-6.163353001557596,False,False,False,False,4.143464415217432,0.0,4.143464415217432,2682.752149207057
O01->S013->S008->S015->O01,S013->S008->S015,"[""S008-MED-01"", ""S013-MED-01"", ""S015-MED-01""]",C,True,True,False,10,4,-6.163353001557596,False,False,False,False,7.337864014357172,0.0,7.337864014357172,2781.2530016647393
O01->S013->S008->S015->O01,S013->S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S013-MED-01"", ""S015-MED-01""]",C,True,True,False,10,4,-6.163353001557596,False,False,False,False,7.609471478678572,0.0,7.609471478678572,2847.253001664739
O01->S005->S007->S008->O01,S005->S007->S008,"[""S008-MED-01"", ""S005-MED-01"", ""S007-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.7757656985214845,0.0,3.7757656985214845,2765.06093092279
