route,drone_type,payload_kg,transport_energy,usable_energy,reserve_limit,energy_slack,dominant_reason
O01->S005->S008->S009->O01,B,9.0,2.959439427102586,3.2,3.2,0.24056057289741428,PASS
O01->S005->S008->S009->O01,B,23.0,3.3427362423973923,3.2,3.2,-0.14273624239739213,payload-dependent range/energy
O01->S005->S008->S009->O01,C,9.0,6.082221110302691,6.4,6.4,0.3177788896973093,PASS
O01->S005->S008->S009->O01,C,23.0,6.272880315174548,6.4,6.4,0.12711968482545277,PASS
O01->S005->S008->S007->O01,B,9.0,3.015539320335733,3.2,3.2,0.18446067966426716,PASS
O01->S005->S008->S007->O01,B,23.0,3.39883613563054,3.2,3.2,-0.1988361356305397,payload-dependent range/energy
O01->S005->S008->S007->O01,C,9.0,6.099050801933106,6.4,6.4,0.3009491980668946,PASS
O01->S005->S008->S007->O01,C,23.0,6.289710006804963,6.4,6.4,0.11028999319503718,PASS
O01->S007->S008->S009->O01,B,9.0,3.358452074294066,3.2,3.2,-0.1584520742940656,return reserve constraint
O01->S007->S008->S009->O01,B,23.0,3.831739608267684,3.2,3.2,-0.6317396082676838,route too long / climb energy
O01->S007->S008->S009->O01,C,9.0,6.832885190733541,6.4,6.4,-0.4328851907335407,return reserve constraint
O01->S007->S008->S009->O01,C,23.0,7.0782284806303,6.4,6.4,-0.6782284806302998,return reserve constraint
O01->S005->S008->S015->O01,B,9.0,2.936630671479094,3.2,3.2,0.263369328520906,PASS
O01->S005->S008->S015->O01,B,23.0,3.3199274867739006,3.2,3.2,-0.11992748677390042,payload-dependent range/energy
O01->S005->S008->S015->O01,C,9.0,5.937714058893138,6.4,6.4,0.4622859411068623,PASS
O01->S005->S008->S015->O01,C,23.0,6.128373263764996,6.4,6.4,0.271626736235004,PASS
O01->S007->S008->S015->O01,B,9.0,3.335643318670574,3.2,3.2,-0.1356433186705739,return reserve constraint
O01->S007->S008->S015->O01,B,23.0,3.808930852644192,3.2,3.2,-0.6089308526441917,route too long / climb energy
O01->S007->S008->S015->O01,C,9.0,6.688378139323988,6.4,6.4,-0.2883781393239877,return reserve constraint
O01->S007->S008->S015->O01,C,23.0,6.933721429220748,6.4,6.4,-0.5337214292207477,return reserve constraint
