K,assigned_sorties,unassigned_sorties,assigned_boxes,unassigned_boxes,hard_violation_boxes,hard_violation_sorties,communication_pass,resource_available,reserve_ok,relay_peak,component_peak,transport_peak,B_battery_peak,C_battery_peak,service_peak,transport_energy_kwh,relay_energy_kwh,total_energy_kwh,makespan,complete_feasible,candidate_count,candidate_rejections
18,5,13,30,50,0,0,False,False,True,1,1,3,1,4,3,15.779152560742801,0.5970276333835416,16.37618019412634,3866.050612801933,False,5,208
19,6,13,30,50,0,0,False,False,True,1,1,3,1,4,3,17.171741457990013,0.5970276333835416,17.768769091373553,4816.299718479484,False,6,208
20,7,13,30,50,0,0,False,False,True,1,1,3,1,4,3,18.683874510964493,0.5970276333835416,19.280902144348033,5427.483852295094,False,7,208
21,8,13,30,50,0,0,False,False,True,1,1,3,1,4,3,20.4804517710199,0.5970276333835416,21.07747940440344,6377.162355199451,False,8,208
22,8,14,30,50,0,0,False,False,True,1,1,3,1,4,3,20.4804517710199,0.5970276333835416,21.07747940440344,6377.162355199451,False,8,224
23,9,14,30,50,0,0,False,False,True,1,1,3,1,4,3,24.784968765065422,1.1940552667670832,25.979024031832505,7687.702938601892,False,9,224
24,9,15,30,50,0,0,False,False,True,1,1,3,1,4,3,24.784968765065422,1.1940552667670832,25.979024031832505,7687.702938601892,False,9,240
25,9,16,30,50,0,0,False,False,True,1,1,3,1,4,3,24.784968765065422,1.1940552667670832,25.979024031832505,7687.702938601892,False,9,256
26,9,17,30,50,0,0,False,False,True,1,1,3,1,4,3,24.784968765065422,1.1940552667670832,25.979024031832505,7687.702938601892,False,9,272
27,9,18,30,50,0,0,False,False,True,1,1,3,1,4,3,24.784968765065422,1.1940552667670832,25.979024031832505,7687.702938601892,False,9,288
28,10,18,30,50,0,0,False,False,True,1,1,3,1,4,3,26.53458112275765,1.1940552667670832,27.728636389524734,8432.028277963891,False,10,288
