box_id,service_area,material_type,K18_unassigned,K19_unassigned,K20_unassigned,K21_unassigned,K22_unassigned,K23_unassigned,K24_unassigned,K25_unassigned,K26_unassigned,K27_unassigned,K28_unassigned
S002-FOD-01,S002,应急食品,True,True,True,True,True,True,True,True,True,True,True
S002-FOD-02,S002,应急食品,True,True,True,True,True,True,True,True,True,True,True
S002-HYG-01,S002,生活卫生用品,True,True,True,True,True,True,True,True,True,True,True
S002-MED-01,S002,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S002-WAT-01,S002,饮用水,True,True,True,True,True,True,True,True,True,True,True
S002-WAT-02,S002,饮用水,True,True,True,True,True,True,True,True,True,True,True
S002-WAT-03,S002,饮用水,True,True,True,True,True,True,True,True,True,True,True
S002-WAT-04,S002,饮用水,True,True,True,True,True,True,True,True,True,True,True
S003-FOD-01,S003,应急食品,True,True,True,True,True,True,True,True,True,True,True
S003-FOD-02,S003,应急食品,True,True,True,True,True,True,True,True,True,True,True
S003-HYG-01,S003,生活卫生用品,True,True,True,True,True,True,True,True,True,True,True
S003-MED-01,S003,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S003-WAT-01,S003,饮用水,True,True,True,True,True,True,True,True,True,True,True
S003-WAT-02,S003,饮用水,True,True,True,True,True,True,True,True,True,True,True
S003-WAT-03,S003,饮用水,True,True,True,True,True,True,True,True,True,True,True
S003-WAT-04,S003,饮用水,True,True,True,True,True,True,True,True,True,True,True
S005-FOD-01,S005,应急食品,True,True,True,True,True,True,True,True,True,True,True
S005-HYG-01,S005,生活卫生用品,True,True,True,True,True,True,True,True,True,True,True
S005-MED-01,S005,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S005-WAT-01,S005,饮用水,True,True,True,True,True,True,True,True,True,True,True
S005-WAT-02,S005,饮用水,True,True,True,True,True,True,True,True,True,True,True
S005-WAT-03,S005,饮用水,True,True,True,True,True,True,True,True,True,True,True
S007-FOD-01,S007,应急食品,True,True,True,True,True,True,True,True,True,True,True
S007-HYG-01,S007,生活卫生用品,True,True,True,True,True,True,True,True,True,True,True
S007-MED-01,S007,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S007-WAT-01,S007,饮用水,True,True,True,True,True,True,True,True,True,True,True
S007-WAT-02,S007,饮用水,True,True,True,True,True,True,True,True,True,True,True
S008-FOD-01,S008,应急食品,True,True,True,True,True,True,True,True,True,True,True
S008-HYG-01,S008,生活卫生用品,True,True,True,True,True,True,True,True,True,True,True
S008-MED-01,S008,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S008-WAT-01,S008,饮用水,True,True,True,True,True,True,True,True,True,True,True
S008-WAT-02,S008,饮用水,True,True,True,True,True,True,True,True,True,True,True
S009-FOD-01,S009,应急食品,True,True,True,True,True,True,True,True,True,True,True
S009-MED-01,S009,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S009-WAT-01,S009,饮用水,True,True,True,True,True,True,True,True,True,True,True
S010-FOD-01,S010,应急食品,True,True,True,True,True,True,True,True,True,True,True
S010-MED-01,S010,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S010-WAT-01,S010,饮用水,True,True,True,True,True,True,True,True,True,True,True
S012-FOD-01,S012,应急食品,True,True,True,True,True,True,True,True,True,True,True
S012-MED-01,S012,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S012-WAT-01,S012,饮用水,True,True,True,True,True,True,True,True,True,True,True
S013-FOD-01,S013,应急食品,True,True,True,True,True,True,True,True,True,True,True
S013-MED-01,S013,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S013-WAT-01,S013,饮用水,True,True,True,True,True,True,True,True,True,True,True
S014-FOD-01,S014,应急食品,True,True,True,True,True,True,True,True,True,True,True
S014-MED-01,S014,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S014-WAT-01,S014,饮用水,True,True,True,True,True,True,True,True,True,True,True
S015-FOD-01,S015,应急食品,True,True,True,True,True,True,True,True,True,True,True
S015-MED-01,S015,医疗物资,True,True,True,True,True,True,True,True,True,True,True
S015-WAT-01,S015,饮用水,True,True,True,True,True,True,True,True,True,True,True
