sortie,box_ids,status
K18-002,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",UNASSIGNED
K18-004,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",UNASSIGNED
K18-005,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",UNASSIGNED
K18-006,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",UNASSIGNED
K18-007,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",UNASSIGNED
K18-008,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",UNASSIGNED
K18-009,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",UNASSIGNED
K18-011,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",UNASSIGNED
K18-012,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",UNASSIGNED
K18-013,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",UNASSIGNED
K18-014,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",UNASSIGNED
K18-017,"['S002-FOD-02', 'S002-HYG-01']",UNASSIGNED
K18-018,"['S003-FOD-02', 'S003-HYG-01']",UNASSIGNED
