box_id,sortie_id,service_area,arrival_time_s,completion_time_s,hard_deadline_s,hard_violation,soft_deadline_s,soft_lateness_s,relay_id
S001-MED-01,SENS19-001,S001,996.9016197465803,1428.9016197465803,3600.0,False,,0.0,R01
S001-MED-02,SENS19-001,S001,996.9016197465803,1428.9016197465803,3600.0,False,,0.0,R01
S001-WAT-01,SENS19-001,S001,996.9016197465803,1428.9016197465803,3600.0,False,3600.0,0.0,R01
S001-WAT-02,SENS19-001,S001,996.9016197465803,1428.9016197465803,,False,3600.0,0.0,R01
S001-WAT-03,SENS19-001,S001,996.9016197465803,1428.9016197465803,,False,3600.0,0.0,R01
S001-WAT-04,SENS19-001,S001,996.9016197465803,1428.9016197465803,,False,3600.0,0.0,R01
S001-WAT-05,SENS19-001,S001,996.9016197465803,1428.9016197465803,,False,3600.0,0.0,R01
S002-MED-01,SENS19-002,S002,1272.930586707283,1668.930586707283,3600.0,False,,0.0,R02
S002-WAT-01,SENS19-002,S002,1272.930586707283,1668.930586707283,3600.0,False,3600.0,0.0,R02
S002-WAT-02,SENS19-002,S002,1272.930586707283,1668.930586707283,,False,3600.0,0.0,R02
S002-WAT-03,SENS19-002,S002,1272.930586707283,1668.930586707283,,False,3600.0,0.0,R02
S002-WAT-04,SENS19-002,S002,1272.930586707283,1668.930586707283,,False,3600.0,0.0,R02
S002-FOD-01,SENS19-002,S002,1272.930586707283,1668.930586707283,,False,7200.0,0.0,R02
S006-MED-01,SENS19-003,S006,3034.5095578531445,3430.5095578531445,3600.0,False,,0.0,R01
S006-WAT-01,SENS19-003,S006,3034.5095578531445,3430.5095578531445,3600.0,False,3600.0,0.0,R01
S006-WAT-02,SENS19-003,S006,3034.5095578531445,3430.5095578531445,,False,3600.0,0.0,R01
S006-WAT-03,SENS19-003,S006,3034.5095578531445,3430.5095578531445,,False,3600.0,0.0,R01
S006-FOD-01,SENS19-003,S006,3034.5095578531445,3430.5095578531445,,False,7200.0,0.0,R01
S006-HYG-01,SENS19-003,S006,3034.5095578531445,3430.5095578531445,,False,10800.0,0.0,R01
S007-MED-01,SENS19-004,S007,3758.759493108051,4118.759493108051,3600.0,True,,0.0,R02
S007-WAT-01,SENS19-004,S007,3758.759493108051,4118.759493108051,3600.0,True,3600.0,518.7594931080512,R02
S007-WAT-02,SENS19-004,S007,3758.759493108051,4118.759493108051,,False,3600.0,518.7594931080512,R02
S007-FOD-01,SENS19-004,S007,3758.759493108051,4118.759493108051,,False,7200.0,0.0,R02
S007-HYG-01,SENS19-004,S007,3758.759493108051,4118.759493108051,,False,10800.0,0.0,R02
S010-MED-01,SENS19-005,S010,5107.130697806637,5347.130697806637,3600.0,True,,0.0,R01
S010-WAT-01,SENS19-005,S010,5107.130697806637,5347.130697806637,3600.0,True,3600.0,1747.1306978066368,R01
S010-FOD-01,SENS19-005,S010,5107.130697806637,5347.130697806637,,False,7200.0,0.0,R01
S012-MED-01,SENS19-006,S012,6190.432482305077,6430.432482305077,3600.0,True,,0.0,R02
S012-WAT-01,SENS19-006,S012,6190.432482305077,6430.432482305077,3600.0,True,3600.0,2830.4324823050774,R02
S012-FOD-01,SENS19-006,S012,6190.432482305077,6430.432482305077,,False,7200.0,0.0,R02
S013-MED-01,SENS19-007,S013,7119.645794762582,7359.645794762582,3600.0,True,,0.0,R01
S013-WAT-01,SENS19-007,S013,7119.645794762582,7359.645794762582,3600.0,True,3600.0,3759.645794762582,R01
S013-FOD-01,SENS19-007,S013,7119.645794762582,7359.645794762582,,False,7200.0,159.64579476258223,R01
S014-MED-01,SENS19-008,S014,8564.298653820146,8804.298653820146,3600.0,True,,0.0,R02
S014-WAT-01,SENS19-008,S014,8564.298653820146,8804.298653820146,3600.0,True,3600.0,5204.298653820146,R02
S014-FOD-01,SENS19-008,S014,8564.298653820146,8804.298653820146,,False,7200.0,1604.2986538201458,R02
S003-MED-01,SENS19-009,S003,9536.74169259924,9932.74169259924,7200.0,True,,0.0,R01
S003-WAT-01,SENS19-009,S003,9536.74169259924,9932.74169259924,7200.0,True,7200.0,2732.74169259924,R01
S003-WAT-02,SENS19-009,S003,9536.74169259924,9932.74169259924,,False,7200.0,2732.74169259924,R01
S003-WAT-03,SENS19-009,S003,9536.74169259924,9932.74169259924,,False,7200.0,2732.74169259924,R01
S003-WAT-04,SENS19-009,S003,9536.74169259924,9932.74169259924,,False,7200.0,2732.74169259924,R01
S003-FOD-01,SENS19-009,S003,9536.74169259924,9932.74169259924,,False,10800.0,0.0,R01
S004-MED-01,SENS19-010,S004,11100.60081053932,11496.60081053932,7200.0,True,,0.0,R02
S004-WAT-01,SENS19-010,S004,11100.60081053932,11496.60081053932,7200.0,True,7200.0,4296.600810539319,R02
S004-WAT-02,SENS19-010,S004,11100.60081053932,11496.60081053932,,False,7200.0,4296.600810539319,R02
S004-WAT-03,SENS19-010,S004,11100.60081053932,11496.60081053932,,False,7200.0,4296.600810539319,R02
S004-FOD-01,SENS19-010,S004,11100.60081053932,11496.60081053932,,False,10800.0,696.6008105393194,R02
S004-HYG-01,SENS19-010,S004,11100.60081053932,11496.60081053932,,False,14400.0,0.0,R02
S008-MED-01,SENS19-011,S008,12342.958027175311,12702.958027175311,7200.0,True,,0.0,R01
S008-WAT-01,SENS19-011,S008,12342.958027175311,12702.958027175311,7200.0,True,7200.0,5502.958027175311,R01
S008-WAT-02,SENS19-011,S008,12342.958027175311,12702.958027175311,,False,7200.0,5502.958027175311,R01
S008-FOD-01,SENS19-011,S008,12342.958027175311,12702.958027175311,,False,10800.0,1902.9580271753111,R01
S008-HYG-01,SENS19-011,S008,12342.958027175311,12702.958027175311,,False,14400.0,0.0,R01
S015-MED-01,SENS19-012,S015,13674.4779213923,13914.4779213923,7200.0,True,,0.0,R02
S015-WAT-01,SENS19-012,S015,13674.4779213923,13914.4779213923,10800.0,True,10800.0,3114.4779213922993,R02
S015-FOD-01,SENS19-012,S015,13674.4779213923,13914.4779213923,,False,14400.0,0.0,R02
S005-MED-01,SENS19-013,S005,14865.663365911918,15261.663365911918,10800.0,True,,0.0,R01
S005-WAT-01,SENS19-013,S005,14865.663365911918,15261.663365911918,10800.0,True,10800.0,4461.663365911918,R01
S005-WAT-02,SENS19-013,S005,14865.663365911918,15261.663365911918,,False,10800.0,4461.663365911918,R01
S005-WAT-03,SENS19-013,S005,14865.663365911918,15261.663365911918,,False,10800.0,4461.663365911918,R01
S005-FOD-01,SENS19-013,S005,14865.663365911918,15261.663365911918,,False,14400.0,861.6633659119179,R01
S005-HYG-01,SENS19-013,S005,14865.663365911918,15261.663365911918,,False,18000.0,0.0,R01
S009-MED-01,SENS19-014,S009,15857.842424804752,16097.842424804752,10800.0,True,,0.0,R02
S009-WAT-01,SENS19-014,S009,15857.842424804752,16097.842424804752,10800.0,True,10800.0,5297.842424804752,R02
S009-FOD-01,SENS19-014,S009,15857.842424804752,16097.842424804752,,False,14400.0,1697.8424248047522,R02
