resource,sortie_id,start_s,end_s
transport:U07,SENS19-001,180.0,1741.4332394931612
battery:C-B01,SENS19-001,180.0,3367.3109623674864
service:S001,SENS19-001,996.9016197465803,1428.9016197465803
relay:R01,SENS19-001,0.0,2041.4332394931612
transport:U08,SENS19-002,180.0,2291.041173414566
battery:C-B02,SENS19-002,180.0,4830.885216066781
service:S002,SENS19-002,1272.930586707283,1668.930586707283
relay:R02,SENS19-002,0.0,2591.041173414566
transport:U07,SENS19-003,2221.433239493161,3782.2958762131275
battery:C-B03,SENS19-003,2221.433239493161,5318.163301248845
service:S006,SENS19-003,3034.5095578531445,3430.5095578531445
relay:R01,SENS19-003,2041.4332394931612,4082.2958762131275
transport:U08,SENS19-004,2771.041173414566,4678.557812801536
battery:C-B04,SENS19-004,2771.041173414566,6435.603616277208
service:S007,SENS19-004,3758.759493108051,4118.759493108051
relay:R02,SENS19-004,2591.041173414566,4978.557812801536
transport:U05,SENS19-005,4262.2958762131275,5816.892186066812
battery:B-B01,SENS19-005,4262.2958762131275,7272.7071002390985
service:S010,SENS19-005,5107.130697806637,5347.130697806637
relay:R01,SENS19-005,4082.2958762131275,6116.892186066812
transport:U06,SENS19-006,5158.557812801536,7082.447151808619
battery:B-B02,SENS19-006,5158.557812801536,8943.151651827202
service:S012,SENS19-006,6190.432482305077,6430.432482305077
relay:R02,SENS19-006,4978.557812801536,7382.447151808619
transport:U05,SENS19-007,6296.892186066812,7807.3327367916845
battery:B-B03,SENS19-007,6296.892186066812,9264.69178043689
service:S013,SENS19-007,7119.645794762582,7359.645794762582
relay:R01,SENS19-007,6116.892186066812,8107.3327367916845
transport:U06,SENS19-008,7562.447151808619,9431.036822498338
battery:B-B01,SENS19-008,7562.447151808619,11023.859717000349
service:S014,SENS19-008,8564.298653820146,8804.298653820146
relay:R02,SENS19-008,7382.447151808619,9731.036822498338
transport:U07,SENS19-009,8287.332736791685,10723.230648406796
battery:C-B01,SENS19-009,8287.332736791685,13269.002865488217
service:S003,SENS19-009,9536.74169259924,9932.74169259924
relay:R01,SENS19-009,8107.3327367916845,11023.230648406796
transport:U08,SENS19-010,9911.036822498338,12216.224798580304
battery:C-B02,SENS19-010,9911.036822498338,14722.477611939456
service:S004,SENS19-010,11100.60081053932,11496.60081053932
relay:R02,SENS19-010,9731.036822498338,12516.224798580304
transport:U07,SENS19-011,11203.230648406796,13407.005405943826
battery:C-B03,SENS19-011,11203.230648406796,15826.765522528685
service:S008,SENS19-011,12342.958027175311,12702.958027175311
relay:R01,SENS19-011,11023.230648406796,13707.005405943826
transport:U05,SENS19-012,12696.224798580304,14525.851044204295
battery:B-B01,SENS19-012,12696.224798580304,16193.970252712885
service:S015,SENS19-012,13674.4779213923,13914.4779213923
relay:R02,SENS19-012,12516.224798580304,14825.851044204295
transport:U07,SENS19-013,13887.005405943826,15767.051325880006
battery:C-B01,SENS19-013,13887.005405943826,17748.388063406936
service:S005,SENS19-013,14865.663365911918,15261.663365911918
relay:R01,SENS19-013,13707.005405943826,16067.051325880006
transport:U05,SENS19-014,15005.851044204295,16566.653805405207
battery:B-B02,SENS19-014,15005.851044204295,18144.411073476916
service:S009,SENS19-014,15857.842424804752,16097.842424804752
relay:R02,SENS19-014,14825.851044204295,16866.653805405207
transport:U06,SENS19-015,16247.051325880006,17436.6868891723
battery:B-B01,SENS19-015,16247.051325880006,18570.133852016337
service:S011,SENS19-015,16914.05577419282,17154.05577419282
relay:R01,SENS19-015,16067.051325880006,17736.6868891723
transport:U07,SENS19-016,17046.653805405207,18410.08704489837
battery:C-B02,SENS19-016,17046.653805405207,19870.785342427924
service:S001,SENS19-016,17773.55542515179,18097.55542515179
relay:R02,SENS19-016,16866.653805405207,18710.08704489837
transport:U08,SENS19-017,17916.6868891723,19280.120128665458
battery:C-B01,SENS19-017,17916.6868891723,20677.032829628148
service:S001,SENS19-017,18643.588508918878,18967.588508918878
relay:R01,SENS19-017,17736.6868891723,19580.120128665458
transport:U05,SENS19-018,18890.08704489837,20650.010133596137
battery:B-B01,SENS19-018,18890.08704489837,22343.125880385945
service:S002,SENS19-018,19841.988589247252,20051.988589247252
relay:R02,SENS19-018,18710.08704489837,20950.010133596137
transport:U06,SENS19-019,19760.120128665458,21780.449994219372
battery:B-B02,SENS19-019,19760.120128665458,23497.374299943134
service:S003,SENS19-019,20838.25839477575,21048.25839477575
relay:R01,SENS19-019,19580.120128665458,22080.449994219372
