sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok,relay,relay_id
SENS19-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",180.0,S001,1428.9016197465803,432.0,1741.4332394931612,2.9263177459975083,0.6342102817503115,True,,R01
SENS19-002,U08,C,C-B02,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",180.0,S002,1668.930586707283,396.0,2291.041173414566,6.300962619023563,0.2123796726220546,True,,R02
SENS19-003,U07,C,C-B03,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",2221.433239493161,S006,3430.5095578531445,396.0,3782.2958762131275,2.59397203090111,0.6757534961373612,True,,R01
SENS19-004,U08,C,C-B04,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",2771.041173414566,S007,4118.759493108051,360.0,4678.557812801536,3.410630658987098,0.5736711676266127,True,,R02
SENS19-005,U05,B,B-B01,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",4262.2958762131275,S010,5347.130697806637,240.0,5816.892186066812,1.8211113403975845,0.5447221649006039,True,,R01
SENS19-006,U06,B,B-B02,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",5158.557812801536,S012,6430.432482305077,240.0,7082.447151808619,2.7554719231198046,0.3111320192200488,True,,R02
SENS19-007,U05,B,B-B03,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",6296.892186066812,S013,7359.645794762582,240.0,7807.3327367916845,1.8246747161043195,0.5438313209739201,True,,R01
SENS19-008,U06,B,B-B01,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",7562.447151808619,S014,8804.298653820146,240.0,9431.036822498338,2.13728360269695,0.4656790993257624,True,,R02
SENS19-009,U07,C,C-B01,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",8287.332736791685,S003,9932.74169259924,396.0,10723.230648406796,6.322851263069863,0.2096435921162671,True,,R01
SENS19-010,U08,C,C-B02,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",9911.036822498338,S004,11496.60081053932,396.0,12216.224798580304,6.176933464710716,0.2278833169111604,True,,R02
SENS19-011,U07,C,C-B03,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",11203.230648406796,S008,12702.958027175311,360.0,13407.005405943826,5.857575815082559,0.2678030231146802,True,,R01
SENS19-012,U05,B,B-B01,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",12696.224798580304,S015,13914.4779213923,240.0,14525.851044204295,2.3110443273275134,0.4222389181681216,True,,R02
SENS19-013,U07,C,C-B01,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",13887.005405943826,S005,15261.663365911918,396.0,15767.051325880006,4.238781800099432,0.4701522749875709,True,,R01
SENS19-014,U05,B,B-B02,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",15005.851044204295,S009,16097.842424804752,240.0,16566.653805405207,2.1025167724731757,0.4743708068817062,True,,R02
SENS19-015,U06,B,B-B01,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",16247.051325880006,S011,17154.05577419282,240.0,17436.6868891723,1.0771852988708592,0.7307036752822852,True,,R01
SENS19-016,U07,C,C-B02,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01']",17046.653805405207,S001,18097.55542515179,324.0,18410.08704489837,2.316424483186039,0.7104469396017451,True,,R02
SENS19-017,U08,C,C-B01,"['S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",17916.6868891723,S001,18967.588508918878,324.0,19280.120128665458,2.0809084343237814,0.7398864457095273,True,,R01
SENS19-018,U05,B,B-B01,"['S002-FOD-02', 'S002-HYG-01']",18890.08704489837,S002,20051.988589247252,210.0,20650.010133596137,2.368728646438021,0.4078178383904948,True,,R02
SENS19-019,U06,B,B-B02,"['S003-FOD-02', 'S003-HYG-01']",19760.120128665458,S003,21048.25839477575,210.0,21780.449994219372,2.423671474747147,0.3940821313132132,True,,R01
