resource_id,battery_type,task_id,busy_start,busy_end,use_end,charge_start,charge_end,energy_kwh
C-B01,C,K19-001,0.0,3007.2963411090223,1381.426741156066,1381.426741156066,3007.2963411090223,2.926287753672454
C-B02,C,K19-002,0.0,4470.810845555511,1931.0081198540017,1931.0081198540017,4470.810845555511,6.300810064128651
C-B03,C,K19-003,1381.426741156066,4298.15961393188,2762.2906272183127,2762.2906272183127,4298.15961393188,2.5939777970962483
C-B04,C,K19-004,1931.0081198540017,5415.492847933174,3658.4902193372072,3658.4902193372072,5415.492847933174,3.4104712440466476
B-B01,B,K19-005,0.0,2860.3648040614744,1404.5722402424637,1404.5722402424637,2860.3648040614744,1.8210597626592548
B-B02,B,K19-006,0.0,3634.4242169309764,1773.8013868098371,1773.8013868098371,3634.4242169309764,2.7552834541257063
B-B03,B,K19-007,1404.5722402424637,4222.295440470367,2764.973179189912,2764.973179189912,4222.295440470367,1.8245898337241249
B-B04,B,K19-008,1773.8013868098371,5085.230886610049,3492.3998384076576,3492.3998384076576,5085.230886610049,2.137302418928596
C-B01,C,K19-009,3007.2963411090223,7808.77058351449,5263.107192150327,5263.107192150327,7808.77058351449,6.322449445036911
C-B03,C,K19-010,4298.15961393188,8929.594811774532,6423.345104858971,6423.345104858971,8929.594811774532,6.176921994765144
C-B02,C,K19-011,5263.107192150327,9706.608605431487,7286.867078202589,7286.867078202589,9706.608605431487,5.8575071774605485
B-B01,B,K19-012,2860.3648040614744,6208.00967932314,4539.938897678325,4539.938897678325,6208.00967932314,2.3109325730264962
C-B04,C,K19-013,6423.345104858971,10104.727080830022,8123.390721909792,8123.390721909792,10104.727080830022,4.238780402167004
B-B02,B,K19-014,3634.4242169309764,6622.939938765296,5045.204003904621,5045.204003904621,6622.939938765296,2.102467541986173
B-B03,B,K19-015,4539.938897678325,6713.012245558209,5579.569701874682,5579.569701874682,6713.012245558209,1.0771751008081385
C-B01,C,K19-016,7808.77058351449,10452.88749927874,8992.197324670557,8992.197324670557,10452.88749927874,2.316394490860985
C-B03,C,K19-017,8929.594811774532,11509.92613097192,10113.021552930599,10113.021552930599,11509.92613097192,2.080878441998727
B-B04,B,K19-018,5085.230886610049,8388.205975945111,6695.120921747254,6695.120921747254,8388.205975945111,2.3686578173796686
B-B01,B,K19-019,6208.00967932314,9795.095948065618,8078.252484303247,8078.252484303247,9795.095948065618,2.4234849163747043
