resource_id,task_id,busy_start,busy_end
R01,K19-004,2071.4525012669105,3124.297626473608
R02,K19-004,2219.3997245519695,3367.842553753615
R01,K19-004,2481.1363120763835,3613.231823773147
R02,K19-004,2700.850820960395,3753.6614062633284
R01,K19-005,46.84391702307363,1072.5265512379156
R02,K19-005,200.0013362125028,1266.477013232653
R01,K19-005,323.6159504703153,1384.48919178083
R02,K19-005,517.0454052832492,1542.7039698868707
R01,K19-007,1446.6911094175282,2458.9553925439304
R02,K19-007,1582.270361228047,2675.4499815662257
R01,K19-007,1691.2630907202347,2781.2772561430484
R02,K19-007,1894.778051446631,2907.0027227956093
R01,K19-008,1808.8105692756908,3018.806626480835
R02,K19-008,1961.065165577445,3311.2214144741356
R01,K19-008,2147.4441206555703,3481.537210372573
R02,K19-008,2436.228737953884,3646.2335760671294
R01,K19-010,4350.334872108633,5751.411440211312
R02,K19-010,4580.2008217218,6137.644592876594
R01,K19-010,4881.170404851682,6421.620259380501
R02,K19-010,5235.658860149615,6636.7329430974205
R01,K19-011,5266.791979633731,6707.588668730034
R02,K19-011,5507.593846756851,7074.089088008894
R01,K19-011,5738.598512894547,7294.892820919049
R02,K19-011,6079.239358402247,7520.021176013781
R01,K19-012,2876.9329753214224,4148.101387286699
R02,K19-012,3052.203054358937,4401.793797923159
R01,K19-012,3181.122756507374,4524.226883046857
R02,K19-012,3439.586098133418,4710.702358091554
R01,K19-013,6549.9746191376125,7574.5260487173655
R02,K19-013,6698.2240301761785,7860.023149943846
R01,K19-013,6979.929474512116,8128.587505412595
R02,K19-013,7237.712579105702,8262.263705800096
R01,K19-014,3634.183607044593,4711.425999338795
R02,K19-014,3830.085383634357,4916.945789048949
R01,K19-014,3945.3769485757634,5028.022093166788
R02,K19-014,4152.074987645048,5229.294405711984
