K,task_id,service,type,start_time,box_count,transport_feasible,reserve_ok,hard_deadline_ok,communication_ok,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,failure_stage
19,K19-001,S001,C,0.0,7,True,True,True,True,True,True,True,2.926287753672454,0.0,
19,K19-002,S002,C,0.0,6,True,True,True,False,False,False,False,6.300810064128651,,COMMUNICATION
19,K19-003,S006,C,1381.426741156066,6,True,True,True,True,True,True,True,2.5939777970962483,0.0,
19,K19-004,S007,C,1931.0081198540017,5,True,True,True,True,True,True,True,3.4104712440466476,,
19,K19-005,S010,B,0.0,3,True,True,True,True,True,True,True,1.8210597626592548,,
19,K19-006,S012,B,0.0,3,True,True,True,False,False,False,False,2.7552834541257063,,COMMUNICATION
19,K19-007,S013,B,1404.5722402424637,3,True,True,True,True,True,True,True,1.8245898337241249,,
19,K19-008,S014,B,1773.8013868098371,3,True,True,True,True,True,True,True,2.137302418928596,,
19,K19-009,S003,C,3007.2963411090223,6,True,True,True,False,False,False,False,6.322449445036911,,COMMUNICATION
19,K19-010,S004,C,4298.15961393188,6,True,True,True,True,True,True,True,6.176921994765144,,
19,K19-011,S008,C,5263.107192150327,5,True,True,True,True,True,True,True,5.8575071774605485,,
19,K19-012,S015,B,2860.3648040614744,3,True,True,True,True,True,True,True,2.3109325730264962,,
19,K19-013,S005,C,6423.345104858971,6,True,True,True,True,True,True,True,4.238780402167004,,
19,K19-014,S009,B,3634.4242169309764,3,True,True,True,True,False,False,False,2.102467541986173,,RELAY_RESOURCE
19,K19-015,S011,B,4539.938897678325,3,True,True,True,True,True,True,True,1.0771751008081385,0.0,
19,K19-016,S001,C,7808.77058351449,4,True,True,True,True,True,True,True,2.316394490860985,0.0,
19,K19-017,S001,C,8929.594811774532,4,True,True,True,True,True,True,True,2.080878441998727,0.0,
19,K19-018,S002,B,5085.230886610049,2,True,True,True,False,False,False,False,2.3686578173796686,,COMMUNICATION
19,K19-019,S003,B,6208.00967932314,2,True,True,True,False,False,False,False,2.4234849163747043,,COMMUNICATION
