sortie_id,service_area,relay_id,relay_position,transport_to_relay_distance_m,relay_to_target_distance_m,min_clearance_m,link_margin_db,segment1_pixels,segment2_pixels,certification_pass
SENS19-001,S001,R01,fraction=0.500000;height_offset=200.000m,1539.5238033830638,1539.5238033830638,18.974459838867176,9.165491441244,137,139,True
SENS19-002,S002,R02,fraction=0.250000;height_offset=200.000m,1861.9507784762025,5585.852335428607,18.178301250349307,7.504235790112659,163,487,True
SENS19-003,S006,R02,fraction=0.250000;height_offset=100.000m,799.7448651216498,2399.234595364949,18.974459838867176,14.747591227785492,61,175,True
SENS19-004,S007,R02,fraction=0.750000;height_offset=100.000m,3418.965038561039,1139.6550128536796,16.00218849170355,2.2538447665918255,321,109,True
SENS19-005,S010,R01,fraction=0.250000;height_offset=100.000m,1199.0163112795897,3597.048933838769,2.478950800202938,11.282497481999798,103,307,True
SENS19-006,S012,R01,fraction=0.250000;height_offset=200.000m,1852.956087619003,5558.8682628570095,17.08242182631065,7.543699700767817,179,533,True
SENS19-007,S013,R01,fraction=0.250000;height_offset=100.000m,1215.3155380004753,3645.9466140014256,12.705417572507429,11.192795460128167,117,343,True
SENS19-008,S014,R01,fraction=0.500000;height_offset=200.000m,2720.82643450411,2720.82643450411,5.528085231438496,4.203628135381834,205,205,True
SENS19-009,S003,R02,fraction=0.500000;height_offset=100.000m,3641.691427426379,3641.691427426379,3.4349339425986045,1.6932166243123845,341,339,True
SENS19-010,S004,R01,fraction=0.500000;height_offset=200.000m,3876.911594612913,3876.911594612913,11.0593126423679,1.1669205098032194,277,279,True
SENS19-011,S008,R01,fraction=0.250000;height_offset=100.000m,2028.8118449743777,6086.435534923133,13.614377470447778,6.784860233712919,163,483,True
SENS19-012,S015,R01,fraction=0.500000;height_offset=300.000m,3024.462613122133,3024.462613122133,4.964872174212303,3.2901091785171275,287,289,True
SENS19-013,S005,R01,fraction=0.250000;height_offset=100.000m,1326.5113919217126,3979.5341757651377,6.639010301426367,10.478336839412023,91,275,True
SENS19-014,S009,R01,fraction=0.250000;height_offset=100.000m,1431.9131536920954,4295.739461076286,3.0446783157242407,9.805818258585177,129,381,True
SENS19-015,S011,R02,fraction=0.500000;height_offset=100.000m,1411.7785614683662,1411.7785614683662,6.523190306337824,9.931195318460496,125,125,True
SENS19-016,S001,R02,fraction=0.500000;height_offset=200.000m,1539.5238033830638,1539.5238033830638,18.974459838867176,9.165491441244,137,139,True
SENS19-017,S001,R01,fraction=0.500000;height_offset=200.000m,1539.5238033830638,1539.5238033830638,18.974459838867176,9.165491441244,137,139,True
SENS19-018,S002,R02,fraction=0.250000;height_offset=200.000m,1861.9507784762025,5585.852335428607,18.178301250349307,7.504235790112659,163,487,True
SENS19-019,S003,R02,fraction=0.500000;height_offset=100.000m,3641.691427426379,3641.691427426379,3.4349339425986045,1.6932166243123845,341,339,True
