box,service,deadline,delivery,lateness,blocking_resource,blocking_interval,reason
S002-MED-01,S002,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S002-WAT-01,S002,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S002-WAT-02,S002,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S007-MED-01,S007,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S007-WAT-01,S007,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S010-MED-01,S010,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S010-WAT-01,S010,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S010-FOD-01,S010,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S012-MED-01,S012,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S012-WAT-01,S012,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S012-FOD-01,S012,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S013-MED-01,S013,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S013-WAT-01,S013,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S013-FOD-01,S013,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S014-MED-01,S014,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S014-WAT-01,S014,3600.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S014-FOD-01,S014,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S003-MED-01,S003,7200.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S003-WAT-01,S003,7200.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S003-WAT-02,S003,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S008-MED-01,S008,7200.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S008-WAT-01,S008,7200.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S015-MED-01,S015,7200.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S015-WAT-01,S015,10800.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S015-FOD-01,S015,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S005-MED-01,S005,10800.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S005-WAT-01,S005,10800.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S005-WAT-02,S005,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S009-MED-01,S009,10800.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S009-WAT-01,S009,10800.0,,,communication/relay component,,UNASSIGNED: no accepted candidate
S009-FOD-01,S009,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S002-FOD-02,S002,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S002-HYG-01,S002,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S002-WAT-03,S002,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S002-WAT-04,S002,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S002-FOD-01,S002,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S003-FOD-02,S003,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S003-HYG-01,S003,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S003-WAT-03,S003,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S003-WAT-04,S003,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S003-FOD-01,S003,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S005-WAT-03,S005,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S005-FOD-01,S005,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S005-HYG-01,S005,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S007-WAT-02,S007,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S007-FOD-01,S007,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S007-HYG-01,S007,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S008-WAT-02,S008,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S008-FOD-01,S008,,,,communication/relay component,,UNASSIGNED: no accepted candidate
S008-HYG-01,S008,,,,communication/relay component,,UNASSIGNED: no accepted candidate
