from_node,to_node,used_by_route_count,route_ids
O01,S004,1,Q3V2-000214
O01,S005,1,Q3V2-000236
O01,S006,1,Q3V2-000258
O01,S011,1,Q3V2-006456
O01,S012,1,Q3V2-006742
O01,S013,4,Q3V2-057841;Q3V2-057844;Q3V2-057855;Q3V2-057864
O01,S014,1,Q3V2-059226
O01,S015,13,Q3V2-007631;Q3V2-060770;Q3V2-060780;Q3V2-060790;Q3V2-060791;Q3V2-061201;Q3V2-061223;Q3V2-061239;Q3V2-061255;Q3V2-061257;Q3V2-061283;Q3V2-061299;Q3V2-061307
S001,O01,8,Q3V2-061201;Q3V2-061223;Q3V2-061239;Q3V2-061255;Q3V2-061257;Q3V2-061283;Q3V2-061299;Q3V2-061307
S002,O01,4,Q3V2-057841;Q3V2-057844;Q3V2-057855;Q3V2-057864
S003,O01,4,Q3V2-060770;Q3V2-060780;Q3V2-060790;Q3V2-060791
S004,O01,1,Q3V2-000214
S005,O01,1,Q3V2-000236
S006,O01,1,Q3V2-000258
S007,O01,1,Q3V2-007631
S007,S003,4,Q3V2-060770;Q3V2-060780;Q3V2-060790;Q3V2-060791
S008,O01,1,Q3V2-006456
S009,O01,1,Q3V2-006742
S010,S013,1,Q3V2-059226
S011,S001,8,Q3V2-061201;Q3V2-061223;Q3V2-061239;Q3V2-061255;Q3V2-061257;Q3V2-061283;Q3V2-061299;Q3V2-061307
S011,S008,1,Q3V2-006456
S012,S002,4,Q3V2-057841;Q3V2-057844;Q3V2-057855;Q3V2-057864
S012,S009,1,Q3V2-006742
S013,O01,1,Q3V2-059226
S013,S012,4,Q3V2-057841;Q3V2-057844;Q3V2-057855;Q3V2-057864
S014,S010,1,Q3V2-059226
S015,S007,5,Q3V2-007631;Q3V2-060770;Q3V2-060780;Q3V2-060790;Q3V2-060791
S015,S011,8,Q3V2-061201;Q3V2-061223;Q3V2-061239;Q3V2-061255;Q3V2-061257;Q3V2-061283;Q3V2-061299;Q3V2-061307
