resource_id,task_id,busy_start,busy_end,phase
U07,K26-001,390.0,448.14264404296875,climb
U07,K26-001,448.14264404296875,652.3733146928696,cruise
U07,K26-001,652.3733146928696,696.9016197465805,descent
U07,K26-001,804.9016197465805,840.5242637895493,climb
U07,K26-001,840.5242637895493,1044.748436102355,cruise
U07,K26-001,1044.748436102355,1117.426741156066,descent
U08,K26-002,390.0,462.50170166015624,climb
U08,K26-002,462.50170166015624,958.2034596320876,cruise
U08,K26-002,958.2034596320876,1002.9305867072829,descent
U08,K26-002,1110.930586707283,1146.7122883674392,climb
U08,K26-002,1146.7122883674392,1642.3809927788063,cruise
U08,K26-002,1642.3809927788063,1733.0081198540017,descent
U07,K26-003,1507.426741156066,1602.7858768982537,climb
U07,K26-003,1602.7858768982537,1814.854139838315,cruise
U07,K26-003,1814.854139838315,1840.5030595160492,descent
U07,K26-003,1948.5030595160492,1969.0221952582367,climb
U07,K26-003,1969.0221952582367,2181.0917075405778,cruise
U07,K26-003,2181.0917075405778,2300.2906272183127,descent
U08,K26-004,2183.008119854002,2336.7173898735327,climb
U08,K26-004,2336.7173898735327,2638.9898520230727,cruise
U08,K26-004,2638.9898520230727,2720.7264395474867,descent
U08,K26-004,2900.7264395474867,2966.115709567018,climb
U08,K26-004,2966.115709567018,3268.353631812793,cruise
U08,K26-004,3268.353631812793,3460.4902193372072,descent
U05,K26-005,390.0,492.6455118815104,climb
U05,K26-005,492.6455118815104,811.2202073356964,cruise
U05,K26-005,811.2202073356964,844.8348215935089,descent
U05,K26-005,934.8348215935089,962.847000141686,climb
U05,K26-005,962.847000141686,1281.3976259846513,cruise
U05,K26-005,1281.3976259846513,1404.5722402424637,descent
U06,K26-006,390.0,485.20033162434896,climb
U06,K26-006,485.20033162434896,978.4742715543227,cruise
U06,K26-006,978.4742715543227,1031.8746695035416,descent
U06,K26-006,1121.8746695035416,1166.3750011278905,climb
U06,K26-006,1166.3750011278905,1659.5609888606184,cruise
U06,K26-006,1659.5609888606184,1773.8013868098371,descent
U05,K26-007,1794.5722402424637,1885.0661814859534,climb
U05,K26-007,1885.0661814859534,2208.3331194460457,cruise
U05,K26-007,2208.3331194460457,2227.3258489382333,descent
U05,K26-007,2317.3258489382333,2333.153123515056,climb
U05,K26-007,2333.153123515056,2656.3804496977245,cruise
U05,K26-007,2656.3804496977245,2764.973179189912,descent
U06,K26-008,2163.801386809837,2318.550516041608,climb
U06,K26-008,2318.550516041608,2679.2739337432386,cruise
U06,K26-008,2679.2739337432386,2775.6528888213634,descent
U06,K26-008,2865.6528888213634,2945.968684719801,climb
