resource,sortie_id,start_s,end_s
transport:U07,K28-001,0.0,1561.4332394931612
battery:C-B01,K28-001,0.0,2943.541609164337
service:S001,K28-001,816.9016197465805,1248.9016197465805
transport:U08,K28-003,0.0,1560.8626367199668
battery:C-B02,K28-003,0.0,2992.269010762781
service:S006,K28-003,813.0763183599829,1209.076318359983
transport:U08,K28-010,1560.8626367199668,3866.0506128019324
battery:C-B03,K28-010,1560.8626367199668,6126.840301881925
service:S004,K28-010,2750.4266247609494,3146.4266247609494
transport:U05,K28-015,0.0,1189.6355632922941
battery:B-B01,K28-015,0.0,2323.0825261363334
service:S011,K28-015,667.0044483128131,907.0044483128131
transport:U07,K28-016,1561.4332394931612,3188.8664789863224
battery:C-B04,K28-016,1561.4332394931612,4649.564776515875
service:S001,K28-016,2408.3348592397415,2876.3348592397415
transport:U07,K28-017,3188.8664789863224,4816.299718479484
battery:C-B01,K28-017,3188.8664789863224,6213.212419442175
service:S001,K28-017,4035.768098732903,4503.768098732903
transport:U08,K28-018,3866.0506128019324,5427.483852295094
battery:C-B02,K28-018,3866.0506128019324,6824.396553257785
service:S001,K28-018,4682.952232548513,5114.952232548513
transport:U07,K28-019,4816.299718479484,6377.732957972645
battery:C-B04,K28-019,4816.299718479484,7774.645658935336
service:S001,K28-019,5633.201338226065,6065.201338226065
transport:U08,K28-024,6126.840301881925,8432.028277963891
battery:C-B03,K28-024,6126.840301881925,10676.631421463713
service:S004,K28-024,7316.404289922908,7712.404289922908
transport:U07,K28-026,6377.732957972645,7938.5955946926115
battery:C-B01,K28-026,6377.732957972645,9362.96298695052
service:S006,K28-026,7190.809276332628,7586.809276332628
relay:R01,K28-010,1258.9426082713912,3776.1528744350576
relay:R01,K28-024,5824.92027343335,8342.130539597016
relay_component:R-E01,K28-010,1258.9426082713912,3476.1528744350576
relay_component:R-E01,K28-010,3476.1528744350576,4218.695350497122
relay_component:R-E02,K28-024,5824.92027343335,8042.130539597017
relay_component:R-E02,K28-024,8042.130539597017,8784.67301565908
