sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok,mass_kg,volume_m3,distance_m,ground_max_m,out_flight_s,return_flight_s,flight_s,safe,_deadline,relay_id,status,relay_component_id,relay_chain_json,relay_component_json
K28-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01']",0.0,S001,1248.9016197465805,432,1561.4332394931612,2.026246288016649,0.6342102817503115,True,20.0,0.051000000000000004,6126.9201194970265,223.05661010742188,306.90161974658054,312.53161974658053,619.4332394931611,True,3600.0,R01,ASSIGNED,,,
K28-003,U08,C,C-B02,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02']",0.0,S006,1209.076318359983,396,1560.8626367199668,2.208269688773467,0.6757534961373612,False,31.0,0.066,6362.047888201837,316.09783935546875,333.07631835998313,351.7863183599831,684.8626367199663,True,3600.0,R01,ASSIGNED,,,
K28-010,U08,C,C-B03,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02']",1560.8626367199668,S004,3146.4266247609494,396,3866.0506128019324,5.270608082756898,0.22788331691116048,True,31.0,0.066,15491.362152215808,348.2391662597656,709.5639880409827,719.6239880409827,1429.1879760819654,True,7200.0,R01,ASSIGNED,R-E01,"{""prepare_start"": 1258.9426082713912, ""prepare_end"": 1438.9426082713912, ""outbound_start"": 1438.9426082713912, ""outbound_end"": 1901.9393039835509, ""link_setup_start"": 1901.9393039835509, ""link_setup_end"": 1931.9393039835509, ""service_start"": 1931.9393039835509, ""service_end"": 2987.9200289123664, ""return_start"": 2987.9200289123664, ""return_end"": 3476.1528744350576, ""turnaround_start"": 3476.1528744350576, ""busy_end"": 3776.1528744350576, ""outbound_flight_s"": 462.9966957121597, ""return_flight_s"": 488.2328455226913, ""service_duration_s"": 1055.9807249288153, ""service_intervals"": [[1931.9393039835509, 2987.9200289123664]], ""outbound_energy_kwh"": 0.15065156333285823, ""return_energy_kwh"": 0.12371529298910082, ""service_energy_kwh"": 0.32266077706158247, ""total_energy_kwh"": 0.5970276333835416, ""relay_ground_m"": 330.5505676269531, ""relay_height_m"": 430.5505676269531, ""relay_position_lon"": 109.236341475, ""relay_position_lat"": 23.060508425000002}","{""component_id"": ""R-E01"", ""energy_kwh"": 0.5970276333835416, ""soc_start"": 1.0, ""soc_end"": 0.8134288645676433, ""reserve_fraction"": 0.2, ""reserve_ok"": true, ""available_before_task_s"": 0.0, ""resource_available_ok"": true, ""use_start_s"": 1258.9426082713912, ""use_end_s"": 3476.1528744350576, ""charge_start_s"": 3476.1528744350576, ""charge_end_s"": 4218.695350497122, ""available_again_s"": 4218.695350497122, ""full_charge_s"": 1800.0, ""inventory"": 6}"
K28-015,U05,B,B-B01,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",0.0,S011,907.0044483128131,240,1189.6355632922941,1.0771852988708592,0.7307036752822852,True,,,,,,,,,10800.0,R01,ASSIGNED,,,
K28-016,U07,C,C-B04,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01']",1561.4332394931612,S001,2876.3348592397415,468,3188.8664789863224,2.316424483186039,0.624406997467174,True,50.0,0.109,6126.9201194970265,223.05661010742188,306.90161974658054,312.53161974658053,619.4332394931611,True,inf,R01,ASSIGNED,,,
K28-017,U07,C,C-B01,"['S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",3188.8664789863224,S001,4503.768098732903,468,4816.299718479484,2.0809084343237814,0.624406997467174,True,28.0,0.126,6126.9201194970265,223.05661010742188,306.90161974658054,312.53161974658053,619.4332394931611,True,inf,R01,ASSIGNED,,,
K28-018,U08,C,C-B02,"['S001-WAT-02', 'S001-WAT-03']",3866.0506128019324,S001,5114.952232548513,432,5427.483852295094,2.0809084343237814,0.6342102817503115,True,28.0,0.054,6126.9201194970265,223.05661010742188,306.90161974658054,312.53161974658053,619.4332394931611,True,inf,R01,ASSIGNED,,,
K28-019,U07,C,C-B04,"['S001-WAT-04', 'S001-WAT-05']",4816.299718479484,S001,6065.201338226065,432,6377.732957972645,2.0809084343237814,0.6342102817503115,True,28.0,0.054,6126.9201194970265,223.05661010742188,306.90161974658054,312.53161974658053,619.4332394931611,True,inf,R01,ASSIGNED,,,
K28-024,U08,C,C-B03,"['S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",6126.840301881925,S004,7712.404289922908,396,8432.028277963891,5.210842375999341,0.22788331691116048,True,28.0,0.09,15491.362152215808,348.2391662597656,709.5639880409827,719.6239880409827,1429.1879760819654,True,inf,R01,ASSIGNED,R-E02,"{""prepare_start"": 5824.92027343335, ""prepare_end"": 6004.92027343335, ""outbound_start"": 6004.92027343335, ""outbound_end"": 6467.91696914551, ""link_setup_start"": 6467.91696914551, ""link_setup_end"": 6497.91696914551, ""service_start"": 6497.91696914551, ""service_end"": 7553.897694074325, ""return_start"": 7553.897694074325, ""return_end"": 8042.130539597017, ""turnaround_start"": 8042.130539597017, ""busy_end"": 8342.130539597016, ""outbound_flight_s"": 462.9966957121597, ""return_flight_s"": 488.2328455226913, ""service_duration_s"": 1055.9807249288153, ""service_intervals"": [[6497.91696914551, 7553.897694074325]], ""outbound_energy_kwh"": 0.15065156333285823, ""return_energy_kwh"": 0.12371529298910082, ""service_energy_kwh"": 0.32266077706158247, ""total_energy_kwh"": 0.5970276333835416, ""relay_ground_m"": 330.5505676269531, ""relay_height_m"": 430.5505676269531, ""relay_position_lon"": 109.236341475, ""relay_position_lat"": 23.060508425000002}","{""component_id"": ""R-E02"", ""energy_kwh"": 0.5970276333835416, ""soc_start"": 1.0, ""soc_end"": 0.8134288645676433, ""reserve_fraction"": 0.2, ""reserve_ok"": true, ""available_before_task_s"": 0.0, ""resource_available_ok"": true, ""use_start_s"": 5824.92027343335, ""use_end_s"": 8042.130539597017, ""charge_start_s"": 8042.130539597017, ""charge_end_s"": 8784.67301565908, ""available_again_s"": 8784.67301565908, ""full_charge_s"": 1800.0, ""inventory"": 6}"
K28-026,U07,C,C-B01,"['S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",6377.732957972645,S006,7586.809276332628,396,7938.5955946926115,2.1822796021830495,0.6757534961373612,False,28.0,0.09,6362.047888201837,316.09783935546875,333.07631835998313,351.7863183599831,684.8626367199663,True,inf,R01,ASSIGNED,,,
