interval_id,t_start,t_end,phase,dem_cells,distance_max_method,distance_max_km,fspl_upper_bound,obstacle_loss_db,path_loss_upper_bound,threshold,margin_lower_bound,los_clearance_lower_bound,los_state_known,continuous_certified
0,0.0,58.142644042968755,climb,3,endpoints+quadratic_stationary,0.1253566101074219,82.01716962285145,10.0,92.01716962285145,122.0,29.982830377148545,-1.0255401611328097,True,True
1,58.142644042968755,59.12173515357989,cruise,3,endpoints,0.12621398125105732,82.07637415804618,10.0,92.07637415804618,122.0,29.92362584195382,18.974459838867176,True,True
2,59.12173515357989,60.10082626419103,cruise,3,endpoints,0.12875184332735393,82.24929394440619,10.0,92.24929394440619,122.0,29.75070605559381,18.974459838867176,True,True
3,60.10082626419103,60.115835986840246,cruise,3,endpoints,0.12880339338783503,82.25277093169532,10.0,92.25277093169532,122.0,29.747229068304677,18.974459838867176,True,True
4,60.115835986840246,60.13084570948946,cruise,3,endpoints,0.12885531621792048,82.25627165541324,10.0,92.25627165541324,122.0,29.743728344586756,18.974459838867176,True,True
5,60.13084570948946,61.24668735044981,cruise,3,endpoints,0.13372424533329405,82.57842794728779,10.0,92.57842794728779,122.0,29.421572052712207,18.974459838867176,True,True
6,61.24668735044981,62.36252899141016,cruise,3,endpoints,0.14043130426515235,83.00350342233111,10.0,93.00350342233111,122.0,28.996496577668893,18.974459838867176,True,True
7,62.36252899141016,63.493380355019724,cruise,3,endpoints,0.14884930295697313,83.50916093902651,10.0,93.50916093902651,122.0,28.490839060973485,18.974459838867176,True,True
8,63.493380355019724,64.62423171862929,cruise,3,endpoints,0.1586403162093018,84.06249617131598,10.0,94.06249617131598,122.0,27.937503828684015,18.974459838867176,True,True
9,64.62423171862929,64.66872713783812,cruise,3,endpoints,0.1590502305055795,84.08491089124546,10.0,94.08491089124546,122.0,27.915089108754543,18.974459838867176,True,True
10,64.66872713783812,64.71322255704695,cruise,3,endpoints,0.15946188462994587,84.1073626857879,10.0,94.1073626857879,122.0,27.892637314212095,18.974459838867176,True,True
11,64.71322255704695,65.79957850143322,cruise,3,endpoints,0.17001683707932064,84.6640634839806,10.0,94.6640634839806,122.0,27.3359365160194,18.974459838867176,True,True
12,65.79957850143322,66.88593444581949,cruise,3,endpoints,0.18142335375593244,85.22808865348911,10.0,95.22808865348911,122.0,26.77191134651089,18.974459838867176,True,True
13,66.88593444581949,68.01678580944352,cruise,3,endpoints,0.1940398972198514,85.81204555252278,10.0,95.81204555252278,122.0,26.187954447477225,18.974459838867176,True,True
14,68.01678580944352,69.14763717306755,cruise,3,endpoints,0.20727759478794022,86.38527204486566,10.0,96.38527204486566,122.0,25.61472795513434,18.974459838867176,True,True
15,69.14763717306755,69.221618288836,cruise,3,endpoints,0.20816244984155835,86.42227264248794,10.0,96.42227264248794,122.0,25.57772735751206,18.974459838867176,True,True
