interval_id,t_start,t_end,phase,start_xyz,end_xyz,crossed_dem_cells,partition_reason
0,0.0,58.142644042968755,climb,"[11179685.606692273, 2558433.059906504, 127.7]","[11179685.606692273, 2558433.059906504, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
1,58.142644042968755,59.12173515357989,cruise,"[11179685.606692273, 2558433.059906504, 273.0566101074219]","[11179691.681241771, 2558446.431114902, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
2,59.12173515357989,60.10082626419103,cruise,"[11179691.681241771, 2558446.431114902, 273.0566101074219]","[11179697.755791271, 2558459.8023233004, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
3,60.10082626419103,60.115835986840246,cruise,"[11179697.755791271, 2558459.8023233004, 273.0566101074219]","[11179697.848915702, 2558460.00730742, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
4,60.115835986840246,60.13084570948946,cruise,"[11179697.848915702, 2558460.00730742, 273.0566101074219]","[11179697.942040134, 2558460.21229154, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
5,60.13084570948946,61.24668735044981,cruise,"[11179697.942040134, 2558460.21229154, 273.0566101074219]","[11179704.865027392, 2558475.451068564, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
6,61.24668735044981,62.36252899141016,cruise,"[11179704.865027392, 2558475.451068564, 273.0566101074219]","[11179711.788014647, 2558490.6898455876, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
7,62.36252899141016,63.493380355019724,cruise,"[11179711.788014647, 2558490.6898455876, 273.0566101074219]","[11179718.804126335, 2558506.133606731, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
8,63.493380355019724,64.62423171862929,cruise,"[11179718.804126335, 2558506.133606731, 273.0566101074219]","[11179725.820238024, 2558521.577367875, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
9,64.62423171862929,64.66872713783812,cruise,"[11179725.820238024, 2558521.577367875, 273.0566101074219]","[11179726.096299795, 2558522.185030958, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
10,64.66872713783812,64.71322255704695,cruise,"[11179726.096299795, 2558522.185030958, 273.0566101074219]","[11179726.372361567, 2558522.792694041, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
11,64.71322255704695,65.79957850143322,cruise,"[11179726.372361567, 2558522.792694041, 273.0566101074219]","[11179733.112411484, 2558537.6287921015, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
12,65.79957850143322,66.88593444581949,cruise,"[11179733.112411484, 2558537.6287921015, 273.0566101074219]","[11179739.852461401, 2558552.464890161, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
13,66.88593444581949,68.01678580944352,cruise,"[11179739.852461401, 2558552.464890161, 273.0566101074219]","[11179746.868573088, 2558567.9086513054, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
14,68.01678580944352,69.14763717306755,cruise,"[11179746.868573088, 2558567.9086513054, 273.0566101074219]","[11179753.884684777, 2558583.3524124487, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
15,69.14763717306755,69.221618288836,cruise,"[11179753.884684777, 2558583.3524124487, 273.0566101074219]","[11179754.343683887, 2558584.3627544953, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
16,69.221618288836,69.29559940460445,cruise,"[11179754.343683887, 2558584.3627544953, 273.0566101074219]","[11179754.802683, 2558585.3730965424, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
17,69.29559940460445,70.3524696524311,cruise,"[11179754.802683, 2558585.3730965424, 273.0566101074219]","[11179761.359795576, 2558599.806515639, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
