primitive_interval,dem_cell,entry_parameter,exit_parameter,los_height_entry,los_height_exit,minimum_los_height,dem_height,clearance_lower_bound,pass,obstructed
0,0,0.0,1.0,127.7,127.7,127.7,128.7255401611328,-1.0255401611328097,True,True
0,500000000,0.0,1.0,137.7,137.7,137.7,128.7255401611328,8.974459838867176,True,False
0,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
1,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,128.7255401611328,144.33106994628906,True,False
1,500000000,0.0,1.0,210.37830505371093,210.37830505371093,210.37830505371093,128.7255401611328,81.65276489257812,True,False
1,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
2,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,130.80474853515625,142.25186157226562,True,False
2,500000000,0.0,1.0,210.37830505371093,210.37830505371093,210.37830505371093,128.7255401611328,81.65276489257812,True,False
2,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
3,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,130.80474853515625,142.25186157226562,True,False
3,500000000,0.0,1.0,210.37830505371093,210.37830505371093,210.37830505371093,128.7255401611328,81.65276489257812,True,False
3,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
3,3803412,0.0,1.0,272.57982731023657,272.57982731023657,272.57982731023657,130.80474853515625,141.77507877508032,True,False
3,7606823,0.0,1.0,272.1030445130512,272.1030445130512,272.1030445130512,130.80474853515625,141.29829597789495,True,False
3,503803412,0.0,1.0,209.9015222565256,209.9015222565256,209.9015222565256,128.7255401611328,81.17598209539278,True,False
4,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,130.80474853515625,142.25186157226562,True,False
4,3803412,0.0,1.0,272.57982731023657,272.57982731023657,272.57982731023657,130.80474853515625,141.77507877508032,True,False
4,7606823,0.0,1.0,272.1030445130512,272.1030445130512,272.1030445130512,130.80474853515625,141.29829597789495,True,False
4,503803412,0.0,1.0,209.9015222565256,209.9015222565256,209.9015222565256,128.7255401611328,81.17598209539278,True,False
4,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
4,7549396,0.0,1.0,272.11024335688364,272.11024335688364,272.11024335688364,130.80474853515625,141.3054948217274,True,False
4,15098793,0.0,1.0,271.1638766063454,271.1638766063454,271.1638766063454,130.80474853515625,140.35912807118916,True,False
4,507549396,0.0,1.0,209.4319383031727,209.4319383031727,209.4319383031727,128.7255401611328,80.70639814203989,True,False
5,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,132.31642150878906,140.7401885986328,True,False
5,7549396,0.0,1.0,272.11024335688364,272.11024335688364,272.11024335688364,130.80474853515625,141.3054948217274,True,False
5,15098793,0.0,1.0,271.1638766063454,271.1638766063454,271.1638766063454,130.80474853515625,140.35912807118916,True,False
5,507549396,0.0,1.0,209.4319383031727,209.4319383031727,209.4319383031727,128.7255401611328,80.70639814203989,True,False
5,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
5,179740025,0.0,1.0,250.52500992062224,250.52500992062224,250.52500992062224,132.31642150878906,118.20858841183318,True,False
5,359480049,0.0,1.0,227.9934097338226,227.9934097338226,227.9934097338226,132.31642150878906,95.67698822503354,True,False
5,364315588,0.0,1.0,227.38724295042496,227.38724295042496,227.38724295042496,130.80474853515625,96.58249441526871,True,False
5,369151127,0.0,1.0,226.78107616702735,226.78107616702735,226.78107616702735,130.80474853515625,95.9763276318711,True,False
5,684575564,0.0,1.0,187.24053808351368,187.24053808351368,187.24053808351368,128.7255401611328,58.51499792238087,True,False
6,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,133.5413055419922,139.5153045654297,True,False
6,179740025,0.0,1.0,250.52500992062224,250.52500992062224,250.52500992062224,132.31642150878906,118.20858841183318,True,False
6,359480049,0.0,1.0,227.9934097338226,227.9934097338226,227.9934097338226,132.31642150878906,95.67698822503354,True,False
6,364315588,0.0,1.0,227.38724295042496,227.38724295042496,227.38724295042496,130.80474853515625,96.58249441526871,True,False
6,369151127,0.0,1.0,226.78107616702735,226.78107616702735,226.78107616702735,130.80474853515625,95.9763276318711,True,False
6,684575564,0.0,1.0,187.24053808351368,187.24053808351368,187.24053808351368,128.7255401611328,58.51499792238087,True,False
6,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
6,264424660,0.0,1.0,239.9092311542254,239.9092311542254,239.9092311542254,132.31642150878906,107.59280964543635,True,False
6,528849319,0.0,1.0,206.76185220102894,206.76185220102894,206.76185220102894,132.31642150878906,74.44543069223988,True,False
