from_node,to_node,drone_type,relay_required_duration_s,pointwise_sample_count,nonpositive_sample_count,worst_best_joint_margin,communication_edge_possible,best_access_margin,best_backhaul_margin
O01,S008,B,1156.0699316251785,123,24,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S001,S008,B,1011.8791371661212,107,23,-0.3939969527329765,False,-0.24264043705885285,-0.3939969527329765
S002,S008,B,1524.3294362692836,163,42,-0.4303651068388774,False,-0.39299715268498403,-0.4303651068388774
S003,S008,B,1928.0994873167224,204,43,-0.4863967450237112,False,-0.4863967450237112,-0.4017885448383822
S004,S008,B,1432.027951966521,154,56,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S005,S008,B,1279.467034245371,139,24,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S006,S008,B,1232.9381447877042,129,29,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S007,S008,B,1594.8139897214337,171,34,-0.3939969527329765,False,-0.3736736606801827,-0.3939969527329765
S009,S008,B,1415.9761671321062,153,27,-0.3939969527329765,False,-0.23606948463613264,-0.3939969527329765
S010,S008,B,1665.6577323593817,177,29,-0.3939969527329765,False,-0.17855283422495916,-0.3939969527329765
S011,S008,B,987.9836679709317,105,24,-0.3939969527329765,False,-0.19908507142173448,-0.3939969527329765
S012,S008,B,1697.8231250172603,181,47,-0.3939969527329765,False,-0.365174862430635,-0.3939969527329765
S013,S008,B,1512.1045394098603,162,25,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S014,S008,B,1973.7280562575443,209,33,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S015,S008,B,1531.8969249888173,164,37,-0.3939969527329765,False,-0.3328788412878225,-0.3939969527329765
S008,O01,B,1156.0699316251785,123,24,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S008,S001,B,1012.2651777822667,108,25,-0.3939969527329765,False,-0.19538189361259128,-0.3939969527329765
S008,S002,B,1528.554083105012,163,43,-0.4303651068388774,False,-0.39382357627184206,-0.4303651068388774
S008,S003,B,1915.3717171044732,203,41,-0.41377736469738124,False,-0.41377736469738124,-0.40777463022092775
S008,S004,B,1430.3495349379177,154,56,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
S008,S005,B,1282.5718763066197,140,25,-0.3939969527329765,False,-0.1981197426681689,-0.3939969527329765
S008,S006,B,1219.9497723523596,128,29,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
S008,S007,B,1585.5060125165492,170,33,-0.3939969527329765,False,-0.10650631558890211,-0.3939969527329765
S008,S009,B,1421.237214807706,154,28,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
S008,S010,B,1661.3326892780983,177,29,-0.3939969527329765,False,-0.20042174770067334,-0.3939969527329765
S008,S011,B,985.3287384531935,105,24,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
S008,S012,B,1694.9739110826094,181,48,-0.3939969527329765,False,-0.3919793587061804,-0.3939969527329765
S008,S013,B,1510.221232071091,162,26,-0.3939969527329765,False,-0.36172821895485185,-0.3939969527329765
S008,S014,B,1958.9733435017497,208,33,-0.3939969527329765,False,-0.11007596253594443,-0.3939969527329765
S008,S015,B,1518.583898030448,164,35,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
O01,S008,C,1173.07148700441,125,26,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S001,S008,C,1028.2684763588295,109,25,-0.3939969527329765,False,-0.24264043705885285,-0.3939969527329765
S002,S008,C,1561.992566965898,167,44,-0.4303651068388774,False,-0.39299715268498403,-0.4303651068388774
S003,S008,C,2040.2536458453676,216,49,-0.4863967450237112,False,-0.4863967450237112,-0.4017885448383822
S004,S008,C,1477.9847400931485,159,61,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S005,S008,C,1320.4499403326108,143,26,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S006,S008,C,1269.432977144475,133,33,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S007,S008,C,1677.09517970353,180,39,-0.3939969527329765,False,-0.3736736606801827,-0.3939969527329765
S009,S008,C,1451.4464074071714,157,29,-0.3939969527329765,False,-0.23606948463695687,-0.3939969527329765
S010,S008,C,1708.513724994473,182,32,-0.3939969527329765,False,-0.17855283422495916,-0.3939969527329765
S011,S008,C,1008.9859405132495,108,27,-0.3939969527329765,False,-0.19908507142173448,-0.3939969527329765
S012,S008,C,1732.0893796966225,185,51,-0.3939969527329765,False,-0.365174862430635,-0.3939969527329765
