candidate_id,case,route,visit_order,box_set,drone_type,hard_deadline_ok,transport_energy_ok,payload_ok,reserve_ok,communication_geometry_pass,worst_joint_margin,relay_status,relay_chain_ok,component_ok,relay_resource_status,route_feasible,failure_stage,relay_energy_kwh,transport_energy_kwh,total_energy_kwh,makespan_s,relay_blocks
TRIPLE_0001,TRIPLE,O01->S005->S008->S009->O01,S005->S008->S009,"[""S008-MED-01"", ""S005-MED-01"", ""S009-MED-01""]",B,True,True,True,True,False,-3.1859671451037883,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY,,2.959439427102586,,2157.0828452599303,10
TRIPLE_0002,TRIPLE,O01->S005->S008->S009->O01,S005->S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S009-MED-01""]",B,True,False,True,False,False,-3.1859671451037883,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,TRANSPORT_ENERGY_RESERVE,,3.3427362423973923,,2217.0828452599303,10
TRIPLE_0003,TRIPLE,O01->S005->S008->S009->O01,S005->S008->S009,"[""S008-MED-01"", ""S005-MED-01"", ""S009-MED-01""]",C,True,True,True,True,False,-3.1859671451037883,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY,,6.08222111030269,,2266.990734053876,10
TRIPLE_0004,TRIPLE,O01->S005->S008->S009->O01,S005->S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S009-MED-01""]",C,True,True,True,True,False,-3.1859671451037883,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY,,6.272880315174548,,2332.990734053876,10
TRIPLE_0005,TRIPLE,O01->S005->S008->S007->O01,S005->S008->S007,"[""S008-MED-01"", ""S005-MED-01"", ""S007-MED-01""]",B,True,True,True,True,False,-3.497356052861164,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY,,3.015539320335733,,2408.849348046898,10
TRIPLE_0006,TRIPLE,O01->S005->S008->S007->O01,S005->S008->S007,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S007-MED-01""]",B,True,False,True,False,False,-3.497356052861164,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,TRANSPORT_ENERGY_RESERVE,,3.39883613563054,,2468.849348046898,10
TRIPLE_0007,TRIPLE,O01->S005->S008->S007->O01,S005->S008->S007,"[""S008-MED-01"", ""S005-MED-01"", ""S007-MED-01""]",C,True,True,True,True,False,-3.497356052861164,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY,,6.099050801933106,,2580.151137394229,10
TRIPLE_0008,TRIPLE,O01->S005->S008->S007->O01,S005->S008->S007,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S007-MED-01""]",C,True,True,True,True,False,-3.497356052861164,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,COMMUNICATION_GEOMETRY,,6.289710006804962,,2646.151137394229,10
TRIPLE_0009,TRIPLE,O01->S007->S008->S009->O01,S007->S008->S009,"[""S008-MED-01"", ""S007-MED-01"", ""S009-MED-01""]",B,True,False,True,False,False,-3.497356052861164,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,TRANSPORT_ENERGY_RESERVE,,3.358452074294066,,2534.283896194977,10
TRIPLE_0010,TRIPLE,O01->S007->S008->S009->O01,S007->S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S009-MED-01""]",B,True,False,True,False,False,-3.497356052861164,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,TRANSPORT_ENERGY_RESERVE,,3.831739608267684,,2594.283896194977,10
TRIPLE_0011,TRIPLE,O01->S007->S008->S009->O01,S007->S008->S009,"[""S008-MED-01"", ""S007-MED-01"", ""S009-MED-01""]",C,True,False,True,False,False,-3.497356052861164,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,TRANSPORT_ENERGY_RESERVE,,6.83288519073354,,2697.860887975576,10
TRIPLE_0012,TRIPLE,O01->S007->S008->S009->O01,S007->S008->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S009-MED-01""]",C,True,False,True,False,False,-3.497356052861164,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,False,NOT_EVALUATED_AFTER_GEOMETRY_FAIL,False,TRANSPORT_ENERGY_RESERVE,,7.0782284806303,,2763.860887975576,10
