primitive_interval,start,end,phase,direct_available,relay_required,direct_margin_lower_bound_db,transport_start_xyz,transport_end_xyz
0,0.0,98.08373291015626,climb,True,False,24.894047506859252,"[11179685.606692273, 2558433.059906504, 127.7]","[11179685.606692273, 2558433.059906504, 372.9093322753906]"
1,98.08373291015626,98.99936937728093,cruise,True,False,24.877924952553357,"[11179685.606692273, 2558433.059906504, 372.9093322753906]","[11179682.468449539, 2558446.431114902, 372.9093322753906]"
2,98.99936937728093,99.9150058444056,cruise,True,False,24.829913324614793,"[11179682.468449539, 2558446.431114902, 372.9093322753906]","[11179679.330206806, 2558459.8023233004, 372.9093322753906]"
3,99.9150058444056,100.97256702149795,cruise,True,False,24.73616956358265,"[11179679.330206806, 2558459.8023233004, 372.9093322753906]","[11179675.705532823, 2558475.2460844438, 372.9093322753906]"
4,100.97256702149795,102.0301281985903,cruise,True,False,24.603907595150076,"[11179675.705532823, 2558475.2460844438, 372.9093322753906]","[11179672.08085884, 2558490.6898455876, 372.9093322753906]"
5,102.0301281985903,102.40492368060751,cruise,True,False,24.54842255076639,"[11179672.08085884, 2558490.6898455876, 372.9093322753906]","[11179670.796288772, 2558496.1630532155, 372.9093322753906]"
6,102.40492368060751,102.77971916262472,cruise,True,False,24.488704286549122,"[11179670.796288772, 2558496.1630532155, 372.9093322753906]","[11179669.511718705, 2558501.6362608443, 372.9093322753906]"
7,102.77971916262472,103.46248485769986,cruise,True,False,24.369635436608178,"[11179669.511718705, 2558501.6362608443, 372.9093322753906]","[11179667.171614788, 2558511.6068143593, 372.9093322753906]"
8,103.46248485769986,104.14525055277501,cruise,True,False,24.238271529735357,"[11179667.171614788, 2558511.6068143593, 372.9093322753906]","[11179664.831510874, 2558521.577367875, 372.9093322753906]"
9,104.14525055277501,105.20281172985383,cruise,True,False,24.013283676042164,"[11179664.831510874, 2558521.577367875, 372.9093322753906]","[11179661.20683689, 2558537.021129018, 372.9093322753906]"
