candidate_id,route,visit_order,box_ids,drone_type,transport_feasible,hard_deadline_ok,communication_edge_feasible,soft_lateness,transport_energy,route_feasible_level,skeleton_id
Q3V2-000001,O01->S001->O01,S001,"[""S001-MED-01""]",C,True,True,True,0,1.9525413649112469,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000002,O01->S001->O01,S001,"[""S001-MED-02""]",C,True,True,True,0,1.9525413649112469,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000003,O01->S001->O01,S001,"[""S001-WAT-01""]",C,True,True,True,0,1.9935744040511625,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000004,O01->S001->O01,S001,"[""S001-WAT-02""]",C,True,True,True,0,1.9935744040511625,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000005,O01->S001->O01,S001,"[""S001-WAT-03""]",C,True,True,True,0,1.9935744040511625,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000006,O01->S001->O01,S001,"[""S001-WAT-04""]",C,True,True,True,0,1.9935744040511625,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000007,O01->S001->O01,S001,"[""S001-WAT-05""]",C,True,True,True,0,1.9935744040511625,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000008,O01->S001->O01,S001,"[""S001-WAT-06""]",C,True,True,True,0,1.9935744040511625,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000009,O01->S001->O01,S001,"[""S001-WAT-07""]",C,True,True,True,0,1.9935744040511625,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000010,O01->S001->O01,S001,"[""S001-WAT-08""]",C,True,True,True,0,1.9935744040511625,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000011,O01->S001->O01,S001,"[""S001-FOD-01""]",C,True,True,True,0,1.9679201271705908,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000012,O01->S001->O01,S001,"[""S001-FOD-02""]",C,True,True,True,0,1.9679201271705908,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000013,O01->S001->O01,S001,"[""S001-FOD-03""]",C,True,True,True,0,1.9679201271705908,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000014,O01->S001->O01,S001,"[""S001-HYG-01""]",C,True,True,True,0,1.9610330830464375,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000015,O01->S001->O01,S001,"[""S001-HYG-02""]",C,True,True,True,0,1.9610330830464375,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000016,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-MED-02""]",C,True,True,True,0,1.9610330830464375,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000017,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-WAT-01""]",C,True,True,True,0,2.009030466190118,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000018,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-WAT-02""]",C,True,True,True,0,2.009030466190118,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000019,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-WAT-03""]",C,True,True,True,0,2.009030466190118,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000020,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-WAT-04""]",C,True,True,True,0,2.009030466190118,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000021,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-WAT-05""]",C,True,True,True,0,2.009030466190118,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000022,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-WAT-06""]",C,True,True,True,0,2.009030466190118,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000023,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-WAT-07""]",C,True,True,True,0,2.009030466190118,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000024,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-WAT-08""]",C,True,True,True,0,2.009030466190118,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000025,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-FOD-01""]",C,True,True,True,0,1.979851119799428,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000026,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-FOD-02""]",C,True,True,True,0,1.979851119799428,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000027,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-FOD-03""]",C,True,True,True,0,1.979851119799428,ROUTE_LEVEL_CANDIDATE,SK-00001
Q3V2-000028,O01->S001->O01,S001,"[""S001-MED-01"", ""S001-HYG-01""]",C,True,True,True,0,1.9716910355669264,ROUTE_LEVEL_CANDIDATE,SK-00001
