scenario,sortie,service,start_s,return_s,drone_type,box_count,payload_ok,volume_ok,transport_reserve_ok,medical_deadline_ok,first_batch_deadline_ok,direct_communication_pass,relay_required,access_margin_db,strict_backhaul_margin_db,effective_backhaul_margin_db,communication_pass,relay_chain_pass,component_pass,first_failure
FEASIBILITY_RESTORED_0P1DB,SENS19-001,S001,0.0,1561.4332394931612,C,7,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-002,S002,0.0,2111.041173414566,C,6,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-006,S012,0.0,1923.889339007083,B,3,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-005,S010,0.0,1554.5963098536845,B,3,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-007,S013,1554.5963098536845,3065.036860578557,B,3,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-003,S006,1561.4332394931612,3122.2958762131275,C,6,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-008,S014,1923.889339007083,3792.4790096968018,B,3,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-004,S007,2111.041173414566,4018.557812801536,C,5,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-012,S015,3065.036860578557,4894.663106202548,B,3,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-009,S003,3187.3109623674864,5623.208873982598,C,6,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-014,S009,3792.4790096968018,5353.281770897713,B,3,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-010,S004,4650.885216066781,6956.073192148747,C,6,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-015,S011,4894.663106202548,6084.298669494842,B,3,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-018,S002,5385.301904198814,7145.224992896583,B,2,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-011,S008,5623.208873982598,7826.983631519628,C,5,True,True,True,True,True,False,True,12.439370626081981,-0.0771202430435664,0.0228797569564336,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-019,S003,6562.782314711138,8583.112180265052,B,2,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-013,S005,6956.073192148747,8836.119112084927,C,6,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-016,S001,8168.981091064019,9532.41433055718,C,4,True,True,True,True,True,True,False,,,,True,True,True,
FEASIBILITY_RESTORED_0P1DB,SENS19-017,S001,9462.3260055079,10825.75924500106,C,4,True,True,True,True,True,True,False,,,,True,True,True,
